,2010,2000,2000 - 2010 Change
American Indian and Alaska native alone,71458,53541,17917
Asian alone,454821,266256,188565
Black or African American alone,2999862,2335494,664368
Female,9611955,8184656,1427299
Male,9189355,7797693,1391662
Native Hawaiian and Other Pacific native alone,12286,8625,3661
Persons 0 to 4 years,1073506,945823,127683
Persons 18 to 64 years,11539617,9528422,2011195
Persons 5 to 17 years,2928585,2700517,228068
Persons 65 years and over,3259602,2807587,452015
Persons Not of Hispanic or Latino Origin,14577504,13299636,1277868
Persons of Hispanic or Latino Origin,4223806,2682713,1541093
Some other race alone,681144,477106,204038
Total Population,18801310,15982349,2818961
Two or more races,472577,376315,96262
White alone,14109162,12465012,1644150
