,2010,2000,2000 - 2010 Change
American Indian and Alaska native alone,122110,99551,22559
Asian alone,208962,113689,95273
Black or African American alone,2048628,1737545,311083
Female,4889991,4106617,783374
Male,4645492,3942693,702799
Native Hawaiian and Other Pacific native alone,6604,3983,2621
Persons 0 to 4 years,632040,539509,92531
Persons 18 to 64 years,6019769,5116215,903554
Persons 5 to 17 years,1649595,1424538,225057
Persons 65 years and over,1234079,969048,265031
Persons Not of Hispanic or Latino Origin,8735363,7670347,1065016
Persons of Hispanic or Latino Origin,800120,378963,421157
Some other race alone,414030,186629,227401
Total Population,9535483,8049310,1486173
Two or more races,206199,103260,102939
White alone,6528950,5804653,724297
