DATE,MT,GA,LA,IN,MS,PA,WV,CT,SD,VT,MI,TN,WA,MO,OR,ID,MA,NV,TX,IA,ND,CO,NJ,NM,OK,MN,AL,WI,NE,SC,ME,AR,DC,HI,RI,OH,MD,WY,NH,NY,DE,AK,FL,VA,AZ,KY,NC,CA,IL,UT,KS
1990-01-01,293.3,3016.5,1567.0,2513.5,929.5,5192.3,624.8,1643.8,283.4,261.4,3905.0,2192.7,2121.1,2345.1,1244.7,376.6,3047.5,610.2,6994.8,1216.5,263.3,1503.0,3690.7,572.4,1195.2,2124.7,1623.1,2267.5,720.5,1517.8,544.4,914.1,687.6,517.5,460.7,4842.3,2171.2,195.6,519.8,8265.0,345.4,230.0,5346.4,2897.3,1473.8,1450.5,3128.9,12499.3,5268.3,710.6,1088.0
1990-02-01,293.7,3021.8,1569.7,2512.5,931.9,5195.9,626.7,1639.0,284.1,259.9,3943.3,2195.7,2124.7,2345.9,1241.6,378.6,3042.6,610.1,7007.4,1222.4,263.4,1507.0,3690.4,573.3,1199.3,2130.4,1621.3,2276.9,723.6,1521.5,543.2,913.4,689.0,521.5,461.0,4865.9,2181.2,196.0,517.7,8268.4,350.3,232.1,5363.4,2905.4,1475.9,1452.5,3139.0,12508.2,5278.0,711.4,1089.0
1990-03-01,294.9,3033.0,1576.2,2518.4,935.3,5200.5,630.8,1637.8,285.6,259.9,3956.4,2199.4,2131.1,2345.5,1248.3,381.4,3035.9,613.3,7030.0,1220.1,263.9,1511.0,3694.0,575.5,1200.0,2130.7,1620.6,2279.9,725.0,1522.7,544.5,916.3,690.9,522.7,461.5,4877.4,2187.5,197.5,517.7,8273.0,350.8,234.4,5372.8,2910.5,1478.7,1459.6,3144.9,12513.4,5290.9,713.9,1089.8
1990-04-01,297.1,3027.1,1579.8,2509.0,937.0,5183.6,630.9,1628.8,286.7,260.0,3964.6,2200.4,2141.2,2342.2,1254.4,384.0,3016.2,615.5,7056.7,1220.7,265.7,1515.0,3667.0,580.2,1203.6,2134.3,1634.0,2287.9,730.3,1528.0,542.3,918.5,688.0,526.2,456.7,4889.9,2186.0,199.5,513.8,8247.2,348.7,236.3,5374.7,2905.8,1484.9,1453.6,3142.7,12540.2,5284.2,719.9,1089.6
1990-05-01,297.2,3029.5,1591.1,2511.2,940.9,5180.8,635.7,1629.5,288.0,260.6,3964.8,2203.2,2144.6,2346.3,1257.4,383.6,3010.0,616.1,7095.3,1222.0,266.6,1524.0,3659.0,582.0,1206.8,2131.5,1639.8,2290.3,731.1,1532.2,540.7,922.0,686.8,527.1,455.8,4895.0,2177.3,197.6,510.7,8252.7,349.2,236.2,5380.0,2907.2,1488.0,1458.8,3139.9,12555.1,5291.7,721.5,1092.3
1990-06-01,298.9,3038.2,1588.2,2529.9,939.0,5176.2,634.8,1628.9,288.0,259.6,3968.4,2202.6,2150.1,2346.0,1259.8,383.7,3001.6,619.4,7105.9,1221.6,266.0,1522.3,3649.6,585.7,1212.2,2131.8,1642.4,2296.8,732.0,1536.1,540.5,924.8,687.9,527.8,454.8,4897.8,2185.7,197.9,509.2,8231.3,348.4,239.4,5383.8,2904.8,1482.3,1455.1,3137.1,12554.2,5297.0,725.0,1091.8
1990-07-01,297.6,3037.3,1593.8,2540.8,943.4,5178.8,633.4,1620.4,290.3,258.3,3973.7,2197.9,2154.9,2347.8,1260.8,384.5,2987.6,626.5,7122.2,1229.8,266.3,1522.5,3639.3,581.6,1215.1,2138.2,1641.9,2298.2,733.1,1530.1,535.9,927.6,685.7,529.3,452.6,4900.3,2173.0,197.8,506.1,8207.5,347.1,238.8,5372.0,2901.2,1484.4,1464.4,3133.3,12574.9,5298.8,726.5,1083.2
1990-08-01,296.9,3036.7,1599.1,2545.1,931.2,5173.9,632.1,1615.4,289.5,257.6,3961.1,2202.7,2164.7,2351.6,1269.2,387.8,2973.5,627.1,7125.3,1229.6,266.5,1525.2,3631.2,581.7,1217.2,2140.7,1642.7,2298.2,733.9,1528.5,529.3,928.2,686.5,529.9,451.0,4900.1,2170.7,198.9,504.9,8200.3,350.1,238.1,5369.9,2900.9,1483.4,1467.5,3121.2,12544.0,5308.9,729.1,1091.8
1990-09-01,296.5,3032.4,1596.8,2530.7,941.6,5170.6,631.5,1612.3,290.3,255.4,3945.8,2199.4,2161.4,2348.2,1260.8,390.6,2963.1,626.9,7159.4,1235.3,266.1,1529.4,3605.9,581.4,1220.7,2142.3,1645.1,2302.7,733.1,1535.0,528.5,931.9,686.1,530.4,452.0,4904.0,2179.9,199.0,505.4,8179.8,349.2,238.2,5363.5,2898.3,1485.8,1466.4,3122.8,12544.8,5297.8,733.4,1094.9
1990-10-01,300.3,3018.8,1595.9,2527.6,942.1,5151.8,630.0,1601.4,291.3,254.4,3935.5,2192.8,2154.8,2340.5,1257.0,390.6,2940.1,628.9,7157.3,1233.7,267.0,1527.1,3578.1,581.7,1213.9,2139.6,1639.8,2301.5,732.3,1531.9,526.9,929.5,681.4,534.8,449.1,4885.1,2161.3,199.2,499.3,8134.7,347.1,239.7,5357.7,2881.5,1486.3,1465.7,3107.5,12562.9,5282.6,736.1,1094.9
