DATE,VALUE in MO,VALUE in TX,VALUE in WA,VALUE in HI,VALUE in IA,VALUE in AK,VALUE in ID,VALUE in AL,VALUE in VT,VALUE in TN,VALUE in NH,VALUE in NV,VALUE in CA,VALUE in UT,VALUE in NE,VALUE in OK,VALUE in NC,VALUE in MI,VALUE in SC,VALUE in KY,VALUE in MA,VALUE in CO,VALUE in NM,VALUE in FL,VALUE in GA,VALUE in IN,VALUE in WI,VALUE in AZ,VALUE in ME,VALUE in OR,VALUE in VA,VALUE in NJ,VALUE in WV,VALUE in MT,VALUE in ND,VALUE in DE,VALUE in CT,VALUE in OH,VALUE in SD,VALUE in KS,VALUE in MN,VALUE in PA,VALUE in RI,VALUE in MD,VALUE in WY,VALUE in AR,VALUE in LA,VALUE in DC,VALUE in MS,VALUE in IL,VALUE in NY
1990-01-01,2345.1,6994.8,2121.1,517.5,1216.5,230.0,376.6,1623.1,261.4,2192.7,519.8,610.2,12499.3,710.6,720.5,1195.2,3128.9,3905.0,1517.8,1450.5,3047.5,1503.0,572.4,5346.4,3016.5,2513.5,2267.5,1473.8,544.4,1244.7,2897.3,3690.7,624.8,293.3,263.3,345.4,1643.8,4842.3,283.4,1088.0,2124.7,5192.3,460.7,2171.2,195.6,914.1,1567.0,687.6,929.5,5268.3,8265.0
1990-02-01,2345.9,7007.4,2124.7,521.5,1222.4,232.1,378.6,1621.3,259.9,2195.7,517.7,610.1,12508.2,711.4,723.6,1199.3,3139.0,3943.3,1521.5,1452.5,3042.6,1507.0,573.3,5363.4,3021.8,2512.5,2276.9,1475.9,543.2,1241.6,2905.4,3690.4,626.7,293.7,263.4,350.3,1639.0,4865.9,284.1,1089.0,2130.4,5195.9,461.0,2181.2,196.0,913.4,1569.7,689.0,931.9,5278.0,8268.4
1990-03-01,2345.5,7030.0,2131.1,522.7,1220.1,234.4,381.4,1620.6,259.9,2199.4,517.7,613.3,12513.4,713.9,725.0,1200.0,3144.9,3956.4,1522.7,1459.6,3035.9,1511.0,575.5,5372.8,3033.0,2518.4,2279.9,1478.7,544.5,1248.3,2910.5,3694.0,630.8,294.9,263.9,350.8,1637.8,4877.4,285.6,1089.8,2130.7,5200.5,461.5,2187.5,197.5,916.3,1576.2,690.9,935.3,5290.9,8273.0
1990-04-01,2342.2,7056.7,2141.2,526.2,1220.7,236.3,384.0,1634.0,260.0,2200.4,513.8,615.5,12540.2,719.9,730.3,1203.6,3142.7,3964.6,1528.0,1453.6,3016.2,1515.0,580.2,5374.7,3027.1,2509.0,2287.9,1484.9,542.3,1254.4,2905.8,3667.0,630.9,297.1,265.7,348.7,1628.8,4889.9,286.7,1089.6,2134.3,5183.6,456.7,2186.0,199.5,918.5,1579.8,688.0,937.0,5284.2,8247.2
1990-05-01,2346.3,7095.3,2144.6,527.1,1222.0,236.2,383.6,1639.8,260.6,2203.2,510.7,616.1,12555.1,721.5,731.1,1206.8,3139.9,3964.8,1532.2,1458.8,3010.0,1524.0,582.0,5380.0,3029.5,2511.2,2290.3,1488.0,540.7,1257.4,2907.2,3659.0,635.7,297.2,266.6,349.2,1629.5,4895.0,288.0,1092.3,2131.5,5180.8,455.8,2177.3,197.6,922.0,1591.1,686.8,940.9,5291.7,8252.7
1990-06-01,2346.0,7105.9,2150.1,527.8,1221.6,239.4,383.7,1642.4,259.6,2202.6,509.2,619.4,12554.2,725.0,732.0,1212.2,3137.1,3968.4,1536.1,1455.1,3001.6,1522.3,585.7,5383.8,3038.2,2529.9,2296.8,1482.3,540.5,1259.8,2904.8,3649.6,634.8,298.9,266.0,348.4,1628.9,4897.8,288.0,1091.8,2131.8,5176.2,454.8,2185.7,197.9,924.8,1588.2,687.9,939.0,5297.0,8231.3
1990-07-01,2347.8,7122.2,2154.9,529.3,1229.8,238.8,384.5,1641.9,258.3,2197.9,506.1,626.5,12574.9,726.5,733.1,1215.1,3133.3,3973.7,1530.1,1464.4,2987.6,1522.5,581.6,5372.0,3037.3,2540.8,2298.2,1484.4,535.9,1260.8,2901.2,3639.3,633.4,297.6,266.3,347.1,1620.4,4900.3,290.3,1083.2,2138.2,5178.8,452.6,2173.0,197.8,927.6,1593.8,685.7,943.4,5298.8,8207.5
1990-08-01,2351.6,7125.3,2164.7,529.9,1229.6,238.1,387.8,1642.7,257.6,2202.7,504.9,627.1,12544.0,729.1,733.9,1217.2,3121.2,3961.1,1528.5,1467.5,2973.5,1525.2,581.7,5369.9,3036.7,2545.1,2298.2,1483.4,529.3,1269.2,2900.9,3631.2,632.1,296.9,266.5,350.1,1615.4,4900.1,289.5,1091.8,2140.7,5173.9,451.0,2170.7,198.9,928.2,1599.1,686.5,931.2,5308.9,8200.3
1990-09-01,2348.2,7159.4,2161.4,530.4,1235.3,238.2,390.6,1645.1,255.4,2199.4,505.4,626.9,12544.8,733.4,733.1,1220.7,3122.8,3945.8,1535.0,1466.4,2963.1,1529.4,581.4,5363.5,3032.4,2530.7,2302.7,1485.8,528.5,1260.8,2898.3,3605.9,631.5,296.5,266.1,349.2,1612.3,4904.0,290.3,1094.9,2142.3,5170.6,452.0,2179.9,199.0,931.9,1596.8,686.1,941.6,5297.8,8179.8
1990-10-01,2340.5,7157.3,2154.8,534.8,1233.7,239.7,390.6,1639.8,254.4,2192.8,499.3,628.9,12562.9,736.1,732.3,1213.9,3107.5,3935.5,1531.9,1465.7,2940.1,1527.1,581.7,5357.7,3018.8,2527.6,2301.5,1486.3,526.9,1257.0,2881.5,3578.1,630.0,300.3,267.0,347.1,1601.4,4885.1,291.3,1094.9,2139.6,5151.8,449.1,2161.3,199.2,929.5,1595.9,681.4,942.1,5282.6,8134.7
