Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,8.0,0.0,1.5,23.6,3.3,1.0,0.0,5.2,1.2,2.9,27.3,2.5,1.6
2001,0.0,0.0,0.0,8.5,0.0,1.6,25.1,3.3,1.1,0.0,6.2,1.5,3.0,29.2,2.4,1.6
2002,0.0,-0.0,0.0,8.9,0.0,1.6,26.6,4.6,1.1,0.0,6.8,1.6,3.0,31.9,2.7,1.5
2003,0.0,0.1,0.0,9.5,0.0,1.7,28.2,5.2,1.1,0.0,6.6,1.8,3.0,33.7,3.0,1.8
2004,0.0,0.0,0.0,10.2,0.0,1.7,29.8,5.8,1.1,0.0,6.8,1.9,3.3,36.1,3.1,2.0
2005,0.0,-0.0,0.0,11.0,0.0,2.0,32.8,6.9,1.1,0.0,7.2,2.3,3.8,39.5,3.1,2.0
2006,0.0,-0.0,0.0,12.0,0.0,2.2,34.4,7.1,1.3,0.0,8.1,2.5,4.0,42.8,3.6,2.0
2007,0.0,-0.0,0.0,13.2,0.0,2.4,39.1,7.6,1.3,0.0,8.6,2.8,4.8,47.1,4.1,2.4
2008,0.0,0.0,0.0,14.3,0.0,2.6,43.5,8.5,1.8,0.0,9.8,3.1,5.1,52.4,4.5,2.7
2009,0.0,-0.0,0.0,14.2,0.0,2.4,48.6,9.2,1.8,0.0,10.0,3.2,5.3,53.9,4.6,3.1
2010,0.0,0.0,0.0,13.6,0.0,2.4,49.0,10.1,1.9,0.0,8.6,3.4,5.2,53.4,4.1,4.2
2011,0.0,0.0,0.0,13.6,0.0,2.2,50.3,10.6,2.1,0.0,8.2,3.4,4.9,52.6,3.8,3.8
2012,0.0,-0.0,0.0,13.7,0.0,2.2,49.1,10.3,1.7,0.0,8.0,3.6,4.9,51.1,3.6,3.2
2013,0.0,0.0,0.0,13.6,0.0,2.2,48.7,10.4,1.5,0.0,8.5,3.8,4.9,51.5,3.6,2.8
2014,0.0,0.0,0.0,14.8,0.0,2.3,50.8,11.3,1.5,0.0,8.1,4.0,5.1,53.1,3.2,2.6
2015,0.0,0.0,0.0,14.8,0.0,2.3,52.8,11.9,1.6,0.0,7.8,4.3,5.1,53.6,3.1,2.6
