Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-2.5,0.0,64.4,0.0,13.5,177.9,34.2,7.5,0.0,37.1,15.2,21.8,234.1,18.1,24.8
2001,0.0,-2.7,0.0,71.4,0.0,14.4,191.9,37.6,7.9,0.0,49.3,16.7,24.2,265.7,19.9,27.1
2002,0.0,-0.0,0.0,77.9,0.0,15.6,209.7,41.1,8.7,0.0,51.2,18.6,27.1,290.5,21.5,28.7
2003,0.0,1.8,0.0,82.1,0.0,17.5,246.9,46.3,9.3,0.0,51.0,20.9,27.4,310.1,19.1,34.7
2004,0.0,0.0,0.0,85.6,0.0,17.5,270.4,48.9,9.9,0.0,55.8,23.8,29.1,325.1,22.1,32.4
2005,0.0,-0.0,0.0,89.9,0.0,17.7,286.8,53.0,10.5,0.0,56.2,25.3,30.8,339.1,22.5,33.2
2006,0.0,-0.0,0.0,93.9,0.0,18.5,300.7,53.2,11.7,0.0,61.1,26.7,33.4,359.7,26.2,34.9
2007,0.0,0.0,0.0,99.8,0.0,21.0,330.5,55.7,12.9,0.0,67.6,28.4,37.6,386.5,26.3,37.2
2008,0.0,0.0,0.0,105.2,0.0,21.9,341.0,60.5,13.5,0.0,67.7,30.6,40.3,409.3,28.5,40.9
2009,0.0,-0.0,0.0,105.3,0.0,21.8,374.8,64.6,14.4,0.0,70.8,32.4,41.6,425.8,29.3,45.6
2010,0.0,-0.0,0.0,104.7,0.0,21.1,405.7,63.4,15.4,0.0,69.6,35.2,39.7,429.5,31.5,48.7
2011,0.0,0.0,0.0,104.3,0.0,20.7,420.7,79.9,16.9,0.0,68.5,37.8,39.9,453.5,29.8,55.6
2012,0.0,-0.0,0.0,109.1,0.0,19.9,419.8,76.5,16.7,0.0,62.6,40.3,39.6,445.9,31.9,49.3
2013,0.0,-0.0,0.0,107.4,0.0,20.0,420.3,85.6,16.7,0.0,64.2,43.5,41.0,460.4,36.0,46.1
2014,0.0,-0.6,0.0,98.5,0.0,20.2,433.0,91.3,16.6,0.0,62.2,46.8,43.5,458.0,35.1,44.4
2015,0.0,-0.0,0.0,95.7,0.0,20.4,446.1,97.2,16.7,0.0,64.9,49.5,46.1,470.4,35.2,44.7
