Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,6.8,0.0,1.4,23.5,3.8,1.3,0.0,4.0,1.6,1.8,24.0,1.5,1.8
2001,0.0,0.0,0.0,7.6,0.0,1.3,25.0,4.0,1.4,0.0,4.5,1.8,1.9,25.9,1.5,1.9
2002,0.0,0.0,0.0,8.0,0.0,1.4,27.8,4.5,1.4,0.0,4.7,1.9,2.0,27.6,1.7,2.1
2003,0.0,0.1,0.0,8.8,0.0,1.5,30.0,4.8,1.6,0.0,5.0,2.0,2.0,29.6,1.5,2.6
2004,0.0,0.0,0.0,8.9,0.0,1.4,30.9,4.7,1.6,0.0,4.0,2.2,1.9,28.9,1.6,2.6
2005,0.0,0.0,0.0,9.3,0.0,1.5,31.2,4.9,1.4,0.0,4.2,2.3,2.0,29.6,1.6,2.4
2006,0.0,-0.0,0.0,10.1,0.0,1.5,32.2,5.3,1.4,0.0,4.4,2.5,2.1,31.4,1.7,2.5
2007,0.0,0.0,0.0,10.8,0.0,1.7,32.5,5.4,1.5,0.0,4.3,2.6,2.2,32.7,1.7,2.6
2008,0.0,-0.0,0.0,11.3,0.0,1.8,36.6,6.0,1.6,0.0,4.7,2.8,2.3,35.2,1.9,2.7
2009,0.0,-0.0,0.0,11.9,0.0,1.8,38.1,6.5,1.8,0.0,4.9,3.0,2.3,37.6,2.1,3.4
2010,0.0,0.0,0.0,11.7,0.0,1.7,41.1,6.4,1.8,0.0,4.9,3.3,2.4,39.2,2.3,4.7
2011,0.0,0.0,0.0,11.8,0.0,1.8,41.5,7.0,1.9,0.0,5.0,3.5,2.5,40.4,2.3,4.6
2012,0.0,0.0,0.0,12.4,0.0,1.8,42.8,7.3,1.9,0.0,5.3,3.7,2.5,41.5,2.5,4.1
2013,0.0,-0.0,0.0,12.4,0.0,1.8,43.4,7.9,1.8,0.0,5.2,3.9,2.5,41.9,2.6,3.8
2014,0.0,0.0,0.0,11.2,0.0,1.9,44.6,7.7,1.8,0.0,5.5,4.1,2.5,40.8,2.3,3.5
2015,0.0,0.0,0.0,11.1,0.0,2.0,45.8,7.6,1.8,0.0,5.8,4.4,2.6,41.0,2.2,3.5
