Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,1.0,0.0,0.3,5.1,1.5,0.2,0.0,1.1,0.0,0.8,6.5,1.1,0.5
2001,0.0,0.0,0.0,1.1,0.0,0.4,5.2,1.5,0.2,0.0,1.3,0.0,0.8,7.2,1.3,0.7
2002,0.0,-0.0,0.0,1.2,0.0,0.4,5.4,1.5,0.2,0.0,1.5,0.0,0.8,7.8,1.4,0.8
2003,0.0,-0.0,0.0,1.3,0.0,0.4,6.0,1.6,0.3,0.0,1.4,0.0,0.8,8.1,1.5,0.9
2004,0.0,0.0,0.0,1.4,0.0,0.4,6.5,1.8,0.3,0.0,1.3,0.0,0.8,8.4,1.5,0.9
2005,0.0,-0.0,0.0,1.5,0.0,0.4,6.7,1.8,0.3,0.0,1.3,0.0,0.8,8.9,1.6,1.1
2006,0.0,0.0,0.0,1.5,0.0,0.5,8.0,1.9,0.3,0.0,1.8,0.0,1.0,10.1,1.9,1.2
2007,0.0,0.0,0.0,1.6,0.0,0.5,8.9,1.8,0.4,0.0,1.9,0.1,1.0,10.6,1.9,1.5
2008,0.0,-0.0,0.0,2.3,0.0,0.5,9.6,2.3,0.4,0.0,2.3,0.1,1.2,13.0,2.3,1.6
2009,0.0,-0.0,0.0,2.3,0.0,0.6,9.8,2.5,0.4,0.0,1.7,0.2,1.1,12.6,2.3,1.5
2010,0.0,0.0,0.0,2.5,0.0,0.6,10.3,2.6,0.4,0.0,1.7,0.2,1.1,13.7,2.6,1.9
2011,0.0,-0.0,0.0,2.4,0.0,0.5,11.3,2.8,0.5,0.0,1.7,0.2,1.1,13.9,2.8,1.8
2012,0.0,-0.0,0.0,2.4,0.0,0.4,11.6,3.0,0.5,0.0,1.9,0.3,1.1,13.8,2.8,1.4
2013,0.0,0.0,0.0,2.6,0.0,0.5,12.4,3.2,0.5,0.0,2.1,0.3,1.1,14.9,3.1,1.5
2014,0.0,0.0,0.2,3.1,0.0,0.5,14.9,3.5,0.6,0.0,3.3,0.4,1.2,17.7,3.4,1.5
2015,0.0,0.0,0.2,3.7,0.0,0.6,15.6,3.8,0.6,0.0,4.0,0.5,1.2,20.3,3.8,2.0
