Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,23.1,0.0,4.4,78.5,14.7,3.8,0.0,15.2,2.5,9.2,84.3,7.6,3.6
2001,0.0,-0.0,0.0,24.8,0.0,4.7,83.8,15.9,4.0,0.0,16.7,3.4,9.8,92.6,8.8,4.4
2002,0.0,0.0,0.0,26.2,0.0,4.9,90.3,17.4,4.2,0.0,17.8,3.7,10.2,99.3,9.7,5.1
2003,0.0,1.3,0.0,28.2,0.0,5.2,98.6,19.7,4.4,0.0,18.4,5.2,10.2,108.3,8.9,6.6
2004,0.0,0.0,0.0,29.9,0.0,5.9,109.9,22.3,4.7,0.0,19.8,5.0,11.5,115.3,10.5,5.7
2005,0.0,-0.0,0.0,32.6,0.0,6.4,113.3,24.0,4.7,0.0,25.6,5.3,12.5,130.9,11.5,8.2
2006,0.0,0.0,0.0,35.9,0.0,7.3,119.8,25.2,4.4,0.0,28.1,5.6,13.6,140.8,12.7,8.0
2007,0.0,0.0,0.0,40.1,0.0,8.0,134.9,25.9,4.8,0.0,28.5,6.3,14.5,148.9,13.6,7.1
2008,0.0,0.0,0.0,42.0,0.0,7.7,146.5,28.2,5.2,0.0,31.1,6.7,16.0,158.7,14.4,7.5
2009,0.0,0.0,0.0,40.1,0.0,7.3,148.4,29.4,5.0,0.0,31.8,7.5,16.4,160.5,14.2,8.8
2010,0.0,-0.0,0.0,39.0,0.0,7.1,150.9,31.8,4.8,0.0,30.3,7.9,16.2,163.5,13.4,13.0
2011,0.0,0.0,0.0,39.3,0.0,6.7,152.0,33.4,4.9,0.0,29.4,8.6,15.8,163.1,12.6,12.3
2012,0.0,-0.0,0.0,37.9,0.0,6.6,146.9,33.2,5.0,0.0,29.3,8.2,15.7,157.5,12.1,9.6
2013,0.0,-0.0,0.0,38.1,0.0,6.4,146.4,33.5,4.8,0.0,29.0,8.9,15.4,157.0,12.2,8.7
2014,0.0,0.0,0.0,38.2,0.0,6.7,140.5,36.0,4.4,0.0,27.8,9.5,15.3,159.0,13.6,7.5
2015,0.0,0.0,0.0,38.2,0.0,7.0,136.1,38.4,4.1,0.0,27.8,10.1,15.4,163.0,14.8,7.1
