Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,14.9,0.0,2.1,29.9,7.9,1.1,0.0,6.8,1.6,3.4,43.5,3.4,2.4
2001,0.0,-0.0,0.0,16.4,0.0,2.2,32.0,9.2,1.1,0.0,7.4,2.0,3.7,47.9,3.6,2.4
2002,0.0,0.0,0.0,17.5,0.0,2.4,34.3,11.1,1.1,0.0,8.2,2.2,4.1,53.6,3.9,3.0
2003,0.0,0.3,0.0,18.4,0.0,2.5,35.0,11.3,1.1,0.0,8.1,2.5,3.8,55.7,3.9,4.0
2004,0.0,-0.0,0.0,19.4,0.0,2.7,34.8,12.7,1.1,0.0,8.7,2.7,4.4,58.5,3.9,2.8
2005,0.0,-0.0,0.0,20.1,0.0,2.7,39.0,12.6,1.1,0.0,8.6,3.0,4.5,60.7,5.2,2.7
2006,0.0,0.0,0.0,21.4,0.0,2.8,42.1,12.7,1.1,0.0,9.4,3.2,5.0,64.3,5.3,3.2
2007,0.0,-0.0,0.1,23.4,0.0,3.1,46.5,14.6,1.3,0.0,10.5,3.7,5.5,73.6,8.0,3.3
2008,0.0,-0.0,0.1,25.9,0.0,3.4,49.5,15.2,1.4,0.0,12.1,4.4,5.9,77.7,5.7,3.7
2009,0.0,-0.0,0.0,26.0,0.0,3.5,53.6,14.3,1.5,0.0,11.1,4.2,5.8,76.2,5.2,4.6
2010,0.0,0.0,0.0,25.2,0.0,3.3,52.5,15.2,1.5,0.0,11.1,4.6,5.8,78.2,5.2,6.4
2011,0.0,0.0,0.0,25.5,0.0,3.3,54.3,15.9,1.5,0.0,11.0,5.0,5.8,78.5,4.7,5.8
2012,0.0,-0.0,0.0,25.4,0.0,3.4,55.8,16.1,1.5,0.0,10.9,5.4,5.9,78.4,4.9,4.9
2013,0.0,-0.0,0.0,25.4,0.0,3.4,55.7,16.7,1.5,0.0,10.5,5.8,6.0,78.8,5.1,4.4
2014,0.0,0.0,0.0,25.1,0.0,3.3,56.0,17.4,1.5,0.0,9.9,6.1,5.8,78.4,5.2,3.9
2015,0.0,-0.0,0.0,24.7,0.0,3.4,56.6,17.9,1.5,0.0,9.5,6.5,5.6,78.2,5.3,3.7
