Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,2.2,0.0,0.4,3.4,1.1,0.2,0.0,0.8,0.3,0.5,6.4,0.6,0.4
2001,0.0,0.0,0.0,2.3,0.0,0.4,3.6,1.3,0.2,0.0,0.9,0.4,0.6,7.1,0.7,0.4
2002,0.0,0.0,0.0,2.5,0.0,0.4,4.0,1.4,0.2,0.0,0.9,0.4,0.6,7.6,0.7,0.5
2003,0.0,0.1,0.0,2.5,0.0,0.4,4.1,1.5,0.2,0.0,0.8,0.4,0.6,7.9,0.7,0.6
2004,0.0,0.0,0.0,2.7,0.0,0.5,4.0,1.7,0.2,0.0,1.0,0.4,0.6,8.4,0.7,0.5
2005,0.0,0.0,0.0,2.8,0.0,0.5,4.0,1.9,0.2,0.0,1.1,0.5,0.7,8.9,0.7,0.5
2006,0.0,0.0,0.0,2.9,0.0,0.5,4.4,2.1,0.2,0.0,1.1,0.5,0.7,9.3,0.8,0.5
2007,0.0,0.0,0.0,3.0,0.0,0.6,5.1,2.2,0.2,0.0,1.3,0.6,0.8,9.9,0.8,0.5
2008,0.0,0.0,0.0,3.2,0.0,0.7,5.7,2.4,0.3,0.0,1.3,0.6,0.8,10.8,0.9,0.6
2009,0.0,-0.0,0.0,3.3,0.0,0.7,5.9,2.5,0.3,0.0,1.4,0.7,0.9,11.6,1.0,0.8
2010,0.0,0.0,0.0,3.3,0.0,0.6,6.1,2.7,0.3,0.0,1.4,0.7,0.9,12.1,1.1,1.1
2011,0.0,-0.0,0.0,3.2,0.0,0.6,6.2,2.9,0.3,0.0,1.3,0.7,0.9,12.0,1.1,1.0
2012,0.0,0.0,0.0,3.2,0.0,0.6,6.2,2.5,0.3,0.0,1.4,0.8,0.9,11.4,1.0,0.8
2013,0.0,0.0,0.0,3.2,0.0,0.6,5.9,2.7,0.2,0.0,1.5,0.8,1.0,11.7,1.0,0.7
2014,0.0,-0.0,0.0,3.1,0.0,0.6,5.8,2.7,0.2,0.0,1.5,0.9,1.0,11.6,0.9,0.6
2015,0.0,-0.0,-0.0,3.1,0.0,0.6,5.8,2.8,0.2,0.0,1.5,1.0,0.9,11.6,0.9,0.6
