Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,11.7,0.0,1.6,19.9,5.5,1.0,0.0,4.1,1.0,2.1,31.2,2.2,2.2
2001,0.0,-0.0,0.0,12.2,0.0,1.6,21.8,5.7,1.1,0.0,4.8,1.1,2.2,33.7,2.4,2.5
2002,0.0,0.0,0.0,12.5,0.0,1.9,24.1,6.6,1.2,0.0,5.5,1.1,2.3,36.3,2.3,2.9
2003,0.0,0.3,0.0,13.3,0.0,1.7,27.4,7.0,1.2,0.0,5.2,1.1,2.3,37.6,2.4,3.2
2004,0.0,-0.0,0.0,13.9,0.0,1.8,31.2,7.6,1.3,0.0,5.5,1.2,2.4,39.4,2.7,3.0
2005,0.0,-0.0,0.0,15.0,0.0,1.8,32.1,8.2,1.4,0.0,6.0,1.3,2.7,42.2,2.7,3.1
2006,0.0,-0.0,0.0,15.3,0.0,1.8,34.3,8.7,1.4,0.0,6.7,1.5,2.7,44.1,2.8,3.3
2007,0.0,-0.0,0.0,16.0,0.0,1.9,41.2,9.1,1.7,0.0,7.2,1.6,2.8,46.6,3.0,3.3
2008,0.0,-0.0,0.0,16.0,0.0,2.0,46.4,10.5,1.7,0.0,7.0,1.7,3.1,48.9,3.6,3.2
2009,0.0,-0.0,0.0,16.7,0.0,2.0,51.2,10.2,1.8,0.0,7.9,1.7,3.1,51.5,3.7,4.5
2010,0.0,0.0,0.0,17.0,0.0,1.9,51.2,10.9,1.9,0.0,7.5,1.9,3.2,53.2,3.2,5.7
2011,0.0,0.0,0.0,16.7,0.0,1.9,49.7,11.3,1.9,0.0,7.3,2.1,3.1,52.7,3.2,5.2
2012,0.0,-0.0,0.0,17.3,0.0,1.9,49.6,11.6,1.9,0.0,6.9,2.3,2.9,52.4,3.2,4.4
2013,0.0,0.0,0.0,17.0,0.0,1.9,49.4,14.2,2.0,0.0,6.1,2.3,3.1,53.1,3.0,3.5
2014,0.0,0.0,0.0,15.5,0.0,1.9,46.3,13.3,2.0,0.0,6.4,2.4,2.9,50.9,2.7,3.8
2015,0.0,0.0,0.0,14.8,0.0,1.9,43.8,12.4,2.0,0.0,6.6,2.5,2.8,49.2,2.6,3.7
