Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,5.0,0.0,1.0,10.4,1.9,0.5,0.0,2.1,0.6,1.0,14.4,1.8,0.7
2001,0.0,-0.0,0.0,5.4,0.0,1.1,11.5,2.4,0.6,0.0,2.3,0.6,1.1,15.9,1.6,0.8
2002,0.0,-0.0,0.0,5.6,0.0,0.9,12.5,2.6,0.6,0.0,2.5,0.7,1.1,16.7,1.6,1.1
2003,0.0,0.1,0.0,5.9,0.0,1.0,13.3,2.7,0.7,0.0,2.5,0.7,1.2,17.6,1.6,1.3
2004,0.0,-0.0,0.0,6.2,0.0,0.9,16.1,2.8,0.7,0.0,2.6,0.8,1.2,18.4,1.9,1.4
2005,0.0,0.0,0.0,6.2,0.0,0.9,17.6,3.3,0.7,0.0,2.8,0.9,1.2,18.9,1.8,1.1
2006,0.0,0.0,0.0,6.7,0.0,1.0,19.9,3.7,0.8,0.0,3.1,1.0,1.3,20.2,1.9,0.9
2007,0.0,0.0,0.0,7.2,0.0,0.9,21.2,4.4,0.8,0.0,3.3,1.1,1.4,21.8,1.7,0.9
2008,0.0,-0.0,0.0,7.6,0.0,1.1,25.4,4.8,1.2,0.0,3.4,1.1,1.5,23.6,1.9,1.0
2009,0.0,0.0,0.0,8.5,0.0,1.1,26.7,5.1,1.2,0.0,3.8,1.2,1.6,25.8,2.0,1.3
2010,0.0,-0.0,0.0,8.6,0.0,1.1,27.8,5.3,1.2,0.0,3.5,1.2,1.6,26.5,1.8,2.1
2011,0.0,-0.0,0.0,8.5,0.0,1.1,27.1,5.7,1.1,0.0,3.6,1.3,1.6,26.5,1.9,1.7
2012,0.0,0.0,0.0,8.5,0.0,1.1,26.7,6.0,1.1,0.0,3.5,1.4,1.6,26.6,1.9,1.4
2013,0.0,0.0,0.0,8.5,0.0,1.1,25.8,6.4,1.0,0.0,3.4,1.5,1.7,26.6,1.9,1.2
2014,0.0,0.0,0.0,8.5,0.0,1.0,25.7,6.7,1.0,0.0,3.5,1.6,1.6,27.1,1.9,1.3
2015,0.0,0.0,0.0,8.4,0.0,1.1,25.7,7.0,1.1,0.0,3.6,1.7,1.5,27.4,1.9,1.2
