Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,7.3,0.0,1.1,18.0,5.8,1.0,0.0,2.9,1.7,2.0,25.0,2.1,1.1
2001,0.0,0.0,0.0,7.6,0.0,1.2,19.0,5.6,1.0,0.0,3.0,1.9,2.0,25.5,1.9,1.2
2002,0.0,0.0,0.0,8.1,0.0,1.4,21.0,6.0,1.1,0.0,3.2,2.0,2.1,27.3,2.0,1.4
2003,0.0,0.3,0.0,8.5,0.0,1.5,21.6,5.6,1.2,0.0,3.4,2.2,2.2,28.5,1.9,1.9
2004,0.0,0.0,0.0,8.7,0.0,1.6,22.2,7.1,1.3,0.0,3.9,2.3,2.4,31.1,2.3,1.5
2005,0.0,-0.0,0.0,9.1,0.0,1.5,24.8,7.7,1.2,0.0,4.2,2.4,2.5,32.6,2.3,1.6
2006,0.0,0.0,0.0,9.3,0.0,1.6,24.7,7.7,1.2,0.0,4.9,2.6,2.8,35.3,2.8,2.4
2007,0.0,-0.0,0.0,10.3,0.0,1.8,27.7,8.4,1.4,0.0,5.3,2.8,2.9,40.0,2.8,4.4
2008,0.0,-0.0,0.0,12.0,0.0,2.0,33.2,9.7,1.6,0.0,5.2,2.9,3.2,46.9,3.5,6.7
2009,0.0,0.0,0.0,12.4,0.0,2.1,34.5,10.4,1.7,0.0,6.3,3.1,3.5,48.0,4.2,4.2
2010,0.0,0.0,0.0,12.2,0.0,2.2,35.7,10.9,1.8,0.0,6.9,3.2,3.5,48.8,3.6,4.3
2011,0.0,-0.0,0.0,12.3,0.0,2.2,38.8,10.9,1.8,0.0,7.0,3.5,3.7,48.9,3.8,3.7
2012,0.0,-0.0,0.0,13.0,0.0,2.1,35.9,10.6,1.7,0.0,6.7,3.5,3.7,48.1,3.6,3.1
2013,0.0,-0.0,0.0,12.2,0.0,2.2,39.0,11.5,1.5,0.0,6.8,3.9,3.8,47.9,3.4,2.5
2014,0.0,0.0,0.0,11.0,0.0,2.2,39.9,12.1,1.4,0.0,6.2,4.3,3.8,46.1,3.0,2.2
2015,0.0,-0.0,0.0,10.4,0.0,2.2,40.7,13.1,1.4,0.0,6.0,4.5,3.9,46.2,2.8,2.0
