Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.2,0.0,11.7,0.0,1.7,55.2,7.0,2.5,0.0,6.9,2.6,3.2,44.2,5.0,3.8
2001,0.0,-0.2,0.0,12.7,0.0,2.0,60.3,8.1,2.9,0.0,7.3,2.8,3.4,48.2,5.0,4.1
2002,0.0,-0.0,0.0,13.7,0.0,2.1,65.3,7.1,3.2,0.0,7.7,3.0,3.6,50.9,5.2,5.3
2003,0.0,1.0,0.0,13.9,0.0,2.1,69.5,6.4,3.0,0.0,7.7,3.2,3.3,51.4,4.4,6.3
2004,0.0,0.0,0.0,14.9,0.0,2.3,79.1,11.0,3.3,0.0,8.2,3.7,3.5,57.4,5.7,4.8
2005,0.0,-0.0,0.0,15.3,0.0,2.3,82.0,11.2,3.5,0.0,9.0,3.8,3.7,57.7,4.8,4.0
2006,0.0,-0.0,0.0,16.4,0.0,2.3,85.4,12.2,3.6,0.0,9.7,3.7,4.0,60.5,4.5,4.0
2007,0.0,-0.0,0.1,17.1,0.0,2.5,89.3,13.1,4.0,0.0,9.5,4.6,4.3,65.4,4.9,5.4
2008,0.0,0.0,0.1,17.6,0.0,2.6,92.7,13.7,4.2,0.0,9.6,4.8,4.5,68.2,5.5,5.6
2009,0.0,-0.0,0.1,18.5,0.0,2.8,97.6,14.3,4.2,0.0,10.7,5.1,4.6,73.1,5.4,7.6
2010,0.0,0.0,0.1,18.6,0.0,2.6,97.4,14.9,4.0,0.0,11.0,5.4,4.4,76.5,5.3,10.3
2011,0.0,-0.0,0.1,19.3,0.0,2.6,98.2,16.1,3.7,0.0,10.9,5.6,4.5,77.9,5.5,9.6
2012,0.0,-0.0,0.1,19.9,0.0,2.6,96.2,16.3,3.6,0.0,11.2,5.9,4.5,78.4,5.7,8.6
2013,0.0,0.0,0.1,21.3,0.0,2.7,95.4,16.5,3.4,0.0,12.1,6.3,4.7,80.7,5.8,7.8
2014,0.0,0.2,0.0,23.7,0.0,2.8,92.8,16.2,3.2,0.0,11.6,6.3,5.0,83.8,6.3,8.6
2015,0.0,0.0,0.0,25.0,0.0,2.9,91.2,15.7,3.0,0.0,11.5,6.2,5.4,84.9,6.7,8.4
