Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,14.3,0.0,1.6,29.1,9.6,1.3,0.0,7.8,2.0,3.2,46.1,3.0,3.3
2001,0.0,0.0,0.0,15.1,0.0,1.7,31.1,10.7,1.3,0.0,8.1,2.1,3.4,49.3,3.3,3.7
2002,0.0,-0.0,0.0,15.4,0.0,1.7,33.5,11.6,1.3,0.0,8.1,2.3,3.5,51.8,3.6,4.3
2003,0.0,0.2,0.0,16.1,0.0,1.8,35.2,11.4,1.3,0.0,7.8,2.5,3.4,53.0,3.6,4.8
2004,0.0,0.0,0.0,17.4,0.0,1.8,38.0,12.1,1.3,0.0,8.4,2.8,3.8,56.7,4.4,4.7
2005,0.0,0.0,0.0,18.9,0.0,2.0,40.9,14.1,1.2,0.0,8.8,3.0,4.1,60.1,4.4,3.6
2006,0.0,-0.0,0.0,20.1,0.0,2.1,43.9,14.6,1.4,0.0,9.6,3.2,4.4,63.2,4.4,3.2
2007,0.0,-0.0,0.0,21.0,0.0,2.3,50.1,15.5,1.5,0.0,10.5,3.5,4.8,67.2,4.5,3.6
2008,0.0,0.0,0.0,22.2,0.0,2.7,51.3,16.9,1.9,0.0,10.7,3.8,5.1,72.0,4.7,4.1
2009,0.0,0.0,0.0,23.6,0.0,2.8,51.6,18.3,2.0,0.0,10.9,4.0,5.3,76.8,4.4,5.5
2010,0.0,-0.0,0.0,23.7,0.0,2.5,52.2,19.1,2.2,0.0,10.2,4.1,5.5,80.0,4.4,8.3
2011,0.0,0.0,0.0,24.0,0.0,2.6,51.3,19.7,2.0,0.0,10.4,4.4,5.5,81.0,4.8,7.6
2012,0.0,0.0,0.0,23.9,0.0,2.6,50.8,21.6,2.2,0.0,10.8,4.5,5.9,83.4,4.9,6.9
2013,0.0,-0.0,0.0,25.1,0.0,2.6,51.5,23.9,2.2,0.0,10.1,4.9,5.9,85.9,5.0,6.3
2014,0.0,0.0,0.0,22.7,0.0,2.7,48.3,21.5,2.1,0.0,9.6,5.2,5.7,79.5,5.2,4.6
2015,0.0,-0.0,0.0,21.8,0.0,2.8,45.7,20.5,2.1,0.0,9.4,5.4,5.5,77.2,5.4,4.3
