Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,2.1,0.0,0.3,7.0,0.9,0.4,0.0,0.9,0.2,0.4,6.2,0.5,0.5
2001,0.0,0.0,0.0,2.3,0.0,0.3,7.3,0.9,0.3,0.0,0.9,0.2,0.5,6.5,0.5,0.5
2002,0.0,0.0,0.0,2.5,0.0,0.4,7.2,0.9,0.4,0.0,1.1,0.3,0.5,7.1,0.5,0.6
2003,0.0,0.1,0.0,2.6,0.0,0.4,7.6,1.1,0.4,0.0,1.1,0.3,0.5,7.7,0.5,0.7
2004,0.0,0.0,0.0,2.8,0.0,0.4,8.8,1.3,0.4,0.0,1.2,0.3,0.6,8.2,0.6,0.7
2005,0.0,-0.0,0.0,2.9,0.0,0.4,9.3,1.4,0.4,0.0,1.3,0.3,0.6,8.7,0.6,0.7
2006,0.0,0.0,0.0,3.2,0.0,0.4,10.0,1.2,0.5,0.0,1.3,0.4,0.7,9.0,0.7,0.7
2007,0.0,-0.0,0.0,3.3,0.0,0.5,10.3,1.3,0.5,0.0,1.4,0.4,0.7,9.4,0.7,0.7
2008,0.0,0.0,0.0,3.5,0.0,0.5,10.6,1.4,0.5,0.0,1.4,0.4,0.7,10.0,0.8,0.8
2009,0.0,-0.0,0.0,3.5,0.0,0.5,11.0,1.6,0.5,0.0,1.5,0.5,0.7,10.6,0.8,0.9
2010,0.0,-0.0,0.0,3.6,0.0,0.5,11.0,1.7,0.5,0.0,1.8,0.5,0.8,11.4,0.8,1.2
2011,0.0,0.0,0.0,3.8,0.0,0.5,11.2,1.7,0.5,0.0,1.9,0.6,0.8,11.7,0.8,1.0
2012,0.0,0.0,0.0,3.9,0.0,0.5,10.8,1.6,0.5,0.0,1.8,0.6,0.8,11.4,0.8,0.9
2013,0.0,0.0,0.0,3.8,0.0,0.6,11.4,1.5,0.5,0.0,1.9,0.6,0.8,11.4,0.9,0.9
2014,0.0,0.0,0.0,3.8,0.0,0.5,10.6,1.4,0.4,0.0,1.9,0.6,0.8,11.3,0.8,0.9
2015,0.0,-0.0,0.0,3.8,0.0,0.5,10.0,1.4,0.4,0.0,1.9,0.7,0.8,11.2,0.7,0.9
