Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.1,0.0,19.0,0.0,2.6,50.3,6.1,2.2,0.0,8.1,3.4,4.7,54.5,4.3,4.3
2001,0.0,-0.1,0.0,20.2,0.0,2.6,53.2,6.4,2.3,0.0,8.9,3.7,4.9,58.5,4.9,4.6
2002,0.0,0.0,0.0,20.8,0.0,2.8,57.6,7.5,2.4,0.0,10.2,4.2,5.2,64.2,5.3,5.8
2003,0.0,0.8,0.0,23.3,0.0,2.8,60.6,7.8,2.4,0.0,11.0,4.9,5.1,69.7,5.1,6.5
2004,0.0,-0.0,0.0,25.0,0.0,3.1,69.1,11.2,2.7,0.0,10.3,5.3,5.5,74.3,5.5,5.6
2005,0.0,-0.0,0.0,27.0,0.0,3.2,72.9,12.3,2.6,0.0,10.8,5.9,5.9,78.5,5.5,5.4
2006,0.0,0.0,0.0,29.6,0.0,3.3,81.7,12.6,3.1,0.0,11.6,6.3,6.2,84.7,6.0,6.0
2007,0.0,-0.0,0.0,30.0,0.0,3.4,85.7,13.2,3.3,0.0,12.0,6.3,6.5,86.5,5.7,6.1
2008,0.0,0.0,0.0,30.9,0.0,3.5,88.0,14.0,3.5,0.0,13.5,6.4,6.6,91.7,6.6,6.6
2009,0.0,-0.0,0.0,32.1,0.0,3.6,92.6,14.6,3.6,0.0,13.9,7.2,6.8,96.7,6.6,8.3
2010,0.0,-0.0,0.0,32.2,0.0,3.7,98.1,15.6,3.5,0.0,13.7,7.6,6.8,102.7,6.9,12.7
2011,0.0,-0.0,0.0,31.0,0.0,3.4,102.3,15.7,3.4,0.0,13.6,8.5,6.8,101.3,6.7,12.2
2012,0.0,0.0,0.0,31.9,0.0,3.4,102.9,16.5,3.5,0.0,13.7,8.8,6.8,101.8,6.6,10.6
2013,0.0,-0.0,0.0,32.6,0.0,3.3,101.0,16.4,3.4,0.0,14.1,9.2,6.8,102.4,7.2,9.4
2014,0.0,0.0,0.0,36.8,0.0,3.3,104.1,16.2,3.4,0.0,15.7,9.7,6.7,107.6,7.1,8.7
2015,0.0,0.0,0.0,39.4,0.0,3.3,106.9,15.9,3.3,0.0,16.7,10.1,6.6,110.8,7.4,8.1
