Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,3.7,0.0,0.6,7.7,1.9,0.4,0.0,1.3,0.6,0.9,11.2,1.2,0.6
2001,0.0,0.0,0.0,3.9,0.0,0.6,8.4,2.2,0.4,0.0,1.3,0.7,0.9,11.8,1.1,0.7
2002,0.0,-0.0,0.0,4.2,0.0,0.6,8.6,2.5,0.4,0.0,1.3,0.7,1.0,12.7,1.2,0.7
2003,0.0,0.1,0.0,4.4,0.0,0.7,8.8,2.8,0.4,0.0,1.3,0.8,1.0,13.4,1.1,0.9
2004,0.0,0.0,0.0,4.7,0.0,0.7,9.7,2.9,0.3,0.0,1.7,0.9,1.1,14.1,0.9,0.8
2005,0.0,-0.0,0.0,4.9,0.0,0.8,10.4,3.5,0.4,0.0,1.6,0.9,1.2,15.4,1.1,0.8
2006,0.0,-0.0,0.0,5.3,0.0,0.8,10.7,3.5,0.5,0.0,1.9,1.0,1.3,16.2,1.3,0.8
2007,0.0,0.0,0.0,5.8,0.0,0.9,12.2,4.2,0.5,0.0,2.2,1.1,1.4,18.3,1.5,0.7
2008,0.0,-0.0,0.0,6.3,0.0,1.0,14.2,4.7,0.5,0.0,2.2,1.2,1.5,19.6,1.4,0.7
2009,0.0,0.0,0.0,6.7,0.0,1.1,16.2,5.1,0.5,0.0,2.4,1.3,1.6,21.2,1.6,0.9
2010,0.0,-0.0,0.0,6.6,0.0,1.1,17.7,5.7,0.5,0.0,2.5,1.4,1.7,22.4,1.5,1.4
2011,0.0,0.0,0.0,6.4,0.0,1.1,17.4,5.7,0.5,0.0,2.4,1.5,1.6,22.0,1.4,1.4
2012,0.0,-0.0,0.0,6.3,0.0,1.1,16.5,5.4,0.5,0.0,2.2,1.6,1.6,21.1,1.3,1.1
2013,0.0,0.0,0.0,6.2,0.0,1.1,16.3,5.4,0.6,0.0,2.2,1.8,1.7,21.1,1.3,0.9
2014,0.0,-0.0,0.0,6.2,0.0,1.2,15.5,5.6,0.6,0.0,2.2,1.9,1.7,21.6,1.3,1.0
2015,0.0,-0.0,0.0,6.2,0.0,1.2,14.9,5.7,0.6,0.0,2.2,2.2,1.8,22.0,1.2,1.0
