Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,13.3,0.0,2.0,31.5,5.4,1.7,0.0,4.7,1.6,3.2,38.1,3.5,2.6
2001,0.0,-0.0,0.0,14.3,0.0,2.1,33.5,6.1,1.8,0.0,5.0,1.7,3.4,41.4,4.0,2.8
2002,0.0,0.0,0.0,15.4,0.0,2.3,35.4,6.5,1.7,0.0,5.1,1.9,3.6,43.7,4.4,2.9
2003,0.0,0.3,0.0,15.7,0.0,2.3,36.7,7.1,1.7,0.0,5.3,2.1,3.4,45.9,3.9,4.1
2004,0.0,0.0,0.0,16.4,0.0,2.3,40.1,7.6,1.8,0.0,5.8,2.3,3.9,47.8,4.0,3.7
2005,0.0,-0.0,0.0,17.9,0.0,2.5,44.5,8.7,1.7,0.0,6.1,2.5,4.3,51.5,4.4,3.5
2006,0.0,-0.0,0.0,19.5,0.0,2.7,46.4,9.3,1.9,0.0,6.6,2.8,4.7,55.8,4.6,3.7
2007,0.0,-0.0,0.0,21.3,0.0,2.9,50.4,9.4,1.8,0.0,6.7,2.9,5.1,59.1,4.9,4.0
2008,0.0,0.0,0.0,23.1,0.0,3.0,54.2,10.0,2.0,0.0,6.8,3.1,5.5,63.3,5.6,4.2
2009,0.0,-0.0,0.0,22.7,0.0,3.2,58.7,10.6,2.2,0.0,7.0,3.5,5.8,65.3,5.5,4.7
2010,0.0,0.0,0.0,22.9,0.0,3.1,62.0,11.8,2.4,0.0,7.2,3.9,5.6,67.7,5.1,5.7
2011,0.0,0.0,0.0,23.0,0.0,3.1,63.9,12.4,2.5,0.0,7.5,4.1,5.6,69.4,5.8,5.4
2012,0.0,0.0,0.0,23.5,0.0,3.1,65.3,12.6,2.5,0.0,7.6,4.4,5.8,71.0,6.5,5.1
2013,0.0,-0.0,0.0,24.8,0.0,3.2,65.5,13.9,2.4,0.0,8.5,4.7,5.9,73.9,5.7,4.7
2014,0.0,0.0,0.0,24.4,0.0,3.2,64.7,14.3,2.3,0.0,8.6,4.8,5.7,73.8,5.9,4.6
2015,0.0,-0.0,0.0,23.9,0.0,3.3,64.2,14.6,2.2,0.0,8.8,4.8,5.5,73.8,6.0,4.6
