Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.1,0.0,11.6,0.0,1.5,25.6,4.5,1.4,0.0,4.8,2.1,2.7,34.5,3.0,2.9
2001,0.0,-0.1,0.0,12.4,0.0,1.5,27.0,4.8,1.4,0.0,4.5,2.8,3.0,36.9,3.3,3.2
2002,0.0,0.0,0.0,12.8,0.0,1.6,30.3,5.5,1.5,0.0,4.8,3.0,3.1,39.3,3.4,3.6
2003,0.0,0.3,0.0,13.1,0.0,1.5,31.3,5.9,1.5,0.0,4.7,3.2,2.9,40.8,3.5,4.2
2004,0.0,-0.0,0.0,13.6,0.0,1.6,35.3,6.8,1.6,0.0,5.1,3.3,3.2,42.5,3.4,3.8
2005,0.0,-0.0,0.0,14.0,0.0,1.6,36.9,7.2,1.6,0.0,5.2,3.2,3.2,43.1,3.6,3.5
2006,0.0,-0.0,0.0,14.6,0.0,1.7,38.8,7.6,1.7,0.0,5.6,3.4,3.4,45.3,3.7,3.5
2007,0.0,0.0,0.0,15.1,0.0,1.7,41.5,7.8,1.7,0.0,5.8,3.6,3.6,46.8,3.7,3.7
2008,0.0,0.0,0.0,15.8,0.0,1.8,42.1,8.1,1.9,0.0,6.1,4.1,3.7,49.3,4.0,3.8
2009,0.0,-0.0,0.0,16.4,0.0,1.7,41.2,9.0,2.1,0.0,6.5,4.2,3.9,52.8,4.1,4.9
2010,0.0,0.0,0.0,17.1,0.0,1.7,43.1,9.8,1.8,0.0,6.6,4.2,4.0,55.8,4.3,6.4
2011,0.0,-0.0,0.0,17.6,0.0,1.8,44.2,10.3,1.8,0.0,6.9,4.3,4.1,56.9,4.4,5.7
2012,0.0,0.0,0.0,17.3,0.0,1.9,43.6,9.9,1.9,0.0,6.3,4.6,4.1,55.8,4.4,5.4
2013,0.0,0.0,0.0,17.1,0.0,1.8,44.4,10.8,1.7,0.0,6.7,4.7,4.1,55.7,4.5,4.4
2014,0.0,0.1,0.0,17.2,0.0,1.7,42.9,11.3,1.8,0.0,6.7,4.7,4.1,56.3,4.7,3.8
2015,0.0,0.0,0.0,17.2,0.0,1.7,41.7,12.0,1.9,0.0,6.9,4.8,4.2,57.2,4.9,3.6
