Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.1,0.0,1.8,0.0,0.5,7.3,0.7,0.4,0.0,2.4,0.5,0.4,8.5,1.0,0.8
2001,0.0,-2.1,0.0,2.0,0.0,0.5,7.7,0.8,0.4,0.0,4.5,0.5,0.5,9.1,1.1,0.8
2002,0.0,-0.0,0.0,2.1,0.0,0.5,8.6,1.0,0.4,0.0,2.4,0.5,0.6,9.4,1.2,0.7
2003,0.0,0.3,0.0,2.3,0.0,0.5,8.9,1.1,0.4,0.0,2.1,0.8,0.5,10.0,1.2,0.8
2004,0.0,0.0,0.0,2.3,0.0,0.6,8.6,1.2,0.4,0.0,1.9,0.9,0.5,10.0,1.3,1.0
2005,0.0,0.0,0.0,2.4,0.0,0.6,8.8,1.3,0.4,0.0,1.9,0.8,0.5,10.0,1.4,0.8
2006,0.0,-0.0,0.0,2.5,0.0,0.7,9.4,1.4,0.4,0.0,2.2,0.9,0.6,10.8,1.5,0.8
2007,0.0,0.0,0.0,2.6,0.0,0.7,9.9,1.4,0.4,0.0,2.6,0.8,0.6,11.7,1.6,0.8
2008,0.0,0.0,0.0,3.0,0.0,0.8,10.0,1.4,0.4,0.0,3.1,0.8,0.7,12.9,1.8,0.8
2009,0.0,0.0,0.0,3.3,0.0,0.9,10.1,1.7,0.4,0.0,3.6,0.8,0.8,14.5,2.1,0.9
2010,0.0,0.0,0.0,3.3,0.0,0.9,10.1,1.9,0.4,0.0,3.1,0.9,0.8,14.5,2.0,1.2
2011,0.0,0.0,0.0,3.4,0.0,0.9,10.1,2.1,0.4,0.0,3.0,0.9,0.8,14.6,2.0,1.2
2012,0.0,-0.0,0.0,3.4,0.0,0.9,9.5,2.2,0.4,0.0,3.1,1.0,0.8,14.7,1.8,1.1
2013,0.0,-0.0,0.1,3.7,0.0,0.9,9.6,2.3,0.4,0.0,3.3,1.0,0.9,15.6,1.8,1.1
2014,0.0,0.1,0.0,3.7,0.0,0.9,9.3,2.2,0.4,0.0,4.1,1.1,0.9,16.4,1.9,1.2
2015,0.0,0.0,-0.0,3.7,0.0,0.9,9.0,2.0,0.4,0.0,4.3,1.2,0.9,16.4,2.0,1.2
