Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,7.8,0.0,0.9,16.8,6.2,0.8,0.0,3.7,1.2,1.4,25.3,1.8,1.5
2001,0.0,-0.0,0.0,8.1,0.0,0.9,17.7,6.7,0.8,0.0,4.0,1.3,1.5,26.8,1.8,1.6
2002,0.0,0.0,0.0,8.4,0.0,1.0,19.1,7.2,0.8,0.0,4.4,1.4,1.5,28.5,1.9,1.9
2003,0.0,0.1,0.0,8.8,0.0,1.0,20.2,7.7,0.9,0.0,4.4,1.0,1.6,29.7,1.7,2.4
2004,0.0,-0.0,0.0,9.5,0.0,1.0,21.6,8.0,0.9,0.0,4.7,1.5,1.8,31.3,1.8,2.1
2005,0.0,-0.0,0.0,9.9,0.0,1.1,22.5,8.6,0.9,0.0,4.5,1.6,1.9,31.8,2.0,1.3
2006,0.0,-0.0,0.0,10.9,0.0,1.1,22.3,8.7,0.8,0.0,4.7,2.0,2.1,33.7,2.2,1.3
2007,0.0,0.0,0.0,12.1,0.0,1.3,24.4,8.6,1.0,0.0,4.5,2.2,2.2,35.8,2.4,1.4
2008,0.0,-0.0,0.0,13.2,0.0,1.4,27.0,8.8,1.0,0.0,5.0,2.4,2.3,37.9,2.3,1.4
2009,0.0,-0.0,0.0,13.5,0.0,1.5,27.6,9.9,1.1,0.0,5.6,2.4,2.5,41.2,2.9,1.7
2010,0.0,0.0,0.0,13.3,0.0,1.5,29.0,11.1,1.1,0.0,5.3,2.5,2.5,42.3,2.6,2.3
2011,0.0,-0.0,0.0,13.4,0.0,1.5,29.7,11.0,1.0,0.0,5.4,2.7,2.5,42.4,2.6,2.3
2012,0.0,0.0,0.0,12.7,0.0,1.5,29.5,11.1,0.9,0.0,5.6,3.0,2.4,41.8,2.6,1.9
2013,0.0,-0.0,0.0,13.5,0.0,1.5,31.6,11.5,1.1,0.0,5.5,3.1,2.5,43.0,2.7,1.6
2014,0.0,0.1,0.0,13.1,0.0,1.5,31.1,11.5,1.3,0.0,5.5,3.3,2.5,43.0,2.6,1.6
2015,0.0,0.0,0.0,12.3,0.0,1.5,30.7,11.6,1.4,0.0,5.5,3.4,2.6,42.4,2.5,1.6
