Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,1.7,0.0,0.4,4.6,0.6,0.3,0.0,0.6,0.2,0.5,5.2,0.5,0.3
2001,0.0,-0.0,0.0,1.8,0.0,0.4,5.3,0.7,0.3,0.0,0.7,0.2,0.5,5.5,0.5,0.4
2002,0.0,0.0,0.0,2.0,0.0,0.4,5.5,0.8,0.3,0.0,0.7,0.3,0.5,5.9,0.6,0.5
2003,0.0,0.1,0.0,2.1,0.0,0.4,6.1,0.8,0.3,0.0,0.7,0.3,0.4,6.2,0.6,0.5
2004,0.0,-0.0,0.0,2.2,0.0,0.5,6.1,1.1,0.3,0.0,0.9,0.3,0.5,6.9,0.6,0.5
2005,0.0,0.0,0.0,2.5,0.0,0.5,6.2,1.2,0.3,0.0,1.0,0.3,0.5,7.6,0.7,0.5
2006,0.0,-0.0,0.0,2.7,0.0,0.6,6.1,1.3,0.2,0.0,1.1,0.4,0.6,8.3,0.8,0.6
2007,0.0,-0.0,0.0,2.8,0.0,0.7,7.4,1.4,0.3,0.0,1.3,0.4,0.7,8.7,0.6,0.6
2008,0.0,-0.0,0.0,2.9,0.0,0.6,7.9,1.6,0.3,0.0,1.2,0.4,0.7,9.1,0.8,0.6
2009,0.0,-0.0,0.0,3.0,0.0,0.6,8.2,1.6,0.4,0.0,1.2,0.5,0.7,9.4,0.8,0.7
2010,0.0,-0.0,0.0,3.0,0.0,0.6,7.8,1.7,0.4,0.0,1.2,0.5,0.7,9.7,0.8,0.9
2011,0.0,-0.0,0.0,3.2,0.0,0.6,8.3,1.9,0.3,0.0,1.2,0.5,0.7,9.9,0.8,0.8
2012,0.0,0.0,0.0,3.4,0.0,0.6,8.2,2.0,0.3,0.0,1.1,0.5,0.7,10.5,0.9,0.9
2013,0.0,0.0,0.0,3.5,0.0,0.6,8.3,2.1,0.4,0.0,1.1,0.6,0.7,10.7,0.9,0.7
2014,0.0,0.1,0.0,3.5,0.0,0.6,7.8,2.3,0.4,0.0,1.1,0.6,0.7,10.7,0.8,0.6
2015,0.0,-0.0,-0.0,3.4,0.0,0.6,7.3,2.5,0.4,0.0,1.1,0.6,0.7,10.7,0.8,0.5
