Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,1.9,0.0,0.5,7.9,1.3,0.6,0.0,1.6,0.5,0.5,8.2,0.7,0.8
2001,0.0,-0.0,0.0,2.2,0.0,0.5,7.9,1.3,0.4,0.0,1.7,0.5,0.5,8.6,0.7,0.8
2002,0.0,0.0,0.0,2.3,0.0,0.5,8.4,1.4,0.6,0.0,1.9,0.6,0.6,9.4,0.7,0.8
2003,0.0,0.1,0.0,2.4,0.0,0.6,8.7,1.5,0.5,0.0,1.8,0.6,0.5,9.6,0.8,0.9
2004,0.0,-0.0,0.0,2.5,0.0,0.6,9.1,1.6,0.5,0.0,1.9,0.7,0.6,9.9,0.7,0.8
2005,0.0,-0.0,0.0,2.7,0.0,0.6,9.3,1.8,0.5,0.0,2.1,0.7,0.6,10.5,0.8,0.8
2006,0.0,0.0,0.0,2.9,0.0,0.6,9.5,1.9,0.6,0.0,2.0,0.7,0.6,11.0,0.8,0.8
2007,0.0,-0.0,0.0,3.3,0.0,0.7,10.4,2.2,0.6,0.0,2.3,0.8,0.7,12.3,1.0,0.8
2008,0.0,-0.0,0.0,3.5,0.0,0.7,10.7,2.5,0.6,0.0,2.4,0.8,0.8,13.4,1.2,0.9
2009,0.0,-0.0,0.0,3.6,0.0,0.8,11.5,2.5,0.6,0.0,2.6,0.8,0.8,14.3,1.3,1.2
2010,0.0,-0.0,0.0,3.3,0.0,0.7,12.6,2.7,0.5,0.0,2.6,0.9,0.8,14.3,1.4,1.4
2011,0.0,-0.0,0.0,3.4,0.0,0.6,13.4,3.0,0.5,0.0,2.5,1.0,0.8,14.4,1.3,1.3
2012,0.0,-0.0,0.0,3.5,0.0,0.7,14.0,2.9,0.5,0.0,2.6,1.0,0.8,14.7,1.6,1.1
2013,0.0,0.0,0.0,3.4,0.0,0.7,14.3,3.0,0.5,0.0,2.4,1.0,0.8,14.6,1.6,1.0
2014,0.0,0.0,0.0,3.3,0.0,0.8,14.5,3.5,0.6,0.0,2.7,1.1,0.9,15.6,1.7,1.0
2015,0.0,0.0,-0.0,3.5,0.0,0.9,14.8,3.7,0.6,0.0,2.8,1.3,0.9,16.5,1.8,1.1
