Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,6.1,0.0,0.7,7.3,3.2,0.4,0.0,2.2,0.7,0.9,17.2,2.0,1.2
2001,0.0,-0.0,0.0,6.3,0.0,0.8,7.9,3.6,0.4,0.0,2.4,0.8,1.0,18.4,1.9,1.4
2002,0.0,0.0,0.0,6.6,0.0,0.8,9.5,3.7,0.4,0.0,2.5,0.8,1.0,19.3,1.9,1.5
2003,0.0,0.1,0.0,6.8,0.0,0.8,10.4,3.9,0.4,0.0,2.5,0.9,1.0,19.9,1.8,1.7
2004,0.0,-0.0,0.0,7.1,0.0,0.8,11.3,4.5,0.4,0.0,2.8,0.9,1.0,20.6,1.7,1.3
2005,0.0,0.0,0.0,7.4,0.0,0.8,11.6,4.7,0.5,0.0,2.8,1.0,1.1,21.4,1.9,1.3
2006,0.0,0.0,0.0,7.9,0.0,0.9,13.8,5.1,0.5,0.0,3.0,1.1,1.2,23.0,2.0,1.3
2007,0.0,-0.0,0.0,8.2,0.0,0.9,14.9,5.5,0.6,0.0,3.2,1.2,1.3,24.2,2.0,1.3
2008,0.0,0.0,0.0,8.8,0.0,1.0,15.5,6.0,0.7,0.0,3.4,1.2,1.3,25.8,2.0,1.4
2009,0.0,-0.0,0.0,9.4,0.0,1.0,15.5,6.7,0.6,0.0,3.9,1.4,1.4,28.3,2.3,1.7
2010,0.0,-0.0,0.0,9.4,0.0,1.0,17.2,7.0,0.6,0.0,3.9,1.5,1.3,29.5,2.5,2.3
2011,0.0,-0.0,0.0,9.8,0.0,1.0,18.4,7.3,0.6,0.0,4.2,1.7,1.4,30.3,2.3,2.0
2012,0.0,-0.0,0.0,9.9,0.0,1.0,18.2,8.0,0.6,0.0,4.5,1.8,1.5,31.8,2.6,1.7
2013,0.0,0.0,0.0,10.1,0.0,1.1,18.5,8.4,0.6,0.0,4.2,1.9,1.5,31.7,2.4,1.5
2014,0.0,0.1,0.0,10.2,0.0,1.1,17.6,8.7,0.6,0.0,4.0,2.0,1.4,32.1,2.6,1.4
2015,0.0,-0.0,0.0,10.3,0.0,1.1,16.9,9.0,0.6,0.0,4.0,2.1,1.4,32.5,2.8,1.3
