Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,23.2,0.0,3.7,67.6,9.4,3.6,0.0,9.6,5.2,6.4,74.7,7.0,6.7
2001,0.0,-0.0,0.0,24.6,0.0,3.9,72.7,10.5,3.9,0.0,10.3,5.6,6.6,80.9,8.1,7.3
2002,0.0,0.0,0.0,26.5,0.0,4.1,80.9,11.0,3.9,0.0,11.3,6.2,6.8,87.4,8.9,8.7
2003,0.0,0.8,0.0,27.4,0.0,4.2,96.6,11.0,4.3,0.0,11.1,6.9,6.8,91.3,9.2,9.6
2004,0.0,-0.0,0.0,28.8,0.0,4.2,102.3,12.8,5.0,0.0,12.8,7.7,7.1,97.0,9.3,9.2
2005,0.0,0.0,0.0,29.2,0.0,4.3,106.7,14.9,4.6,0.0,12.1,8.5,7.2,97.7,9.5,7.4
2006,0.0,0.0,0.0,30.0,0.0,4.2,110.8,14.9,4.7,0.0,13.6,9.2,7.5,101.2,9.8,7.2
2007,0.0,-0.0,0.0,31.3,0.0,4.5,116.7,15.6,5.2,0.0,15.1,9.9,8.1,109.4,11.7,7.8
2008,0.0,0.0,0.0,33.4,0.0,4.4,123.9,17.6,5.4,0.0,15.2,10.6,8.7,115.9,12.2,8.3
2009,0.0,-0.0,0.0,35.3,0.0,4.7,128.3,18.9,5.6,0.0,16.6,11.3,9.0,124.5,13.0,10.0
2010,0.0,-0.0,0.1,35.3,0.0,4.8,136.1,18.9,5.8,0.0,16.4,12.1,9.1,129.5,13.2,13.9
2011,0.0,-0.0,0.1,35.4,0.0,4.7,145.4,19.2,6.1,0.0,17.1,13.0,9.4,129.5,11.8,12.8
2012,0.0,-0.0,0.0,36.2,0.0,4.8,146.2,18.5,6.3,0.0,16.7,14.5,9.2,129.3,12.2,11.0
2013,0.0,0.0,0.0,36.8,0.0,5.0,148.7,20.8,6.7,0.0,16.8,15.0,9.8,134.1,12.7,10.4
2014,0.0,0.0,0.1,36.8,0.0,4.8,153.8,18.9,6.5,0.0,18.1,16.2,10.1,135.7,13.2,10.9
2015,0.0,-0.0,0.1,36.8,0.0,4.9,158.5,17.9,6.3,0.0,18.9,17.2,10.4,136.8,13.6,10.8
