Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,10.4,0.0,1.6,27.4,5.3,1.4,0.0,5.8,2.3,1.9,35.4,3.2,3.6
2001,0.0,0.0,0.0,11.0,0.0,1.7,29.3,5.8,1.4,0.0,5.5,2.5,2.1,37.3,3.4,3.9
2002,0.0,0.0,0.0,11.4,0.0,1.7,32.0,6.6,1.5,0.0,6.1,2.7,2.2,40.5,3.7,4.6
2003,0.0,0.2,0.0,11.9,0.0,1.8,33.5,7.6,1.5,0.0,4.9,2.8,2.2,41.8,3.7,5.2
2004,0.0,-0.0,0.0,12.1,0.0,1.9,33.7,8.1,1.6,0.0,4.9,2.9,2.4,41.5,3.5,4.2
2005,0.0,-0.0,0.0,12.4,0.0,2.0,36.3,8.9,1.5,0.0,5.4,3.0,2.4,42.9,3.3,4.0
2006,0.0,0.0,0.0,13.4,0.0,1.9,36.6,9.3,1.6,0.0,5.4,3.3,2.6,44.5,3.6,3.5
2007,0.0,0.0,0.0,14.1,0.0,2.0,38.7,10.0,1.6,0.0,6.0,3.3,2.8,47.2,3.7,3.8
2008,0.0,-0.0,0.0,15.0,0.0,2.1,41.7,10.7,1.7,0.0,6.6,3.4,3.0,50.9,4.4,4.0
2009,0.0,0.0,0.0,16.2,0.0,2.3,43.8,11.8,1.8,0.0,6.8,3.6,3.3,54.4,4.1,4.6
2010,0.0,-0.0,0.0,15.6,0.0,2.2,45.3,12.3,1.8,0.0,6.7,3.7,3.1,56.0,4.4,6.2
2011,0.0,0.0,0.0,15.6,0.0,2.3,46.8,12.6,1.8,0.0,6.7,3.8,3.1,55.7,4.2,5.5
2012,0.0,0.0,0.0,15.7,0.0,2.1,48.4,13.8,2.0,0.0,7.0,3.9,3.1,56.7,4.2,5.0
2013,0.0,0.0,0.0,16.2,0.0,2.2,48.0,13.4,1.7,0.0,7.2,4.0,3.2,57.1,4.6,4.6
2014,0.0,0.1,0.0,16.3,0.0,2.2,55.5,13.9,1.7,0.0,7.7,4.5,3.4,60.6,5.6,5.3
2015,0.0,0.0,0.0,16.1,0.0,2.3,60.3,14.3,1.7,0.0,8.1,4.8,3.6,62.4,6.1,5.4
