Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,9.3,0.0,1.1,19.3,5.1,1.0,0.0,3.4,1.4,2.1,28.0,2.8,1.7
2001,0.0,-0.0,0.0,10.0,0.0,1.2,21.9,5.9,1.0,0.0,3.3,1.7,2.3,30.3,2.9,2.0
2002,0.0,0.0,0.0,10.7,0.0,1.3,24.2,6.7,1.0,0.0,3.3,1.9,2.4,33.0,3.3,2.3
2003,0.0,0.1,0.0,10.8,0.0,1.6,26.7,7.0,1.1,0.0,3.2,2.1,2.4,34.4,3.4,2.5
2004,0.0,0.0,0.0,11.0,0.0,1.5,30.4,7.5,1.2,0.0,3.5,2.3,2.5,35.6,3.5,2.4
2005,0.0,0.0,0.0,11.6,0.0,1.5,31.3,8.2,1.4,0.0,3.7,2.4,2.6,37.2,3.3,2.4
2006,0.0,0.0,0.0,12.2,0.0,1.4,33.9,8.5,1.5,0.0,4.6,2.7,2.6,39.5,3.7,2.2
2007,0.0,-0.0,0.0,13.0,0.0,1.5,38.9,8.3,1.7,0.0,5.6,2.9,2.9,41.9,3.6,2.4
2008,0.0,-0.0,0.0,14.3,0.0,1.5,41.3,9.0,1.8,0.0,5.8,3.2,3.1,44.8,3.5,2.6
2009,0.0,-0.0,0.0,14.7,0.0,1.5,42.6,10.0,1.7,0.0,6.9,3.4,3.4,48.4,3.8,3.0
2010,0.0,-0.0,0.0,14.5,0.0,1.5,44.6,10.8,1.6,0.0,6.7,3.4,3.5,49.9,3.9,4.0
2011,0.0,0.0,0.0,14.0,0.0,1.5,46.3,11.6,1.7,0.0,6.8,3.7,3.4,49.9,3.9,3.4
2012,0.0,-0.0,0.0,14.8,0.0,1.5,46.3,12.5,1.7,0.0,6.3,3.9,3.4,50.7,3.7,2.9
2013,0.0,-0.0,0.0,14.6,0.0,1.6,45.6,13.0,1.7,0.0,7.1,4.1,3.6,51.6,3.4,2.4
2014,0.0,0.1,0.0,14.8,0.0,1.5,44.9,13.1,1.6,0.0,6.9,4.4,3.5,51.1,3.1,2.2
2015,0.0,-0.0,0.0,14.9,0.0,1.5,44.5,13.2,1.5,0.0,6.9,4.5,3.4,51.0,3.0,2.1
