Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,4.9,0.0,0.6,8.5,4.0,0.5,0.0,1.8,0.7,0.9,15.4,1.3,0.7
2001,0.0,-0.0,0.0,5.0,0.0,0.6,9.4,4.4,0.5,0.0,1.9,0.8,1.0,16.2,1.2,0.8
2002,0.0,-0.0,0.0,5.1,0.0,0.6,9.9,4.8,0.5,0.0,1.9,0.9,1.0,17.3,1.3,1.0
2003,0.0,0.1,0.0,5.3,0.0,0.7,10.0,5.2,0.5,0.0,1.8,1.0,1.1,18.3,1.4,1.2
2004,0.0,-0.0,0.0,5.7,0.0,0.8,10.3,5.7,0.5,0.0,2.1,1.2,1.1,19.4,1.4,0.9
2005,0.0,-0.0,0.0,5.9,0.0,0.8,10.2,6.1,0.5,0.0,2.1,1.2,1.1,20.0,1.4,0.8
2006,0.0,0.0,0.0,6.5,0.0,0.8,11.2,6.0,0.5,0.0,3.0,1.3,1.2,22.1,1.8,1.0
2007,0.0,0.0,0.0,6.8,0.0,0.8,12.5,6.5,0.5,0.0,4.5,1.4,1.3,24.7,2.0,0.9
2008,0.0,0.0,0.0,7.2,0.0,0.9,13.3,7.0,0.5,0.0,3.8,1.5,1.4,25.2,1.9,1.0
2009,0.0,0.0,0.0,7.5,0.0,0.9,13.4,7.8,0.5,0.0,3.6,1.6,1.5,26.2,1.8,1.1
2010,0.0,-0.0,0.0,7.5,0.0,1.0,13.9,7.9,0.5,0.0,3.5,1.7,1.5,27.2,1.9,1.7
2011,0.0,-0.0,0.0,7.3,0.0,1.0,14.2,8.4,0.5,0.0,3.4,1.9,1.6,27.5,1.9,1.5
2012,0.0,-0.0,0.0,7.5,0.0,1.0,14.6,8.4,0.6,0.0,3.4,2.0,1.6,27.8,1.9,1.4
2013,0.0,-0.0,0.0,7.4,0.0,1.0,14.1,8.9,0.5,0.0,3.1,2.1,1.6,27.7,1.8,1.3
2014,0.0,0.0,0.0,7.5,0.0,1.0,14.1,8.9,0.5,0.0,3.0,2.3,1.6,27.7,1.7,1.1
2015,0.0,-0.0,0.0,7.7,0.0,1.0,14.1,9.0,0.5,0.0,3.0,2.8,1.6,28.5,1.6,1.3
