Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,1.7,0.0,0.3,3.8,0.7,0.2,0.0,0.6,0.3,0.3,5.0,0.5,0.3
2001,0.0,-0.0,0.0,1.7,0.0,0.3,4.0,0.7,0.2,0.0,0.7,0.3,0.3,5.3,0.6,0.4
2002,0.0,0.0,0.0,1.8,0.0,0.3,4.0,0.8,0.2,0.0,0.7,0.4,0.4,5.6,0.6,0.4
2003,0.0,0.1,0.0,1.9,0.0,0.4,4.1,0.8,0.2,0.0,0.6,0.4,0.3,5.9,0.6,0.5
2004,0.0,-0.0,0.0,2.0,0.0,0.3,4.3,0.9,0.2,0.0,0.9,0.4,0.4,6.2,0.7,0.4
2005,0.0,-0.0,0.0,2.0,0.0,0.4,5.4,1.0,0.2,0.0,0.8,0.5,0.4,6.4,0.7,0.4
2006,0.0,-0.0,0.0,2.2,0.0,0.4,5.8,1.1,0.2,0.0,0.9,0.5,0.5,6.9,0.8,0.4
2007,0.0,-0.0,0.0,2.4,0.0,0.5,6.2,1.1,0.2,0.0,1.0,0.5,0.5,7.4,0.8,0.4
2008,0.0,-0.0,0.0,2.5,0.0,0.5,6.5,1.2,0.3,0.0,1.2,0.6,0.6,8.1,0.8,0.5
2009,0.0,0.0,0.0,2.6,0.0,0.5,6.1,1.3,0.2,0.0,1.0,0.6,0.6,8.5,0.9,0.6
2010,0.0,-0.0,0.0,2.6,0.0,0.6,5.7,1.4,0.2,0.0,1.3,0.6,0.7,9.3,1.0,0.9
2011,0.0,-0.0,0.0,2.6,0.0,0.6,5.7,1.5,0.2,0.0,1.3,0.7,0.6,9.3,1.0,0.8
2012,0.0,0.0,0.0,2.6,0.0,0.5,5.8,1.5,0.2,0.0,1.4,0.7,0.7,9.4,1.2,0.7
2013,0.0,-0.0,0.0,2.7,0.0,0.6,5.3,1.6,0.2,0.0,1.3,0.7,0.7,9.4,1.0,0.6
2014,0.0,-0.0,0.0,2.7,0.0,0.5,5.1,1.6,0.2,0.0,1.4,0.8,0.7,9.5,1.1,0.6
2015,0.0,-0.0,0.0,2.7,0.0,0.5,4.9,1.6,0.2,0.0,1.4,0.9,0.7,9.7,1.2,0.6
