Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,5.9,0.0,0.7,11.4,1.7,0.5,0.0,2.2,1.1,1.4,15.9,1.5,0.9
2001,0.0,2.0,0.0,6.4,0.0,0.8,11.9,1.4,0.5,0.0,2.5,1.2,1.4,18.9,1.7,1.0
2002,0.0,0.0,0.0,7.0,0.0,0.9,12.5,3.8,0.5,0.0,2.9,1.2,1.5,20.7,1.7,1.1
2003,0.0,0.4,0.0,7.3,0.0,1.0,12.9,3.8,0.6,0.0,2.7,1.2,1.2,21.2,1.4,1.6
2004,0.0,0.0,0.0,7.0,0.0,0.9,13.3,4.1,0.6,0.0,2.5,1.5,1.6,20.9,1.5,1.2
2005,0.0,0.0,0.0,7.6,0.0,0.9,14.4,4.3,0.6,0.0,2.5,1.6,1.7,22.0,1.6,1.2
2006,0.0,-0.0,0.0,8.1,0.0,1.1,15.2,4.7,0.7,0.0,2.9,1.6,1.8,23.9,1.8,1.2
2007,0.0,0.0,0.0,8.8,0.0,1.2,16.6,5.2,0.6,0.0,3.1,1.7,1.9,26.0,2.1,1.4
2008,0.0,-0.0,0.0,9.2,0.0,1.2,17.0,5.7,0.7,0.0,3.2,1.8,2.0,27.4,2.3,1.4
2009,0.0,-0.0,0.0,9.7,0.0,1.2,18.3,6.0,0.7,0.0,4.4,2.0,2.1,30.1,2.4,1.7
2010,0.0,0.0,0.0,10.2,0.0,1.1,18.8,6.3,0.7,0.0,4.0,2.0,2.1,31.3,2.4,2.5
2011,0.0,0.0,0.0,9.4,0.0,1.1,19.3,6.5,0.7,0.0,3.9,2.1,2.1,30.7,2.6,2.3
2012,0.0,-0.0,0.0,9.5,0.0,1.1,18.8,7.1,0.7,0.0,3.8,2.2,2.2,31.2,2.5,2.0
2013,0.0,-0.0,0.0,9.7,0.0,1.3,18.9,7.4,0.7,0.0,4.2,2.3,2.3,32.3,2.4,1.9
2014,0.0,0.1,0.0,9.7,0.0,1.3,17.9,7.6,0.6,0.0,3.7,2.4,2.2,31.9,2.6,1.7
2015,0.0,0.0,0.0,9.7,0.0,1.3,17.2,7.8,0.6,0.0,3.6,2.6,2.1,32.0,2.7,1.6
