Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,6.6,0.0,1.4,15.6,4.0,0.9,0.0,3.3,2.1,1.9,24.1,1.9,1.9
2001,0.0,0.0,0.0,7.0,0.0,1.5,16.7,4.3,0.8,0.0,3.4,2.2,2.0,25.4,1.9,2.1
2002,0.0,0.0,0.0,7.7,0.0,1.6,18.8,5.0,0.7,0.0,3.7,2.2,2.2,27.7,2.0,2.7
2003,0.0,0.3,0.0,7.7,0.0,1.6,20.2,4.0,0.8,0.0,3.5,2.6,2.1,27.8,1.9,3.3
2004,0.0,-0.0,0.0,7.7,0.0,1.5,24.8,3.9,0.9,0.0,3.7,3.1,2.2,28.0,2.1,2.9
2005,0.0,-0.0,0.0,8.0,0.0,1.5,25.9,4.3,1.0,0.0,3.9,3.1,2.3,29.1,2.4,2.4
2006,0.0,-0.0,0.0,8.5,0.0,1.7,26.9,4.8,1.1,0.0,4.1,3.0,2.5,30.6,2.6,2.3
2007,0.0,0.0,0.0,8.8,0.0,1.7,29.7,4.7,1.2,0.0,4.6,3.3,2.7,32.3,2.9,2.4
2008,0.0,0.0,0.0,9.8,0.0,1.7,30.1,5.1,1.2,0.0,4.7,3.6,2.8,34.6,3.2,2.5
2009,0.0,-0.0,0.0,10.7,0.0,1.9,33.3,5.7,1.2,0.0,4.8,3.5,3.0,37.6,3.2,3.5
2010,0.0,-0.0,0.0,10.5,0.0,1.7,34.1,6.3,1.2,0.0,4.8,3.6,3.0,39.5,3.3,5.0
2011,0.0,0.0,0.0,10.6,0.0,1.6,35.1,7.1,1.2,0.0,4.8,4.0,3.0,39.9,3.1,4.5
2012,0.0,0.0,0.0,10.5,0.0,1.9,34.6,7.6,1.2,0.0,4.9,3.8,3.1,39.9,3.1,3.8
2013,0.0,-0.0,0.0,10.6,0.0,2.0,34.8,7.9,1.2,0.0,4.7,4.1,3.1,40.0,3.1,3.3
2014,0.0,-0.2,0.0,10.9,0.0,2.1,36.5,9.5,1.2,0.0,4.9,4.6,3.2,42.2,3.0,3.0
2015,0.0,-0.0,0.0,11.2,0.0,2.1,37.6,10.1,1.1,0.0,5.1,5.0,3.3,43.8,2.9,3.0
