Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.2,0.0,23.4,0.0,3.2,73.3,11.8,3.9,0.0,9.4,4.5,5.1,75.5,5.9,8.4
2001,0.0,-0.3,0.0,24.2,0.0,3.3,78.0,12.6,3.9,0.0,10.3,4.4,5.4,79.7,6.5,9.4
2002,0.0,0.0,0.0,24.5,0.0,3.4,83.8,13.9,4.0,0.0,11.0,5.3,5.6,85.9,7.8,10.4
2003,0.0,1.6,0.0,26.8,0.0,4.3,90.9,16.7,4.3,0.0,9.4,5.8,5.9,91.9,7.0,10.2
2004,0.0,-0.0,0.0,29.0,0.0,4.2,96.4,17.9,4.6,0.0,10.0,6.3,5.8,94.2,6.6,9.8
2005,0.0,-0.0,0.0,30.4,0.0,4.5,100.5,20.6,4.2,0.0,9.9,7.0,6.1,101.3,9.0,9.6
2006,0.0,-0.0,0.0,31.6,0.0,4.7,106.8,20.7,4.3,0.0,10.4,7.4,6.3,104.1,9.1,9.5
2007,0.0,-0.0,0.0,32.1,0.0,5.0,111.2,21.6,4.5,0.0,11.5,7.4,6.8,108.1,9.6,9.7
2008,0.0,-0.0,0.0,33.6,0.0,5.3,119.3,21.8,4.9,0.0,11.4,8.7,7.0,113.3,10.2,10.4
2009,0.0,-0.0,0.0,34.7,0.0,5.7,119.3,23.6,4.6,0.0,11.9,8.8,7.2,120.5,11.4,12.4
2010,0.0,0.0,0.0,35.4,0.0,6.1,123.6,25.8,4.4,0.0,13.3,9.3,7.5,129.9,11.7,16.5
2011,0.0,0.0,0.0,35.6,0.0,5.8,124.9,27.5,4.5,0.0,12.9,10.1,7.5,131.3,12.1,15.4
2012,0.0,-0.0,0.0,35.5,0.0,6.1,129.4,27.3,4.6,0.0,12.8,10.1,7.6,129.2,11.7,13.4
2013,0.0,-0.0,0.0,37.7,0.0,6.0,130.2,28.1,4.4,0.0,13.0,11.3,7.9,131.8,11.7,11.9
2014,0.0,0.2,0.0,37.7,0.0,5.9,131.7,28.5,4.4,0.0,12.7,11.5,7.8,130.8,11.2,10.9
2015,0.0,0.0,0.0,37.6,0.0,5.9,133.5,29.0,4.5,0.0,12.6,11.8,7.8,130.2,11.0,10.1
