Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,7.2,0.0,0.9,18.7,5.8,0.7,0.0,3.6,1.1,1.5,23.4,1.6,1.2
2001,0.0,-0.0,0.0,7.8,0.0,1.2,21.7,6.2,0.8,0.0,3.8,1.2,1.6,25.6,1.6,1.3
2002,0.0,-0.0,0.0,8.5,0.0,1.3,22.8,6.8,1.2,0.0,4.0,1.5,1.6,28.1,1.7,1.5
2003,0.0,0.3,0.0,9.0,0.0,1.4,24.7,7.2,0.9,0.0,3.9,1.7,1.7,29.6,1.6,1.9
2004,0.0,-0.0,0.0,9.1,0.0,1.5,26.7,7.9,1.0,0.0,4.1,1.9,1.7,30.6,1.8,1.5
2005,0.0,-0.0,0.0,9.9,0.0,1.6,29.9,9.0,1.0,0.0,4.5,2.0,1.8,33.0,1.9,1.4
2006,0.0,-0.0,0.0,10.7,0.0,1.6,32.2,8.8,1.0,0.0,4.7,2.0,1.9,34.2,2.0,1.4
2007,0.0,0.0,0.0,11.5,0.0,1.8,33.9,9.6,1.1,0.0,5.3,2.3,2.1,37.0,1.7,1.5
2008,0.0,0.0,0.0,12.4,0.0,2.0,34.9,10.2,1.3,0.0,5.7,2.4,2.2,39.7,1.7,1.8
2009,0.0,0.0,0.0,12.6,0.0,1.9,40.2,10.5,1.5,0.0,6.8,2.4,2.4,42.1,1.7,2.2
2010,0.0,0.0,0.0,12.4,0.0,1.8,41.4,11.3,1.4,0.0,5.8,2.5,2.4,42.8,2.0,3.1
2011,0.0,-0.0,0.0,12.2,0.0,1.6,41.1,12.0,1.5,0.0,5.7,2.7,2.3,42.6,1.9,2.7
2012,0.0,-0.0,0.0,12.3,0.0,1.4,40.4,11.6,1.5,0.0,5.6,2.8,2.3,41.5,2.0,2.1
2013,0.0,0.0,0.0,12.7,0.0,1.4,42.3,12.1,1.3,0.0,6.3,3.1,2.4,42.8,1.7,1.7
2014,0.0,-0.0,0.0,13.0,0.0,1.5,43.3,12.9,1.1,0.0,6.1,3.2,2.4,43.7,2.0,1.6
2015,0.0,0.0,-0.0,13.1,0.0,1.5,44.2,13.4,1.0,0.0,6.1,3.3,2.5,44.6,2.2,1.5
