Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,1.2,0.0,0.2,3.3,0.5,0.2,0.0,0.5,0.2,0.2,3.8,0.6,0.2
2001,0.0,0.0,0.0,1.3,0.0,0.2,3.3,0.5,0.2,0.0,0.6,0.2,0.2,4.1,0.6,0.3
2002,0.0,0.0,0.0,1.4,0.0,0.2,3.5,0.6,0.2,0.0,0.6,0.2,0.2,4.3,0.6,0.3
2003,0.0,0.1,0.0,1.4,0.0,0.2,3.8,0.6,0.2,0.0,0.5,0.2,0.2,4.5,0.6,0.4
2004,0.0,0.0,0.0,1.4,0.0,0.2,3.8,0.7,0.2,0.0,0.7,0.2,0.3,4.7,0.6,0.3
2005,0.0,-0.0,0.0,1.5,0.0,0.2,3.8,0.7,0.1,0.0,0.7,0.3,0.3,5.0,0.7,0.4
2006,0.0,-0.0,0.0,1.6,0.0,0.3,4.6,0.7,0.2,0.0,0.8,0.3,0.3,5.2,0.7,0.4
2007,0.0,-0.0,0.0,1.6,0.0,0.3,4.8,0.7,0.2,0.0,0.9,0.3,0.3,5.6,0.8,0.4
2008,0.0,-0.0,0.0,1.8,0.0,0.3,5.4,0.8,0.2,0.0,1.0,0.3,0.4,5.9,0.7,0.4
2009,0.0,0.0,0.0,2.0,0.0,0.4,5.6,0.8,0.2,0.0,1.1,0.4,0.4,6.5,0.8,0.5
2010,0.0,0.0,0.0,2.1,0.0,0.4,5.5,0.9,0.2,0.0,1.1,0.4,0.4,6.8,0.9,0.5
2011,0.0,0.0,0.0,2.1,0.0,0.3,5.7,0.9,0.2,0.0,1.2,0.4,0.4,7.1,1.0,0.5
2012,0.0,-0.0,0.0,2.0,0.0,0.3,5.9,0.9,0.2,0.0,1.1,0.4,0.4,6.9,1.0,0.5
2013,0.0,0.0,0.0,2.1,0.0,0.3,5.9,1.0,0.2,0.0,1.2,0.4,0.4,7.1,1.0,0.5
2014,0.0,0.0,0.0,2.1,0.0,0.4,5.6,0.9,0.2,0.0,1.2,0.5,0.4,7.1,1.0,0.5
2015,0.0,0.0,0.0,2.1,0.0,0.4,5.3,0.9,0.2,0.0,1.2,0.5,0.4,7.1,0.9,0.5
