Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,4.3,0.0,0.8,12.4,1.6,0.4,0.0,2.5,0.5,0.9,13.0,1.3,0.8
2001,0.0,-0.0,0.0,4.8,0.0,0.8,12.5,1.8,0.4,0.0,2.7,0.5,1.0,14.2,1.3,0.7
2002,0.0,-0.0,0.0,5.3,0.0,0.9,13.2,2.0,0.4,0.0,3.0,0.6,1.0,15.5,1.4,0.9
2003,0.0,0.1,0.0,5.2,0.0,1.0,14.0,2.2,0.4,0.0,2.8,0.7,1.0,15.9,1.3,1.1
2004,0.0,-0.0,0.0,5.5,0.0,1.0,14.3,2.4,0.4,0.0,3.0,0.7,1.1,16.7,1.4,1.0
2005,0.0,-0.0,0.0,5.6,0.0,1.2,14.8,2.7,0.5,0.0,3.2,0.8,1.2,17.2,1.3,0.9
2006,0.0,0.0,0.0,6.0,0.0,1.2,15.3,2.8,0.4,0.0,3.4,0.9,1.3,18.5,1.5,0.9
2007,0.0,0.0,0.0,6.5,0.0,1.3,15.9,3.0,0.5,0.0,3.7,0.9,1.4,20.0,1.7,0.9
2008,0.0,0.0,0.0,7.6,0.0,1.3,16.8,3.2,0.5,0.0,4.0,1.0,1.5,22.2,2.1,1.0
2009,0.0,0.0,0.0,7.9,0.0,1.4,18.1,3.4,0.5,0.0,4.1,1.1,1.5,24.0,2.6,1.4
2010,0.0,0.0,0.0,7.5,0.0,1.5,19.3,3.5,0.5,0.0,4.1,1.1,1.5,24.6,2.9,2.0
2011,0.0,0.0,0.0,7.9,0.0,1.4,20.1,3.6,0.5,0.0,4.3,1.2,1.5,25.0,2.8,1.8
2012,0.0,-0.0,0.0,8.3,0.0,1.3,19.7,3.8,0.6,0.0,4.4,1.3,1.5,25.6,2.7,1.7
2013,0.0,0.0,0.0,8.6,0.0,1.4,19.6,4.0,0.6,0.0,4.4,1.4,1.5,25.4,2.0,1.5
2014,0.0,-0.0,0.0,8.6,0.0,1.3,20.2,4.3,0.6,0.0,4.4,1.5,1.5,25.3,1.7,1.4
2015,0.0,-0.0,0.0,8.7,0.0,1.3,20.8,4.7,0.6,0.0,4.5,1.6,1.5,25.9,1.6,1.4
