Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,0.0,0.0,3.2,0.0,0.5,7.1,2.0,0.4,0.0,1.0,0.9,0.5,10.0,0.9,0.6
2001,0.0,0.7,0.0,3.3,0.0,0.5,7.6,1.7,0.4,0.0,1.0,1.0,0.4,10.9,1.3,0.6
2002,0.0,0.0,0.0,3.5,0.0,0.6,8.1,2.2,0.4,0.0,1.1,1.7,0.5,12.0,1.1,0.8
2003,0.0,0.1,0.0,3.8,0.0,0.7,7.8,2.4,0.4,0.0,1.0,1.8,0.5,12.6,1.0,0.8
2004,0.0,0.0,0.0,3.8,0.0,0.7,8.1,2.6,0.4,0.0,1.4,1.1,0.6,12.2,1.1,0.6
2005,0.0,0.0,0.0,4.0,0.0,0.8,8.5,2.7,0.4,0.0,1.4,0.7,0.6,12.1,1.1,0.5
2006,0.0,0.0,0.0,4.3,0.0,0.8,8.9,2.7,0.4,0.0,1.4,0.4,0.6,12.4,1.2,0.5
2007,0.0,-0.0,0.0,4.6,0.0,0.7,9.0,2.8,0.3,0.0,1.4,0.7,0.7,13.0,1.1,0.6
2008,0.0,0.0,0.0,4.7,0.0,0.8,9.8,2.9,0.4,0.0,1.6,0.7,0.8,13.6,1.2,0.6
2009,0.0,0.0,0.0,4.9,0.0,0.8,9.9,3.2,0.4,0.0,1.5,0.8,0.8,14.6,1.4,0.7
2010,0.0,-0.0,0.0,5.3,0.0,0.8,10.7,3.3,0.4,0.0,1.6,1.0,0.9,15.7,1.3,1.1
2011,0.0,-0.0,0.0,5.6,0.0,0.8,11.0,3.5,0.3,0.0,1.6,1.1,0.9,16.4,1.4,1.1
2012,0.0,-0.0,0.0,5.5,0.0,0.9,10.9,3.6,0.4,0.0,1.8,1.1,0.9,16.5,1.4,0.9
2013,0.0,0.0,0.0,5.5,0.0,0.9,10.9,3.8,0.4,0.0,1.8,1.1,0.9,16.7,1.3,0.9
2014,0.0,0.0,0.0,5.4,0.0,0.9,11.8,3.9,0.3,0.0,1.7,1.3,0.9,16.7,1.3,0.9
2015,0.0,-0.0,0.0,5.2,0.0,0.8,12.7,4.2,0.3,0.0,1.7,1.4,0.9,16.9,1.3,0.9
