Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,4.2,0.0,0.6,7.8,2.5,0.4,0.0,1.5,0.5,0.9,12.2,0.9,0.8
2001,0.0,-0.0,0.0,4.6,0.0,0.6,8.3,2.7,0.4,0.0,1.6,0.5,0.9,13.4,1.1,0.9
2002,0.0,-0.0,0.0,4.8,0.0,0.7,8.8,3.0,0.4,0.0,1.7,0.6,1.0,14.6,1.4,1.1
2003,0.0,0.1,0.0,5.2,0.0,0.7,9.5,3.2,0.4,0.0,1.5,0.7,1.0,15.4,1.4,1.3
2004,0.0,0.0,0.0,5.5,0.0,0.8,10.4,3.5,0.4,0.0,1.8,0.7,1.1,16.4,1.4,1.1
2005,0.0,-0.0,0.0,5.9,0.0,0.8,11.2,3.7,0.4,0.0,1.8,0.8,1.1,16.7,1.2,0.9
2006,0.0,0.0,0.0,6.4,0.0,0.8,11.8,3.9,0.4,0.0,2.0,0.9,1.2,17.9,1.2,1.0
2007,0.0,-0.0,0.0,6.8,0.0,0.9,12.1,4.3,0.4,0.0,2.2,1.0,1.2,19.1,1.3,1.1
2008,0.0,0.0,0.0,7.1,0.0,1.0,13.0,4.5,0.5,0.0,2.4,1.0,1.3,20.2,1.3,1.1
2009,0.0,0.0,0.0,7.5,0.0,0.9,13.0,4.6,0.5,0.0,2.2,1.1,1.3,20.7,1.4,1.3
2010,0.0,-0.0,0.0,8.0,0.0,1.0,13.7,4.9,0.5,0.0,2.5,1.2,1.4,22.8,1.4,1.9
2011,0.0,-0.0,0.0,8.5,0.0,1.0,13.6,5.2,0.5,0.0,2.6,1.3,1.4,23.8,1.5,1.7
2012,0.0,-0.0,0.0,8.4,0.0,1.0,14.0,5.9,0.5,0.0,2.5,1.3,1.5,24.3,1.6,1.6
2013,0.0,-0.0,0.0,8.3,0.0,1.0,14.2,6.0,0.5,0.0,2.5,1.5,1.6,24.4,1.7,1.5
2014,0.0,0.0,0.0,8.2,0.0,1.0,16.3,6.6,0.5,0.0,2.6,1.5,1.6,25.2,1.8,1.3
2015,0.0,-0.0,0.0,8.2,0.0,1.0,17.7,7.0,0.5,0.0,2.7,1.6,1.7,25.9,1.9,1.2
