Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,8.0,0.0,1.3,23.2,2.9,1.2,0.0,5.1,1.5,2.1,26.2,2.4,1.7
2001,0.0,-0.0,0.0,8.6,0.0,1.4,25.0,3.6,1.2,0.0,5.8,1.7,2.3,29.4,3.0,1.9
2002,0.0,-0.0,0.0,9.2,0.0,1.5,28.5,3.8,1.3,0.0,6.1,2.2,2.5,32.4,3.7,2.2
2003,0.0,0.1,0.0,9.6,0.0,1.6,31.6,4.0,1.4,0.0,5.5,2.4,2.4,33.3,3.5,2.8
2004,0.0,0.0,0.0,9.9,0.0,1.6,33.9,4.6,1.5,0.0,6.0,2.7,2.6,34.4,3.3,2.2
2005,0.0,-0.0,0.0,10.3,0.0,1.7,39.4,4.6,1.5,0.0,5.8,3.0,2.7,35.1,3.2,2.1
2006,0.0,-0.0,0.0,11.1,0.0,1.9,39.7,5.0,1.7,0.0,6.0,3.2,2.9,37.1,3.2,2.1
2007,0.0,0.0,0.0,11.8,0.0,2.3,46.3,5.5,1.7,0.0,6.9,3.2,3.2,40.3,3.5,2.2
2008,0.0,-0.0,0.0,12.9,0.0,2.3,47.7,5.7,2.1,0.0,6.9,3.5,3.4,42.8,3.5,2.5
2009,0.0,-0.0,0.0,13.0,0.0,2.4,50.3,6.4,2.1,0.0,7.5,3.6,3.7,45.7,3.9,3.0
2010,0.0,-0.0,0.0,13.5,0.0,2.6,50.4,6.7,2.2,0.0,7.5,3.9,3.9,48.6,4.0,4.3
2011,0.0,0.0,0.0,13.5,0.0,2.3,51.6,7.4,2.2,0.0,8.0,4.2,3.9,49.6,3.8,4.3
2012,0.0,0.0,0.0,13.5,0.0,2.4,51.4,7.9,2.2,0.0,7.7,4.3,3.8,49.1,3.5,3.8
2013,0.0,-0.0,0.0,13.8,0.0,2.4,53.2,8.8,2.2,0.0,7.7,4.7,3.8,51.3,4.6,3.4
2014,0.0,-0.1,0.0,14.2,0.0,2.4,55.2,10.0,2.1,0.0,8.0,5.0,3.9,53.5,4.8,3.2
2015,0.0,0.0,0.0,14.5,0.0,2.5,57.3,10.7,2.1,0.0,8.2,5.3,4.1,55.5,5.1,3.1
