Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,6.4,0.0,0.8,23.4,4.2,1.3,0.0,2.5,1.3,1.5,21.5,2.0,1.4
2001,0.0,0.0,0.0,6.7,0.0,0.9,26.2,4.7,1.4,0.0,2.9,1.4,1.6,23.3,2.2,1.5
2002,0.0,-0.0,0.0,6.9,0.0,1.0,27.1,5.2,1.5,0.0,3.1,1.5,1.6,24.8,2.2,1.8
2003,0.0,0.1,0.0,7.3,0.0,1.0,27.6,5.4,1.5,0.0,2.7,1.7,1.6,25.7,2.3,2.1
2004,0.0,0.0,0.0,7.8,0.0,1.0,29.1,5.8,1.5,0.0,2.9,2.0,1.6,26.8,2.3,1.9
2005,0.0,-0.0,0.0,8.7,0.0,1.0,30.2,6.0,1.2,0.0,2.9,2.1,1.7,27.3,1.9,1.8
2006,0.0,0.0,0.0,9.3,0.0,1.2,32.4,6.4,1.3,0.0,3.7,2.3,1.8,29.9,2.2,1.8
2007,0.0,0.0,0.0,9.8,0.0,1.2,38.0,6.7,1.3,0.0,3.7,2.5,1.8,31.7,2.7,1.9
2008,0.0,0.0,0.0,10.8,0.0,1.4,37.1,7.5,1.6,0.0,3.8,2.6,2.0,34.6,3.1,1.9
2009,0.0,0.0,0.0,10.8,0.0,1.4,39.3,8.4,1.7,0.0,3.8,2.9,2.0,36.0,2.5,2.5
2010,0.0,-0.0,0.0,11.3,0.0,1.5,41.9,8.6,1.8,0.0,4.3,3.1,2.0,38.6,2.6,3.4
2011,0.0,-0.0,0.0,11.5,0.0,1.5,42.4,8.8,1.9,0.0,4.5,3.3,1.9,39.1,2.5,3.2
2012,0.0,0.0,0.0,11.8,0.0,1.5,42.5,8.8,1.9,0.0,4.6,3.5,2.0,39.6,2.8,2.9
2013,0.0,-0.0,0.0,11.8,0.0,1.4,41.7,8.6,1.6,0.0,4.3,3.6,2.0,38.6,2.9,2.4
2014,0.0,-0.0,0.0,11.8,0.0,1.4,41.3,9.9,1.6,0.0,4.2,3.7,1.9,39.7,3.1,2.2
2015,0.0,0.0,-0.0,11.7,0.0,1.4,41.0,11.2,1.5,0.0,4.1,3.9,1.8,40.9,3.2,2.1
