Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,10.2,0.0,1.6,23.8,3.9,1.4,0.0,4.2,1.8,2.8,30.6,2.2,2.4
2001,0.0,-0.0,0.0,11.3,0.0,1.6,24.6,4.2,1.5,0.0,4.3,2.0,3.1,33.1,2.5,2.6
2002,0.0,-0.0,0.0,12.5,0.0,1.6,25.7,4.8,1.4,0.0,4.5,2.1,3.3,35.7,2.8,2.8
2003,0.0,0.5,0.0,12.7,0.0,1.6,26.7,5.3,1.5,0.0,4.5,2.2,2.9,37.5,2.5,3.7
2004,0.0,0.0,0.0,12.7,0.0,1.6,29.4,5.8,1.4,0.0,4.9,2.5,3.5,38.4,2.9,3.1
2005,0.0,-0.0,0.0,13.7,0.0,2.4,29.5,6.3,1.4,0.0,4.6,2.7,3.8,41.4,3.3,3.1
2006,0.0,0.0,0.0,14.6,0.0,2.3,30.7,6.9,1.4,0.0,5.6,2.9,4.0,44.2,3.6,3.1
2007,0.0,0.0,0.0,16.0,0.0,2.3,34.9,7.3,1.6,0.0,5.8,3.0,4.5,47.8,3.9,3.4
2008,0.0,0.0,0.0,17.4,0.0,2.6,40.5,7.6,1.7,0.0,6.3,3.2,4.6,51.3,4.2,3.7
2009,0.0,-0.0,0.0,17.6,0.0,2.7,40.9,8.5,1.7,0.0,6.8,3.4,5.0,54.7,4.4,4.6
2010,0.0,0.0,0.0,18.4,0.0,2.7,42.5,8.7,1.8,0.0,7.0,3.5,5.0,57.5,4.6,5.8
2011,0.0,0.0,0.0,18.5,0.0,2.6,44.6,9.0,1.8,0.0,7.1,3.7,5.1,57.8,4.4,5.7
2012,0.0,0.0,0.0,19.0,0.0,2.7,46.1,9.7,1.8,0.0,7.2,3.9,5.1,61.7,6.7,5.6
2013,0.0,0.0,0.0,18.7,0.0,3.1,48.9,9.9,1.7,0.0,7.9,4.3,5.4,60.7,4.4,5.3
2014,0.0,-0.1,0.0,17.3,0.0,3.3,49.6,10.6,1.8,0.0,7.8,4.5,5.5,60.8,5.0,5.2
2015,0.0,0.0,0.0,17.0,0.0,3.4,50.3,11.7,1.8,0.0,7.8,4.5,5.5,62.4,5.4,5.1
