Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,2.3,0.0,0.4,5.8,1.4,0.3,0.0,1.0,0.5,0.4,7.6,0.6,0.8
2001,0.0,-0.0,0.0,2.4,0.0,0.4,6.1,1.5,0.3,0.0,1.1,0.4,0.4,8.0,0.7,0.8
2002,0.0,-0.0,0.0,2.5,0.0,0.4,6.3,1.7,0.3,0.0,1.2,0.4,0.4,8.6,0.7,0.9
2003,0.0,0.1,0.0,2.7,0.0,0.4,6.6,1.9,0.3,0.0,1.2,0.4,0.4,9.2,0.6,1.0
2004,0.0,0.0,0.0,2.9,0.0,0.4,6.9,2.2,0.4,0.0,1.3,0.5,0.5,10.0,0.8,1.0
2005,0.0,0.0,0.0,2.9,0.0,0.4,7.0,2.2,0.3,0.0,1.4,0.5,0.6,10.2,0.8,1.1
2006,0.0,0.0,0.0,3.0,0.0,0.5,7.5,2.5,0.3,0.0,1.4,0.5,0.6,10.7,0.9,1.0
2007,0.0,0.0,0.0,3.1,0.0,0.5,8.0,2.6,0.3,0.0,1.4,0.6,0.6,10.8,0.8,0.9
2008,0.0,0.0,0.0,3.2,0.0,0.5,8.0,2.6,0.3,0.0,1.4,0.6,0.6,11.2,0.8,1.0
2009,0.0,-0.0,0.0,3.3,0.0,0.5,7.9,2.9,0.4,0.0,1.5,0.7,0.6,11.9,0.9,1.1
2010,0.0,-0.0,0.0,3.4,0.0,0.5,8.9,3.0,0.4,0.0,1.5,0.7,0.7,12.3,0.9,1.3
2011,0.0,0.0,0.0,3.5,0.0,0.5,9.0,2.9,0.4,0.0,1.5,0.7,0.6,12.5,1.1,1.3
2012,0.0,-0.0,0.0,3.4,0.0,0.5,8.6,3.1,0.4,0.0,1.5,0.8,0.6,12.5,1.0,1.3
2013,0.0,0.0,0.0,3.3,0.0,0.5,8.4,3.1,0.3,0.0,1.6,0.8,0.6,12.4,1.0,1.1
2014,0.0,-0.0,0.0,3.1,0.0,0.5,8.6,3.5,0.3,0.0,1.5,0.8,0.6,12.3,0.9,1.1
2015,0.0,0.0,0.0,3.0,0.0,0.5,8.7,3.7,0.3,0.0,1.4,0.9,0.7,12.5,0.9,1.1
