Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.1,0.0,22.8,0.0,2.8,47.2,8.9,2.1,0.0,8.3,3.4,4.5,61.4,3.9,4.9
2001,0.0,-0.2,0.0,23.7,0.0,2.8,50.2,10.3,2.3,0.0,8.6,3.7,4.9,66.2,4.4,5.7
2002,0.0,0.0,0.0,24.1,0.0,2.9,54.3,11.4,2.4,0.0,8.7,3.8,5.1,69.6,4.5,6.6
2003,0.0,0.3,0.0,25.0,0.0,2.9,57.0,11.4,2.5,0.0,8.7,4.8,5.2,72.9,4.5,7.5
2004,0.0,0.0,0.0,27.4,0.0,3.0,61.7,13.0,2.7,0.0,9.2,4.5,5.5,77.3,4.5,7.4
2005,0.0,-0.0,0.0,27.5,0.0,3.1,67.0,13.7,2.7,0.0,8.6,4.7,5.7,76.1,4.7,5.5
2006,0.0,-0.0,0.0,26.7,0.0,3.2,69.1,13.9,2.7,0.0,8.6,5.4,5.8,76.3,4.7,5.3
2007,0.0,0.0,0.0,28.7,0.0,3.1,73.4,14.8,2.9,0.0,9.4,5.7,5.9,80.8,4.9,5.5
2008,0.0,-0.0,0.0,28.8,0.0,3.0,76.2,15.9,3.0,0.0,10.4,5.9,6.1,83.8,4.9,5.6
2009,0.0,-0.0,0.0,28.5,0.0,2.9,80.1,17.1,3.0,0.0,10.0,6.2,6.1,86.3,5.3,7.3
2010,0.0,0.0,0.0,29.4,0.0,2.8,77.3,17.8,3.0,0.0,9.9,6.6,5.9,90.9,4.9,10.7
2011,0.0,-0.0,0.0,29.0,0.0,2.8,73.9,18.2,3.0,0.0,10.2,7.4,5.8,89.6,4.5,8.8
2012,0.0,0.0,0.0,29.1,0.0,2.9,76.4,18.6,2.8,0.0,10.3,7.5,5.8,88.5,4.4,7.3
2013,0.0,0.0,0.0,28.4,0.0,3.0,76.3,18.8,3.2,0.0,10.4,7.9,6.3,89.2,4.5,6.7
2014,0.0,0.1,0.0,26.3,0.0,3.0,79.2,18.7,3.3,0.0,10.7,8.0,6.5,87.0,4.5,6.0
2015,0.0,-0.0,-0.0,25.6,0.0,3.1,82.0,18.8,3.5,0.0,10.9,8.1,6.9,87.3,4.6,5.8
