Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,3.3,0.0,0.4,6.6,1.4,0.2,0.0,3.0,0.3,0.6,10.8,1.0,0.7
2001,0.0,-0.0,0.0,3.6,0.0,0.4,7.1,1.6,0.2,0.0,3.2,0.3,0.7,11.6,0.9,0.8
2002,0.0,-0.0,0.0,3.8,0.0,0.4,7.9,1.8,0.3,0.0,3.3,0.3,0.7,12.5,1.0,0.8
2003,0.0,0.1,0.0,3.9,0.0,0.5,8.4,1.8,0.3,0.0,3.5,0.3,0.6,13.3,1.1,1.1
2004,0.0,-0.0,0.0,4.1,0.0,0.5,8.8,2.0,0.3,0.0,4.0,0.3,0.8,14.1,1.1,1.0
2005,0.0,-0.0,0.0,4.2,0.0,0.5,8.6,2.2,0.3,0.0,3.9,0.4,0.8,14.3,1.1,1.0
2006,0.0,-0.0,0.0,4.4,0.0,0.5,9.5,2.4,0.3,0.0,4.3,0.4,0.8,15.3,1.2,0.9
2007,0.0,0.0,0.0,4.8,0.0,0.5,11.6,2.6,0.3,0.0,5.0,0.5,0.9,16.7,1.1,1.0
2008,0.0,0.0,0.0,5.1,0.0,0.6,13.5,2.7,0.4,0.0,5.0,0.5,1.0,17.6,1.3,1.1
2009,0.0,-0.0,0.0,5.5,0.0,0.6,13.6,2.8,0.3,0.0,5.5,0.6,1.0,18.8,1.4,1.1
2010,0.0,0.0,0.0,5.7,0.0,0.6,14.3,2.9,0.3,0.0,5.4,0.6,1.0,19.3,1.4,1.4
2011,0.0,-0.0,0.0,5.8,0.0,0.6,14.9,2.7,0.3,0.0,5.7,0.7,1.0,19.4,1.3,1.4
2012,0.0,0.0,0.0,6.0,0.0,0.6,15.1,2.9,0.3,0.0,5.8,0.7,1.0,20.0,1.4,1.3
2013,0.0,-0.0,0.0,6.2,0.0,0.6,15.0,3.1,0.3,0.0,5.9,0.8,1.0,20.6,1.4,1.3
2014,0.0,0.1,0.0,6.2,0.0,0.6,15.5,3.0,0.3,0.0,5.8,0.9,1.1,20.6,1.4,1.4
2015,0.0,0.0,0.0,6.2,0.0,0.6,16.0,2.9,0.3,0.0,5.8,1.0,1.1,20.5,1.4,1.3
