Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,3.1,0.0,0.7,13.2,1.3,0.5,0.0,1.7,0.4,1.4,11.2,1.4,0.7
2001,0.0,-0.0,0.0,3.5,0.0,0.8,14.6,1.4,0.7,0.0,2.0,0.5,1.5,12.7,1.5,0.8
2002,0.0,-0.0,0.0,3.8,0.0,0.9,15.8,1.7,0.7,0.0,2.1,0.5,1.6,14.0,1.6,1.0
2003,0.0,0.0,0.0,3.9,0.0,0.9,16.8,1.9,0.7,0.0,2.4,0.6,1.6,14.9,1.8,1.1
2004,0.0,0.0,0.0,4.3,0.0,0.9,18.1,1.9,0.7,0.0,2.8,0.7,1.7,16.1,2.0,1.1
2005,0.0,0.0,0.0,4.6,0.0,1.2,18.7,2.2,0.7,0.0,2.9,0.8,1.9,17.4,2.2,1.0
2006,0.0,-0.0,0.0,5.2,0.0,1.2,20.6,2.3,0.7,0.0,3.4,0.9,2.0,18.8,2.1,1.0
2007,0.0,-0.0,0.0,5.8,0.0,1.3,22.1,2.6,0.7,0.0,2.9,0.9,2.3,20.0,2.3,1.1
2008,0.0,0.0,0.0,6.4,0.0,1.4,24.9,2.6,0.8,0.0,3.2,1.1,2.6,21.5,2.1,1.3
2009,0.0,-0.0,0.0,6.0,0.0,1.5,25.9,2.9,0.9,0.0,3.1,1.2,2.7,22.5,2.4,1.9
2010,0.0,0.0,0.0,5.7,0.0,1.2,28.7,2.8,1.0,0.0,3.2,1.3,2.5,23.9,3.1,3.1
2011,0.0,0.0,0.0,5.7,0.0,1.3,28.3,3.0,1.0,0.0,3.1,1.4,2.5,23.3,2.7,2.7
2012,0.0,-0.0,0.0,5.5,0.0,1.2,29.1,3.2,1.0,0.0,3.0,1.6,2.5,22.8,2.7,2.1
2013,0.0,-0.0,0.0,5.5,0.0,1.2,26.8,3.4,1.0,0.0,2.9,1.7,2.4,22.1,2.1,1.9
2014,0.0,0.0,0.0,5.6,0.0,1.1,26.2,3.6,0.8,0.0,3.0,1.8,2.3,21.9,1.8,1.8
2015,0.0,-0.0,0.0,5.8,0.0,1.0,25.8,3.8,0.8,0.0,3.1,2.3,2.2,22.8,1.7,2.0
