Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.6,0.0,41.4,0.0,6.5,177.5,31.7,9.3,0.0,22.9,14.6,13.0,171.2,18.2,14.4
2001,0.0,-0.6,0.0,45.4,0.0,7.1,183.5,33.4,8.8,0.0,25.8,15.6,13.8,183.5,18.6,15.6
2002,0.0,0.0,0.0,48.5,0.0,7.5,195.3,36.1,8.3,0.0,30.0,15.8,14.6,197.9,19.9,17.2
2003,0.0,0.9,0.0,50.2,0.0,7.8,207.0,41.1,8.4,0.0,28.3,17.0,14.3,209.9,23.4,18.5
2004,0.0,-0.0,0.0,52.5,0.0,7.8,221.4,44.3,8.1,0.0,30.2,18.6,14.9,218.7,24.7,17.7
2005,0.0,0.0,0.0,54.8,0.0,8.5,232.9,47.3,8.3,0.0,30.8,19.4,15.6,226.2,24.2,17.5
2006,0.0,-0.0,0.0,58.3,0.0,8.7,241.4,48.7,8.9,0.0,34.6,20.0,16.4,237.9,24.9,17.4
2007,0.0,0.0,0.0,61.8,0.0,9.5,263.3,50.2,9.6,0.0,36.1,20.9,17.1,249.3,25.3,18.8
2008,0.0,-0.0,0.0,65.6,0.0,11.0,273.2,50.0,9.9,0.0,38.2,23.2,17.9,261.7,26.4,19.4
2009,0.0,0.0,0.0,69.9,0.0,10.6,297.3,53.9,10.8,0.0,37.9,24.3,18.5,278.7,30.9,21.8
2010,0.0,0.0,0.0,71.8,0.0,10.6,316.1,58.2,10.5,0.0,38.6,25.5,19.0,294.8,32.5,27.9
2011,0.0,-0.0,0.0,72.4,0.0,10.3,334.7,59.8,11.1,0.0,40.0,27.2,19.2,300.0,32.8,27.4
2012,0.0,-0.0,0.0,72.6,0.0,10.2,340.1,61.4,11.5,0.0,41.6,28.9,19.5,303.1,32.2,25.4
2013,0.0,-0.0,0.0,72.3,0.0,9.9,346.2,69.5,12.1,0.0,41.5,29.6,20.1,310.4,31.9,23.5
2014,0.0,-0.4,0.0,63.7,0.0,9.8,348.2,66.6,12.1,0.0,37.9,30.0,18.9,290.4,32.1,19.7
2015,0.0,-0.0,0.0,60.5,0.0,9.8,351.5,64.6,12.2,0.0,36.9,30.5,17.8,283.3,32.5,18.3
