Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,21.0,0.0,3.6,42.1,11.6,2.1,0.0,7.7,7.6,5.3,68.4,4.7,4.8
2001,0.0,-0.0,0.0,22.6,0.0,3.7,46.4,12.5,2.4,0.0,8.1,7.7,5.6,72.9,4.8,5.5
2002,0.0,-0.0,0.0,24.0,0.0,4.7,51.3,14.3,2.7,0.0,8.4,9.3,5.7,80.8,5.1,6.7
2003,0.0,0.4,0.0,25.6,0.0,4.6,54.6,15.6,2.8,0.0,8.4,9.9,5.8,85.6,5.0,7.6
2004,0.0,-0.0,0.0,27.0,0.0,4.5,57.6,17.0,2.9,0.0,8.8,10.6,6.1,89.4,5.3,7.4
2005,0.0,0.0,0.0,28.0,0.0,4.7,60.7,18.4,2.9,0.0,9.5,9.7,6.2,92.0,5.5,7.0
2006,0.0,-0.0,0.0,29.3,0.0,5.0,63.7,20.1,3.1,0.0,9.9,10.9,6.5,97.5,5.7,7.0
2007,0.0,-0.0,0.0,30.4,0.0,4.9,67.0,19.9,3.3,0.0,10.5,10.9,6.5,100.1,5.9,7.8
2008,0.0,0.0,0.0,31.3,0.0,5.1,69.9,19.3,3.2,0.0,10.6,11.6,7.0,102.8,5.9,8.6
2009,0.0,0.0,0.0,31.8,0.0,5.3,75.6,20.4,3.1,0.0,11.2,12.1,7.4,108.0,6.1,10.4
2010,0.0,-0.0,0.0,33.2,0.0,5.4,76.7,21.4,3.1,0.0,11.2,13.1,7.2,113.8,6.0,13.2
2011,0.0,0.0,0.0,33.8,0.0,5.3,79.1,23.1,2.9,0.0,11.0,13.5,7.2,115.3,6.2,12.4
2012,0.0,-0.0,0.0,33.0,0.0,5.0,81.2,23.6,2.8,0.0,10.2,14.3,7.1,112.8,6.6,10.3
2013,0.0,0.0,0.0,32.9,0.0,5.1,82.5,24.4,2.8,0.0,10.3,14.6,7.6,113.8,6.5,9.6
2014,0.0,-0.4,0.0,32.7,0.0,4.9,83.8,25.7,3.1,0.0,10.4,16.2,7.4,116.2,6.6,9.7
2015,0.0,0.0,-0.0,32.2,0.0,4.8,85.2,26.8,3.4,0.0,10.5,17.3,7.1,118.9,6.8,10.1
