Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,1.9,0.0,0.3,6.9,1.0,0.3,0.0,0.6,0.4,0.5,6.4,0.4,0.9
2001,0.0,-0.1,0.0,2.1,0.0,0.4,7.2,1.2,0.4,0.0,0.7,0.4,0.6,7.2,0.5,0.9
2002,0.0,-0.0,0.0,2.2,0.0,0.4,7.3,1.5,0.3,0.0,0.8,0.5,0.7,7.9,0.5,1.0
2003,0.0,0.1,0.0,2.3,0.0,0.4,7.8,1.6,0.3,0.0,0.8,0.6,0.7,8.3,0.5,1.0
2004,0.0,0.0,0.0,2.5,0.0,0.4,8.2,1.8,0.3,0.0,0.9,0.6,0.8,8.9,0.5,1.0
2005,0.0,0.0,0.0,2.6,0.0,0.5,8.7,1.9,0.3,0.0,0.9,0.7,0.8,9.2,0.5,1.0
2006,0.0,-0.0,0.0,2.7,0.0,0.5,8.9,2.2,0.3,0.0,0.9,0.7,0.8,9.5,0.6,0.8
2007,0.0,0.0,0.0,2.8,0.0,0.6,10.5,2.0,0.5,0.0,1.0,0.8,0.8,10.0,0.6,0.9
2008,0.0,-0.0,0.0,3.0,0.0,0.5,11.5,2.2,0.5,0.0,1.0,0.9,0.9,10.5,0.7,0.9
2009,0.0,0.0,0.0,3.0,0.0,0.6,11.7,2.1,0.6,0.0,1.1,0.9,0.8,10.7,0.6,1.0
2010,0.0,-0.0,0.0,3.1,0.0,0.5,12.2,2.3,0.6,0.0,1.0,1.0,0.9,11.3,0.6,1.3
2011,0.0,-0.0,0.0,3.1,0.0,0.5,11.9,2.3,0.5,0.0,1.0,1.0,0.9,11.5,0.8,1.3
2012,0.0,-0.0,0.0,3.2,0.0,0.5,11.9,2.3,0.6,0.0,1.1,1.1,0.9,11.4,0.6,1.1
2013,0.0,0.0,0.0,3.2,0.0,0.5,12.3,2.4,0.6,0.0,1.1,1.1,0.9,11.5,0.6,1.0
2014,0.0,0.0,0.0,3.1,0.0,0.5,12.1,2.3,0.6,0.0,1.1,1.1,0.9,11.4,0.7,1.2
2015,0.0,-0.0,0.0,2.9,0.0,0.5,11.9,2.1,0.6,0.0,1.2,1.1,0.9,11.2,0.7,1.2
