Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,8.5,0.0,1.2,18.4,6.5,0.8,0.0,7.9,1.0,2.0,32.0,2.2,2.0
2001,0.0,-0.0,0.0,8.9,0.0,1.2,19.7,7.4,0.9,0.0,8.1,1.1,2.1,34.1,2.1,2.3
2002,0.0,0.0,0.0,9.6,0.0,1.2,21.1,8.4,0.9,0.0,8.4,1.2,2.2,36.6,2.1,2.7
2003,0.0,0.1,0.0,9.6,0.0,1.3,22.7,9.1,0.9,0.0,9.5,1.3,2.3,39.1,2.1,3.0
2004,0.0,0.0,0.0,10.0,0.0,1.3,24.4,10.0,0.9,0.0,11.0,1.4,2.5,41.9,2.1,2.7
2005,0.0,0.0,0.0,10.5,0.0,1.5,25.8,10.9,0.9,0.0,9.9,1.5,2.7,42.8,2.3,2.7
2006,0.0,-0.0,0.0,11.0,0.0,1.6,28.2,10.0,1.0,0.0,10.9,1.6,2.8,44.3,2.6,2.7
2007,0.0,-0.0,0.0,11.5,0.0,1.7,35.0,10.4,1.1,0.0,14.1,1.7,3.1,49.3,2.7,3.0
2008,0.0,-0.0,0.0,12.5,0.0,1.8,35.5,11.0,1.1,0.0,12.4,1.8,3.2,49.6,2.5,3.0
2009,0.0,-0.0,0.0,13.0,0.0,2.0,36.5,11.0,1.2,0.0,13.1,2.0,3.5,52.8,3.2,3.7
2010,0.0,-0.0,0.0,13.1,0.0,1.9,37.5,12.4,1.2,0.0,12.2,2.1,3.5,53.5,2.9,4.2
2011,0.0,0.0,0.0,13.2,0.0,1.9,37.3,12.8,1.2,0.0,12.8,2.2,3.6,55.2,3.1,4.4
2012,0.0,0.0,0.0,13.8,0.0,2.0,37.0,13.0,1.1,0.0,12.8,2.4,3.5,55.7,3.1,3.9
2013,0.0,0.0,0.0,13.9,0.0,2.1,36.8,12.8,1.1,0.0,12.6,2.6,3.8,55.3,3.1,3.3
2014,0.0,0.0,0.0,15.3,0.0,2.1,35.5,12.6,1.0,0.0,12.7,2.6,4.0,56.6,3.0,3.3
2015,0.0,0.0,0.0,16.3,0.0,2.1,34.6,12.4,1.0,0.0,12.9,2.6,4.2,57.7,2.8,3.4
