Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.1,39.5,0.0,4.1,100.2,17.4,4.6,0.0,14.4,5.5,8.7,109.6,9.4,6.0
2001,0.0,0.0,0.0,42.6,0.0,4.4,106.7,19.4,4.8,0.0,16.0,6.1,9.5,118.3,9.8,5.8
2002,0.0,0.0,0.0,46.1,0.0,4.5,119.2,21.9,5.0,0.0,17.7,6.9,10.1,129.6,10.3,7.2
2003,0.0,0.2,0.6,47.9,0.0,4.9,125.8,24.6,5.4,0.0,18.1,7.6,10.1,139.3,10.8,9.0
2004,0.0,0.0,1.1,50.1,0.0,5.0,146.8,25.2,5.9,0.0,19.2,8.3,10.6,144.7,12.0,7.3
2005,0.0,-0.0,0.9,53.2,0.0,5.2,152.1,27.0,5.5,0.0,19.9,9.1,11.1,152.0,13.4,6.6
2006,0.0,-0.0,0.7,56.4,0.0,5.4,167.6,27.9,6.1,0.0,21.6,9.6,11.9,161.0,14.3,7.1
2007,0.0,-0.0,0.7,59.5,0.0,5.8,186.7,30.1,7.3,0.0,23.6,9.9,12.7,171.2,15.3,6.4
2008,0.0,-0.0,0.7,66.4,0.0,6.0,216.4,33.7,8.3,0.0,25.9,10.9,13.8,190.6,18.1,6.8
2009,0.0,0.0,0.6,70.9,0.0,6.4,231.2,37.5,8.7,0.0,29.2,11.1,15.3,204.0,15.3,9.1
2010,0.0,-0.0,0.4,74.9,0.0,6.6,253.6,41.0,8.9,0.0,30.6,11.6,15.6,218.8,15.4,13.8
2011,0.0,0.0,0.5,74.0,0.0,6.9,260.6,43.7,9.3,0.0,29.2,12.6,15.8,221.2,15.9,13.4
2012,0.0,0.0,0.4,71.3,0.0,7.2,270.7,45.0,9.6,0.0,28.8,13.5,15.5,219.2,16.0,11.8
2013,0.0,0.0,0.6,72.4,0.0,6.6,264.7,45.5,9.8,0.0,30.6,14.8,16.1,223.8,17.2,10.1
2014,0.0,-0.3,0.6,72.1,0.0,6.7,270.3,47.0,9.2,0.0,31.4,14.9,16.6,227.2,18.8,10.0
2015,0.0,0.0,0.7,72.1,0.0,6.8,275.2,48.5,8.8,0.0,32.2,14.9,17.5,231.2,20.0,9.7
