Year,Agency/GSE Debt,Balance,Defense,Education,Federal Deficit,General Government,Gross Public Debt,Health Care,Interest,Other Borrowing,Other Spending,Pensions,Protection,Total Spending,Transportation,Welfare
2000,0.0,-0.0,0.0,11.8,0.0,1.6,38.7,6.6,1.4,0.0,7.4,2.9,3.0,41.8,3.7,3.5
2001,0.0,-0.0,0.0,12.5,0.0,1.6,42.1,7.5,1.5,0.0,8.8,3.0,3.2,45.8,4.0,3.7
2002,0.0,0.0,0.0,13.1,0.0,1.7,45.6,8.1,1.5,0.0,10.1,3.2,3.3,50.4,4.4,5.0
2003,0.0,0.7,0.0,13.8,0.0,1.8,47.9,8.5,1.6,0.0,9.7,4.0,3.3,53.2,3.8,5.9
2004,0.0,0.0,0.0,14.6,0.0,1.8,50.4,9.2,1.7,0.0,9.9,3.6,3.6,54.3,5.1,4.9
2005,0.0,0.0,0.0,14.8,0.0,1.9,53.0,9.6,1.7,0.0,10.1,3.7,4.0,55.8,5.8,4.2
2006,0.0,0.0,0.0,15.7,0.0,1.9,56.7,9.8,1.8,0.0,9.8,3.9,4.0,56.5,5.8,3.7
2007,0.0,0.0,0.0,16.9,0.0,2.2,61.4,10.5,2.0,0.0,11.5,4.1,4.4,62.1,6.6,3.9
2008,0.0,-0.0,0.0,18.4,0.0,2.3,64.6,11.5,2.2,0.0,11.9,4.4,4.7,66.5,6.9,4.3
2009,0.0,0.0,0.0,19.4,0.0,2.4,66.7,12.6,2.3,0.0,13.2,4.7,4.9,72.5,7.3,5.7
2010,0.0,-0.0,0.0,18.7,0.0,2.3,71.1,13.3,2.3,0.0,13.0,4.9,4.9,75.2,7.3,8.3
2011,0.0,0.0,0.0,19.2,0.0,2.3,74.1,13.8,2.5,0.0,13.0,5.1,5.0,75.4,7.0,7.6
2012,0.0,-0.0,0.0,19.7,0.0,2.6,75.6,14.0,2.7,0.0,12.6,5.3,4.9,75.1,7.5,6.0
2013,0.0,-0.0,0.0,20.1,0.0,2.3,77.3,14.5,2.5,0.0,13.6,5.5,4.9,76.0,7.3,5.2
2014,0.0,-0.2,0.0,20.1,0.0,2.5,80.1,15.8,2.7,0.0,13.7,6.1,4.8,77.9,7.4,5.1
2015,0.0,-0.0,0.0,19.9,0.0,2.5,83.2,16.7,2.8,0.0,14.0,6.6,4.6,79.9,7.4,5.3
