Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,2.8,0.9,0.3,1.5,0.8,1.2,1.6,1.5,0.4,0.7,0.2,4.4,1.6,3.7,3.2,0.4,0.3,1.3,1.4,0.6,6.5,0.9,0.8,0.3,2.6,1.0,0.7,0.5,0.2,0.6,0.2,2.0,0.2,4.1,1.6,0.4,0.4,0.6,1.6,1.7,3.6,1.1,0.5,1.6,0.3,1.1,0.5,1.4,2.1,0.7,13.5
2001,2.8,0.9,0.3,1.6,0.9,1.2,1.6,1.5,0.4,0.8,0.2,4.7,1.7,3.9,3.3,0.4,0.4,1.4,1.5,0.6,7.1,1.2,0.8,0.4,2.6,1.1,0.8,0.5,0.2,0.6,0.3,2.1,0.2,4.4,1.6,0.4,0.4,0.6,1.7,2.0,3.7,1.2,0.5,1.6,0.3,1.2,0.5,1.3,2.2,0.8,14.4
2002,2.9,1.0,0.3,1.6,1.0,1.2,1.6,1.6,0.4,0.9,0.2,4.9,1.7,4.1,3.4,0.4,0.4,1.5,1.6,0.7,7.5,1.3,0.9,0.4,2.8,0.9,0.9,0.5,0.2,0.6,0.3,2.3,0.2,4.5,1.9,0.4,0.4,0.6,1.7,2.1,4.7,1.3,0.6,1.7,0.4,1.4,0.5,1.4,2.4,0.8,15.6
2003,2.9,1.0,0.4,1.7,1.0,1.3,1.6,1.5,0.4,1.0,0.2,5.2,1.8,4.2,4.3,0.5,0.4,1.6,1.6,0.7,7.8,1.4,1.0,0.4,2.8,1.0,0.9,0.5,0.3,0.7,0.3,2.3,0.2,4.9,1.7,0.4,0.4,0.7,1.8,2.1,4.6,1.6,0.7,1.8,0.4,1.5,0.6,1.5,2.5,0.8,17.5
2004,3.0,1.0,0.3,1.7,1.0,1.3,1.6,1.6,0.5,0.9,0.2,5.9,1.9,4.2,4.2,0.5,0.4,1.6,1.5,0.8,7.8,1.5,1.0,0.4,3.1,0.9,0.9,0.6,0.3,0.8,0.2,2.3,0.2,5.0,1.8,0.5,0.4,0.7,1.8,2.3,4.5,1.5,0.7,1.8,0.4,1.6,0.6,1.4,2.7,0.8,17.5
2005,3.1,1.1,0.4,2.0,1.0,1.5,2.4,1.6,0.5,0.9,0.2,6.4,2.0,4.3,4.5,0.5,0.4,1.7,1.5,0.8,8.5,1.6,1.2,0.5,3.2,0.9,1.2,0.6,0.3,0.8,0.2,2.5,0.2,5.2,1.8,0.5,0.4,0.8,2.0,2.3,4.7,1.5,0.8,1.9,0.4,1.5,0.6,1.5,2.7,0.8,17.7
2006,3.2,1.1,0.4,2.2,1.2,1.6,2.3,1.7,0.5,1.1,0.2,7.3,1.9,4.2,4.7,0.5,0.5,1.9,1.7,0.8,8.7,1.6,1.2,0.5,3.3,1.0,1.2,0.7,0.3,0.8,0.2,2.7,0.3,5.4,1.8,0.6,0.5,0.8,2.1,2.3,5.0,1.4,0.8,1.9,0.4,1.6,0.6,1.5,2.8,0.9,18.5
2007,3.1,1.3,0.5,2.4,1.2,1.7,2.3,1.7,0.6,1.2,0.2,8.0,2.0,4.5,5.0,0.5,0.5,2.3,1.7,0.9,9.5,1.8,1.3,0.6,3.4,0.9,1.3,0.7,0.4,0.8,0.2,2.9,0.3,5.8,1.9,0.7,0.5,0.9,2.3,2.5,4.9,1.5,0.7,2.2,0.5,1.8,0.7,1.7,3.1,0.9,21.0
2008,3.0,1.4,0.5,2.6,1.4,1.8,2.6,1.8,0.7,1.2,0.2,7.7,2.1,4.4,5.3,0.6,0.5,2.3,1.7,1.0,11.0,2.0,1.3,0.5,3.5,1.1,1.4,0.8,0.5,0.9,0.2,3.0,0.3,6.0,2.0,0.6,0.5,1.0,2.7,2.6,5.1,1.5,0.8,2.3,0.5,2.0,0.7,1.8,3.4,1.0,21.9
2009,2.9,1.5,0.5,2.4,1.4,2.0,2.7,1.7,0.7,1.2,0.2,7.3,2.3,4.7,5.7,0.6,0.6,2.4,1.9,0.9,10.6,1.9,1.4,0.6,3.6,1.1,1.5,0.9,0.5,0.9,0.3,3.2,0.4,6.4,2.0,0.6,0.5,1.1,2.8,2.8,5.3,1.5,0.8,2.4,0.5,2.1,0.8,1.8,3.5,1.0,21.8
