Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,8.9,6.2,0.7,3.3,4.2,6.5,3.9,4.5,1.1,1.7,0.5,14.7,5.3,9.4,11.8,1.4,1.5,2.9,4.0,2.5,31.7,5.8,1.6,1.0,6.1,1.9,1.3,0.7,0.7,4.0,0.5,5.4,0.5,17.4,5.5,0.6,1.4,1.9,9.6,7.0,11.6,5.1,2.0,6.6,0.9,5.8,1.3,3.8,7.9,3.2,34.2
2001,10.3,6.7,0.7,3.3,4.7,7.4,4.2,4.8,1.3,1.4,0.5,15.9,5.8,10.5,12.6,1.6,1.5,3.6,4.3,2.7,33.4,6.2,1.8,1.2,6.4,2.4,1.4,0.8,0.7,4.4,0.6,6.1,0.5,19.4,5.7,0.7,1.5,2.2,10.7,8.1,12.5,5.9,1.7,7.5,0.9,5.6,1.3,4.0,9.2,3.6,37.6
2002,11.4,7.2,0.8,4.6,5.2,8.4,4.8,5.5,1.4,3.8,0.5,17.4,6.6,11.0,13.9,1.8,1.5,3.8,5.0,3.0,36.1,6.8,2.0,1.5,7.5,2.6,1.7,1.0,0.8,4.8,0.6,6.5,0.6,21.9,6.6,0.8,1.7,2.5,11.6,7.1,14.3,6.7,2.2,8.1,0.9,6.0,1.4,4.5,11.1,3.7,41.1
2003,11.4,7.7,0.8,5.2,5.4,9.1,5.3,5.9,1.5,3.8,0.5,19.7,7.6,11.0,16.7,1.8,1.6,4.0,4.0,3.2,41.1,7.2,2.2,1.6,7.8,2.7,1.9,1.1,0.9,5.2,0.7,7.1,0.6,24.6,7.0,0.8,1.9,2.8,11.4,6.4,15.6,7.0,2.4,8.5,1.1,5.6,1.5,4.8,11.3,3.9,46.3
2004,13.0,8.0,0.9,5.8,5.8,10.0,5.8,6.8,1.7,4.1,0.6,22.3,8.1,12.8,17.9,2.0,1.8,4.6,3.9,3.5,44.3,7.9,2.4,1.8,11.2,2.8,1.9,1.2,1.1,5.7,0.8,7.6,0.7,25.2,7.6,1.1,2.2,2.9,12.1,11.0,17.0,7.5,2.6,9.2,1.3,7.1,1.6,4.7,12.7,4.5,48.9
2005,13.7,8.6,1.0,6.9,6.0,10.9,6.3,7.2,1.9,4.3,0.6,24.0,8.9,14.9,20.6,2.2,1.8,4.6,4.3,3.7,47.3,9.0,2.7,1.9,12.3,3.3,2.2,1.3,1.2,6.1,1.0,8.7,0.7,27.0,8.2,1.2,2.2,3.5,14.1,11.2,18.4,8.2,2.7,9.6,1.4,7.7,1.8,4.9,12.6,4.7,53.0
2006,13.9,8.7,1.1,7.1,6.4,10.0,6.9,7.6,2.1,4.7,0.6,25.2,9.3,14.9,20.7,2.4,1.9,5.0,4.8,3.9,48.7,8.8,2.8,2.2,12.6,3.7,2.3,1.4,1.4,6.0,1.0,9.3,0.7,27.9,8.7,1.3,2.5,3.5,14.6,12.2,20.1,8.5,2.7,9.8,1.2,7.7,1.9,5.3,12.7,5.1,53.2
2007,14.8,8.6,1.1,7.6,6.7,10.4,7.3,7.8,2.2,5.2,0.6,25.9,10.0,15.6,21.6,2.6,1.8,5.5,4.7,4.3,50.2,9.6,3.0,2.0,13.2,4.4,2.6,1.4,1.4,6.5,1.1,9.4,0.7,30.1,9.1,1.4,2.6,4.2,15.5,13.1,19.9,8.3,2.8,10.5,1.3,8.4,2.2,5.4,14.6,5.5,55.7
2008,15.9,8.8,1.2,8.5,7.5,11.0,7.6,8.1,2.4,5.7,0.6,28.2,10.7,17.6,21.8,2.7,2.3,5.7,5.1,4.5,50.0,10.2,3.2,2.2,14.0,4.8,2.6,1.4,1.6,7.0,1.2,10.0,0.8,33.7,10.5,1.6,2.6,4.7,16.9,13.7,19.3,9.0,2.9,11.5,1.4,9.7,2.5,6.0,15.2,6.0,60.5
2009,17.1,9.9,1.3,9.2,8.4,11.0,8.5,9.0,2.5,6.0,0.6,29.4,11.8,18.9,23.6,2.8,2.5,6.4,5.7,4.6,53.9,10.5,3.4,2.1,14.6,5.1,2.9,1.7,1.8,7.8,1.2,10.6,0.8,37.5,10.2,1.6,2.9,5.1,18.3,14.3,20.4,10.0,3.2,12.6,1.6,10.4,2.5,6.5,14.3,6.7,64.6
2010,17.8,11.1,1.4,10.1,8.6,12.4,8.7,9.8,2.7,6.3,0.8,31.8,12.3,18.9,25.8,2.9,2.6,6.7,6.3,4.9,58.2,11.3,3.5,2.3,15.6,5.3,2.8,1.9,1.8,7.9,1.3,11.8,0.9,41.0,10.9,1.7,3.0,5.7,19.1,14.9,21.4,10.8,3.3,13.3,1.7,10.9,2.7,6.4,15.2,7.0,63.4
2011,18.2,11.0,1.5,10.6,8.8,12.8,9.0,10.3,2.9,6.5,0.9,33.4,12.6,19.2,27.5,2.7,2.8,7.4,7.1,5.2,59.8,12.0,3.6,2.3,15.7,5.7,3.0,2.1,1.8,8.4,1.4,12.4,0.9,43.7,11.3,1.9,2.9,5.7,19.7,16.1,23.1,11.6,3.5,13.8,1.7,10.9,3.0,7.0,15.9,7.3,79.9
2012,18.6,11.1,1.5,10.3,8.8,13.0,9.7,9.9,2.5,7.1,0.9,33.2,13.8,18.5,27.3,2.9,3.0,7.9,7.6,5.9,61.4,11.6,3.8,2.3,16.5,6.0,3.2,2.2,1.9,8.4,1.5,12.6,0.9,45.0,11.6,2.0,3.1,5.4,21.6,16.3,23.6,12.5,3.6,14.0,1.6,10.6,2.9,7.3,16.1,8.0,76.5
2013,18.8,11.5,1.6,10.4,8.6,12.8,9.9,10.8,2.7,7.4,1.0,33.5,13.4,20.8,28.1,3.1,3.2,8.8,7.9,6.0,69.5,12.1,4.0,2.4,16.4,6.4,3.4,2.3,2.0,8.9,1.6,13.9,1.0,45.5,14.2,2.1,3.1,5.4,23.9,16.5,24.4,13.0,3.8,14.5,1.5,11.5,3.0,7.9,16.7,8.4,85.6
2014,18.7,11.5,1.6,11.3,9.9,12.6,10.6,11.3,2.7,7.6,1.0,36.0,13.9,18.9,28.5,3.0,3.5,10.0,9.5,6.6,66.6,12.9,4.3,2.3,16.2,6.7,3.6,2.2,1.8,8.9,1.6,14.3,0.9,47.0,13.3,2.3,3.5,5.6,21.5,16.2,25.7,13.1,3.9,15.8,1.4,12.1,3.5,7.7,17.4,8.7,91.3
2015,18.8,11.6,1.6,11.9,11.2,12.4,11.7,12.0,2.8,7.8,1.1,38.4,14.3,17.9,29.0,2.9,3.8,10.7,10.1,7.0,64.6,13.4,4.7,2.1,15.9,7.0,3.8,2.0,1.7,9.0,1.6,14.6,0.9,48.5,12.4,2.5,3.7,5.7,20.5,15.7,26.8,13.2,4.2,16.7,1.4,13.1,3.7,7.6,17.9,9.0,97.2
