Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,3.4,1.2,0.3,1.2,1.3,1.0,1.8,2.1,0.3,1.1,0.3,2.5,2.3,5.2,4.5,0.3,0.0,1.5,2.1,0.5,14.6,1.1,0.5,0.4,3.4,0.6,0.4,0.5,0.2,0.7,0.1,1.6,0.2,5.5,1.0,0.2,0.5,0.6,2.0,2.6,7.6,1.4,0.9,2.9,0.2,1.7,0.5,1.6,1.6,0.7,15.2
2001,3.7,1.3,0.3,1.5,1.4,1.1,2.0,2.8,0.4,1.2,0.2,3.4,2.5,5.6,4.4,0.3,0.0,1.7,2.2,0.5,15.6,1.2,0.5,0.4,3.7,0.6,0.5,0.5,0.2,0.8,0.1,1.7,0.2,6.1,1.1,0.2,0.4,0.7,2.1,2.8,7.7,1.7,1.0,3.0,0.2,1.9,0.5,1.8,2.0,0.8,16.7
2002,3.8,1.4,0.4,1.6,1.5,1.2,2.1,3.0,0.4,1.2,0.2,3.7,2.7,6.2,5.3,0.3,0.0,2.2,2.2,0.6,15.8,1.5,0.6,0.5,4.2,0.7,0.5,0.5,0.3,0.9,0.1,1.9,0.2,6.9,1.1,0.3,0.4,0.7,2.3,3.0,9.3,1.9,1.7,3.2,0.3,2.0,0.6,1.9,2.2,0.8,18.6
2003,4.8,1.0,0.4,1.8,1.7,1.3,2.2,3.2,0.4,1.2,0.2,5.2,2.8,6.9,5.8,0.3,0.0,2.4,2.6,0.7,17.0,1.7,0.7,0.6,4.9,0.7,0.6,0.8,0.3,1.0,0.1,2.1,0.2,7.6,1.1,0.3,0.4,0.8,2.5,3.2,9.9,2.1,1.8,4.0,0.3,2.2,0.6,2.0,2.5,0.9,20.9
2004,4.5,1.5,0.4,1.9,2.0,1.4,2.5,3.3,0.4,1.5,0.2,5.0,2.9,7.7,6.3,0.3,0.0,2.7,3.1,0.7,18.6,1.9,0.7,0.6,5.3,0.8,0.7,0.9,0.3,1.2,0.1,2.3,0.2,8.3,1.2,0.3,0.5,0.9,2.8,3.7,10.6,2.3,1.1,3.6,0.3,2.3,0.7,2.2,2.7,0.9,23.8
2005,4.7,1.6,0.5,2.3,2.1,1.5,2.7,3.2,0.5,1.6,0.3,5.3,3.0,8.5,7.0,0.4,0.0,3.0,3.1,0.8,19.4,2.0,0.8,0.7,5.9,0.9,0.8,0.8,0.3,1.2,0.1,2.5,0.3,9.1,1.3,0.3,0.5,0.9,3.0,3.8,9.7,2.4,0.7,3.7,0.3,2.4,0.7,2.3,3.0,1.0,25.3
2006,5.4,2.0,0.5,2.5,2.3,1.6,2.9,3.4,0.5,1.6,0.3,5.6,3.3,9.2,7.4,0.4,0.0,3.2,3.0,0.9,20.0,2.0,0.9,0.7,6.3,1.0,0.9,0.9,0.4,1.3,0.1,2.8,0.3,9.6,1.5,0.4,0.5,1.0,3.2,3.7,10.9,2.7,0.4,3.9,0.4,2.6,0.7,2.5,3.2,1.1,26.7
2007,5.7,2.2,0.5,2.8,2.5,1.7,3.0,3.6,0.6,1.7,0.3,6.3,3.3,9.9,7.4,0.5,0.1,3.2,3.3,1.0,20.9,2.3,0.9,0.8,6.3,1.1,0.9,0.8,0.4,1.4,0.2,2.9,0.3,9.9,1.6,0.4,0.6,1.1,3.5,4.6,10.9,2.9,0.7,4.1,0.4,2.8,0.8,2.6,3.7,1.2,28.4
2008,5.9,2.4,0.6,3.1,2.6,1.8,3.2,4.1,0.6,1.8,0.3,6.7,3.4,10.6,8.7,0.5,0.1,3.5,3.6,1.0,23.2,2.4,1.0,0.9,6.4,1.1,1.1,0.8,0.4,1.5,0.2,3.1,0.3,10.9,1.7,0.4,0.6,1.2,3.8,4.8,11.6,3.2,0.7,4.4,0.4,2.9,0.8,2.8,4.4,1.2,30.6
2009,6.2,2.4,0.6,3.2,2.9,2.0,3.4,4.2,0.7,2.0,0.4,7.5,3.6,11.3,8.8,0.6,0.2,3.6,3.5,1.1,24.3,2.4,1.1,0.9,7.2,1.2,1.2,0.8,0.4,1.6,0.2,3.5,0.4,11.1,1.7,0.5,0.7,1.3,4.0,5.1,12.1,3.4,0.8,4.7,0.5,3.1,0.8,3.0,4.2,1.4,32.4
2010,6.6,2.5,0.6,3.4,3.1,2.1,3.5,4.2,0.7,2.0,0.3,7.9,3.7,12.1,9.3,0.6,0.2,3.9,3.6,1.2,25.5,2.5,1.1,1.0,7.6,1.2,1.3,0.9,0.5,1.7,0.2,3.9,0.4,11.6,1.9,0.5,0.7,1.4,4.1,5.4,13.1,3.4,1.0,4.9,0.5,3.2,0.9,3.3,4.6,1.5,35.2
2011,7.4,2.7,0.7,3.4,3.3,2.2,3.7,4.3,0.7,2.1,0.4,8.6,3.8,13.0,10.1,0.7,0.2,4.2,4.0,1.3,27.2,2.7,1.2,1.0,8.5,1.3,1.4,0.9,0.5,1.9,0.2,4.1,0.4,12.6,2.1,0.5,0.7,1.5,4.4,5.6,13.5,3.7,1.1,5.1,0.6,3.5,1.0,3.5,5.0,1.7,37.8
2012,7.5,3.0,0.7,3.6,3.5,2.4,3.9,4.6,0.8,2.2,0.4,8.2,3.9,14.5,10.1,0.7,0.3,4.3,3.8,1.3,28.9,2.8,1.3,1.1,8.8,1.4,1.6,1.0,0.6,2.0,0.2,4.4,0.4,13.5,2.3,0.5,0.8,1.6,4.5,5.9,14.3,3.9,1.1,5.3,0.6,3.5,1.0,3.7,5.4,1.8,40.3
2013,7.9,3.1,0.7,3.8,3.6,2.6,4.3,4.7,0.8,2.3,0.5,8.9,4.0,15.0,11.3,0.8,0.3,4.7,4.1,1.5,29.6,3.1,1.4,1.1,9.2,1.5,1.7,1.0,0.6,2.1,0.3,4.7,0.4,14.8,2.3,0.6,0.8,1.8,4.9,6.3,14.6,4.1,1.1,5.5,0.6,3.9,1.0,3.9,5.8,1.9,43.5
2014,8.0,3.3,0.8,4.0,3.7,2.6,4.5,4.7,0.9,2.4,0.6,9.5,4.5,16.2,11.5,0.9,0.4,5.0,4.6,1.5,30.0,3.2,1.5,1.1,9.7,1.6,1.8,1.1,0.7,2.3,0.3,4.8,0.5,14.9,2.4,0.6,0.8,1.9,5.2,6.3,16.2,4.4,1.3,6.1,0.6,4.3,1.1,4.1,6.1,2.0,46.8
2015,8.1,3.4,0.9,4.3,3.9,2.6,4.5,4.8,1.0,2.6,0.7,10.1,4.8,17.2,11.8,1.0,0.5,5.3,5.0,1.6,30.5,3.3,1.6,1.1,10.1,1.7,2.3,1.2,0.8,2.8,0.3,4.8,0.5,14.9,2.5,0.6,0.9,2.2,5.4,6.2,17.3,4.5,1.4,6.6,0.7,4.5,1.3,4.4,6.5,2.1,49.5
