Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,4.5,1.4,0.3,2.9,1.5,2.0,2.8,2.7,0.5,1.4,0.2,9.2,1.9,6.4,5.1,0.6,0.8,2.1,1.9,0.9,13.0,1.5,0.9,0.5,4.7,1.0,1.4,0.4,0.2,0.9,0.2,3.2,0.2,8.7,2.1,0.5,0.4,0.9,3.2,3.2,5.3,2.1,0.5,3.0,0.4,2.0,0.5,1.8,3.4,0.9,21.8
2001,4.9,1.5,0.3,3.0,1.6,2.1,3.1,3.0,0.6,1.4,0.2,9.8,2.1,6.6,5.4,0.7,0.8,2.3,2.0,0.9,13.8,1.6,1.0,0.6,4.9,1.1,1.5,0.5,0.3,1.0,0.2,3.4,0.2,9.5,2.2,0.5,0.4,0.9,3.4,3.4,5.6,2.3,0.4,3.2,0.5,2.0,0.5,1.9,3.7,1.0,24.2
2002,5.1,1.5,0.4,3.0,1.6,2.2,3.3,3.1,0.6,1.5,0.2,10.2,2.2,6.8,5.6,0.7,0.8,2.5,2.2,1.0,14.6,1.6,1.0,0.7,5.2,1.1,1.6,0.6,0.3,1.0,0.2,3.6,0.2,10.1,2.3,0.5,0.4,1.0,3.5,3.6,5.7,2.4,0.5,3.3,0.5,2.1,0.6,2.0,4.1,1.0,27.1
2003,5.2,1.6,0.3,3.0,1.6,2.3,2.9,2.9,0.6,1.2,0.2,10.2,2.2,6.8,5.9,0.6,0.8,2.4,2.1,1.0,14.3,1.7,1.0,0.7,5.1,1.2,1.6,0.5,0.3,1.1,0.2,3.4,0.2,10.1,2.3,0.4,0.4,1.0,3.4,3.3,5.8,2.4,0.5,3.3,0.5,2.2,0.5,2.0,3.8,1.0,27.4
2004,5.5,1.8,0.4,3.3,1.6,2.5,3.5,3.2,0.6,1.6,0.2,11.5,2.4,7.1,5.8,0.8,0.8,2.6,2.2,1.1,14.9,1.7,1.1,0.8,5.5,1.2,1.7,0.5,0.3,1.1,0.3,3.9,0.3,10.6,2.4,0.5,0.5,1.1,3.8,3.5,6.1,2.5,0.6,3.6,0.6,2.4,0.6,1.9,4.4,1.0,29.1
2005,5.7,1.9,0.4,3.8,1.7,2.7,3.8,3.2,0.7,1.7,0.2,12.5,2.4,7.2,6.1,0.8,0.8,2.7,2.3,1.1,15.6,1.8,1.2,0.8,5.9,1.2,1.9,0.5,0.4,1.1,0.3,4.3,0.3,11.1,2.7,0.5,0.6,1.2,4.1,3.7,6.2,2.6,0.6,4.0,0.6,2.5,0.6,2.0,4.5,1.1,30.8
2006,5.8,2.1,0.5,4.0,1.8,2.8,4.0,3.4,0.7,1.8,0.2,13.6,2.6,7.5,6.3,0.8,1.0,2.9,2.5,1.2,16.4,1.9,1.3,0.8,6.2,1.3,2.0,0.6,0.4,1.2,0.3,4.7,0.3,11.9,2.7,0.6,0.6,1.3,4.4,4.0,6.5,2.6,0.6,4.0,0.7,2.8,0.6,2.1,5.0,1.2,33.4
2007,5.9,2.2,0.5,4.8,1.8,3.1,4.5,3.6,0.8,1.9,0.2,14.5,2.8,8.1,6.8,0.9,1.0,3.2,2.7,1.2,17.1,2.1,1.4,0.8,6.5,1.4,2.3,0.6,0.4,1.3,0.3,5.1,0.3,12.7,2.8,0.7,0.6,1.4,4.8,4.3,6.5,2.9,0.7,4.4,0.7,2.9,0.7,2.2,5.5,1.3,37.6
2008,6.1,2.3,0.6,5.1,2.0,3.2,4.6,3.7,0.8,2.0,0.3,16.0,3.0,8.7,7.0,1.0,1.2,3.4,2.8,1.3,17.9,2.2,1.5,0.9,6.6,1.5,2.6,0.7,0.5,1.4,0.3,5.5,0.4,13.8,3.1,0.7,0.6,1.5,5.1,4.5,7.0,3.1,0.8,4.7,0.7,3.2,0.8,2.3,5.9,1.3,40.3
2009,6.1,2.5,0.6,5.3,2.0,3.5,5.0,3.9,0.9,2.1,0.3,16.4,3.3,9.0,7.2,1.0,1.1,3.7,3.0,1.3,18.5,2.4,1.5,0.8,6.8,1.6,2.7,0.8,0.6,1.5,0.3,5.8,0.4,15.3,3.1,0.7,0.6,1.6,5.3,4.6,7.4,3.4,0.8,4.9,0.7,3.5,0.8,2.3,5.8,1.4,41.6
