Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,61.4,25.3,5.0,27.3,21.5,32.0,30.6,34.5,6.4,15.9,4.0,84.3,35.4,74.7,75.5,10.8,6.5,26.2,24.1,12.2,171.2,23.4,13.0,6.4,54.5,14.4,11.2,8.5,3.7,15.4,3.8,38.1,3.8,109.6,31.2,5.2,7.6,11.2,46.1,44.2,68.4,28.0,10.0,41.8,6.2,25.0,8.2,24.0,43.5,17.2,234.1
2001,66.2,26.8,5.3,29.2,23.3,34.1,33.1,36.9,7.1,18.9,4.1,92.6,37.3,80.9,79.7,11.6,7.2,29.4,25.4,13.4,183.5,25.6,14.2,7.2,58.5,15.9,12.7,9.1,4.0,16.2,4.0,41.4,4.1,118.3,33.7,5.5,8.0,11.8,49.3,48.2,72.9,30.3,10.9,45.8,6.5,25.5,8.6,25.9,47.9,18.4,265.7
2002,69.6,28.5,5.6,31.9,24.8,36.6,35.7,39.3,7.6,20.7,4.2,99.3,40.5,87.4,85.9,12.5,7.8,32.4,27.7,14.6,197.9,28.1,15.5,7.9,64.2,16.7,14.0,9.4,4.3,17.3,4.2,43.7,4.3,129.6,36.3,5.9,8.6,12.7,51.8,50.9,80.8,33.0,12.0,50.4,7.1,27.3,9.4,27.6,53.6,19.3,290.5
2003,72.9,29.7,5.9,33.7,25.7,39.1,37.5,40.8,7.9,21.2,4.3,108.3,41.8,91.3,91.9,13.3,8.1,33.3,27.8,15.4,209.9,29.6,15.9,8.3,69.7,17.6,14.9,10.0,4.8,18.3,4.7,45.9,4.5,139.3,37.6,6.2,9.2,13.4,53.0,51.4,85.6,34.4,12.6,53.2,7.7,28.5,9.6,29.6,55.7,19.9,310.1
2004,77.3,31.3,6.2,36.1,26.8,41.9,38.4,42.5,8.4,20.9,4.5,115.3,41.5,97.0,94.2,14.1,8.4,34.4,28.0,16.4,218.7,30.6,16.7,8.9,74.3,18.4,16.1,10.0,5.1,19.4,4.8,47.8,4.7,144.7,39.4,6.9,10.0,14.1,56.7,57.4,89.4,35.6,12.2,54.3,8.2,31.1,9.9,28.9,58.5,20.6,325.1
2005,76.1,31.8,6.4,39.5,27.3,42.8,41.4,43.1,8.9,22.0,4.8,130.9,42.9,97.7,101.3,14.3,8.9,35.1,29.1,16.7,226.2,33.0,17.2,9.2,78.5,18.9,17.4,10.0,5.6,20.0,5.2,51.5,5.0,152.0,42.2,7.6,10.2,15.4,60.1,57.7,92.0,37.2,12.1,55.8,8.7,32.6,10.5,29.6,60.7,21.4,339.1
2006,76.3,33.7,6.9,42.8,29.9,44.3,44.2,45.3,9.3,23.9,4.9,140.8,44.5,101.2,104.1,15.3,10.1,37.1,30.6,17.9,237.9,34.2,18.5,9.5,84.7,20.2,18.8,10.8,6.0,22.1,5.4,55.8,5.2,161.0,44.1,8.3,10.7,16.2,63.2,60.5,97.5,39.5,12.4,56.5,9.0,35.3,11.0,31.4,64.3,23.0,359.7
2007,80.8,35.8,7.4,47.1,31.7,49.3,47.8,46.8,9.9,26.0,5.2,148.9,47.2,109.4,108.1,16.7,10.6,40.3,32.3,19.1,249.3,37.0,20.0,10.0,86.5,21.8,20.0,11.7,6.7,24.7,5.8,59.1,5.6,171.2,46.6,8.7,10.8,18.3,67.2,65.4,100.1,41.9,13.0,62.1,9.4,40.0,12.3,32.7,73.6,24.2,386.5
2008,83.8,37.9,8.1,52.4,34.6,49.6,51.3,49.3,10.8,27.4,5.6,158.7,50.9,115.9,113.3,17.6,13.0,42.8,34.6,20.2,261.7,39.7,22.2,10.5,91.7,23.6,21.5,12.9,7.5,25.2,6.1,63.3,5.9,190.6,48.9,9.1,11.2,19.6,72.0,68.2,102.8,44.8,13.6,66.5,10.0,46.9,13.4,35.2,77.7,25.8,409.3
2009,86.3,41.2,8.5,53.9,36.0,52.8,54.7,52.8,11.6,30.1,6.1,160.5,54.4,124.5,120.5,18.8,12.6,45.7,37.6,20.7,278.7,42.1,24.0,10.7,96.7,25.8,22.5,14.5,8.4,26.2,6.4,65.3,6.5,204.0,51.5,9.4,11.9,21.2,76.8,73.1,108.0,48.4,14.6,72.5,10.6,48.0,14.3,37.6,76.2,28.3,425.8
