Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,3.9,1.8,0.5,2.5,2.0,2.2,2.2,3.0,0.6,1.5,0.5,7.6,3.2,7.0,5.9,1.0,1.1,2.4,1.9,0.9,18.2,1.6,1.3,0.4,4.3,1.8,1.4,1.0,0.5,1.3,0.4,3.5,0.6,9.4,2.2,0.5,0.6,1.2,3.0,5.0,4.7,2.8,0.9,3.7,0.5,2.1,0.7,1.5,3.4,2.0,18.1
2001,4.4,1.8,0.6,2.4,2.2,2.1,2.5,3.3,0.7,1.7,0.5,8.8,3.4,8.1,6.5,0.9,1.3,3.0,1.9,1.1,18.6,1.6,1.3,0.5,4.9,1.6,1.5,1.1,0.5,1.2,0.4,4.0,0.6,9.8,2.4,0.5,0.7,1.1,3.3,5.0,4.8,2.9,1.3,4.0,0.5,1.9,0.7,1.5,3.6,1.9,19.9
2002,4.5,1.9,0.6,2.7,2.2,2.1,2.8,3.4,0.7,1.7,0.5,9.7,3.7,8.9,7.8,1.0,1.4,3.7,2.0,1.4,19.9,1.7,1.4,0.5,5.3,1.6,1.6,1.2,0.5,1.3,0.4,4.4,0.6,10.3,2.3,0.6,0.7,1.2,3.6,5.2,5.1,3.3,1.1,4.4,0.5,2.0,0.7,1.7,3.9,1.9,21.5
2003,4.5,1.7,0.6,3.0,2.3,2.1,2.5,3.5,0.7,1.4,0.5,8.9,3.7,9.2,7.0,1.1,1.5,3.5,1.9,1.4,23.4,1.6,1.3,0.5,5.1,1.6,1.8,1.2,0.6,1.4,0.4,3.9,0.6,10.8,2.4,0.6,0.6,1.1,3.6,4.4,5.0,3.4,1.0,3.8,0.5,1.9,0.8,1.5,3.9,1.8,19.1
2004,4.5,1.8,0.7,3.1,2.3,2.1,2.9,3.4,0.7,1.5,0.6,10.5,3.5,9.3,6.6,1.1,1.5,3.3,2.1,1.4,24.7,1.8,1.4,0.5,5.5,1.9,2.0,1.3,0.6,1.4,0.4,4.0,0.6,12.0,2.7,0.6,0.8,0.9,4.4,5.7,5.3,3.5,1.1,5.1,0.6,2.3,0.7,1.6,3.9,1.7,22.1
2005,4.7,2.0,0.7,3.1,1.9,2.3,3.3,3.6,0.7,1.6,0.6,11.5,3.3,9.5,9.0,1.1,1.6,3.2,2.4,1.2,24.2,1.9,1.3,0.5,5.5,1.8,2.2,1.4,0.6,1.4,0.4,4.4,0.7,13.4,2.7,0.7,0.8,1.1,4.4,4.8,5.5,3.3,1.1,5.8,0.6,2.3,0.8,1.6,5.2,1.9,22.5
2006,4.7,2.2,0.8,3.6,2.2,2.6,3.6,3.7,0.8,1.8,0.6,12.7,3.6,9.8,9.1,1.2,1.9,3.2,2.6,1.2,24.9,2.0,1.5,0.6,6.0,1.9,2.1,1.5,0.6,1.8,0.4,4.6,0.7,14.3,2.8,0.8,0.9,1.3,4.4,4.5,5.7,3.7,1.2,5.8,0.7,2.8,0.8,1.7,5.3,2.0,26.2
2007,4.9,2.4,0.8,4.1,2.7,2.7,3.9,3.7,0.8,2.1,0.7,13.6,3.7,11.7,9.6,1.1,1.9,3.5,2.9,1.3,25.3,1.7,1.7,0.6,5.7,1.7,2.3,1.6,0.7,2.0,0.5,4.9,0.8,15.3,3.0,0.6,0.8,1.5,4.5,4.9,5.9,3.6,1.1,6.6,0.7,2.8,1.0,1.7,8.0,2.0,26.3
2008,4.9,2.3,0.8,4.5,3.1,2.5,4.2,4.0,0.9,2.3,0.7,14.4,4.4,12.2,10.2,1.3,2.3,3.5,3.2,1.3,26.4,1.7,2.1,0.7,6.6,1.9,2.1,1.8,0.8,1.9,0.5,5.6,0.7,18.1,3.6,0.8,0.8,1.4,4.7,5.5,5.9,3.5,1.2,6.9,0.8,3.5,1.2,1.9,5.7,2.0,28.5
2009,5.3,2.9,0.9,4.6,2.5,3.2,4.4,4.1,1.0,2.4,0.8,14.2,4.1,13.0,11.4,1.4,2.3,3.9,3.2,1.4,30.9,1.7,2.6,0.6,6.6,2.0,2.4,2.1,0.8,1.8,0.6,5.5,0.8,15.3,3.7,0.8,0.9,1.6,4.4,5.4,6.1,3.8,1.4,7.3,0.8,4.2,1.3,2.1,5.2,2.3,29.3
2010,4.9,2.6,1.0,4.1,2.6,2.9,4.6,4.3,1.1,2.4,0.9,13.4,4.4,13.2,11.7,1.4,2.6,4.0,3.3,1.4,32.5,2.0,2.9,0.6,6.9,1.8,3.1,2.0,0.9,1.9,0.6,5.1,0.9,15.4,3.2,0.8,0.9,1.5,4.4,5.3,6.0,3.9,1.3,7.3,0.8,3.6,1.4,2.3,5.2,2.5,31.5
2011,4.5,2.6,1.0,3.8,2.5,3.1,4.4,4.4,1.1,2.6,1.0,12.6,4.2,11.8,12.1,1.3,2.8,3.8,3.1,1.5,32.8,1.9,2.8,0.8,6.7,1.9,2.7,2.0,0.8,1.9,0.7,5.8,1.0,15.9,3.2,0.8,1.1,1.4,4.8,5.5,6.2,3.9,1.4,7.0,0.8,3.8,1.3,2.3,4.7,2.3,29.8
2012,4.4,2.6,1.2,3.6,2.8,3.1,6.7,4.4,1.0,2.5,1.4,12.1,4.2,12.2,11.7,1.4,2.8,3.5,3.1,1.6,32.2,2.0,2.7,0.6,6.6,1.9,2.7,1.8,0.8,1.9,0.7,6.5,1.0,16.0,3.2,0.9,1.0,1.3,4.9,5.7,6.6,3.7,1.4,7.5,0.8,3.6,1.6,2.5,4.9,2.6,31.9
2013,4.5,2.7,1.0,3.6,2.9,3.1,4.4,4.5,1.0,2.4,1.4,12.2,4.6,12.7,11.7,1.4,3.1,4.6,3.1,1.7,31.9,1.7,2.0,0.6,7.2,1.9,2.1,1.8,0.7,1.8,0.8,5.7,1.0,17.2,3.0,0.9,1.0,1.3,5.0,5.8,6.5,3.4,1.3,7.3,0.9,3.4,1.6,2.6,5.1,2.4,36.0
2014,4.5,2.6,1.1,3.2,3.1,3.0,5.0,4.7,0.9,2.6,1.8,13.6,5.6,13.2,11.2,1.4,3.4,4.8,3.0,1.8,32.1,2.0,1.7,0.7,7.1,1.9,1.8,1.9,0.7,1.7,0.8,5.9,1.0,18.8,2.7,0.8,0.9,1.3,5.2,6.3,6.6,3.1,1.3,7.4,0.8,3.0,1.7,2.3,5.2,2.6,35.1
2015,4.6,2.5,1.2,3.1,3.2,2.8,5.4,4.9,0.9,2.7,1.9,14.8,6.1,13.6,11.0,1.4,3.8,5.1,2.9,1.9,32.5,2.2,1.6,0.7,7.4,1.9,1.7,2.0,0.7,1.6,0.8,6.0,0.9,20.0,2.6,0.8,0.9,1.2,5.4,6.7,6.8,3.0,1.3,7.4,0.7,2.8,1.8,2.2,5.3,2.8,35.2
