Date,MT,GA,LA,IN,MS,PA,WV,CT,SD,VT,MI,TN,WA,MO,OR,ID,MA,NV,TX,IA,ND,CO,NJ,NM,OK,MN,AL,WI,NE,SC,ME,AR,DC,HI,RI,OH,MD,WY,NH,NY,DE,AK,FL,VA,AZ,KY,NC,CA,IL,UT,KS
1976-01-01,326965.0,2241750.0,1506733.0,2412013.0,955351.0,5096696.0,704529.0,1437496.0,308779.0,212415.0,3938109.0,1802927.0,1574928.0,2073168.0,1071317.0,363021.0,2711315.0,319009.0,5576299.0,1318634.0,274110.0,1232836.0,3263434.0,471670.0,1178442.0,1825987.0,1492841.0,2117444.0,714988.0,1294369.0,474959.0,880753.0,341348.0,407485.0,433990.0,4756259.0,1902754.0,173969.0,388884.0,7684635.0,261811.0,156766.0,3587146.0,2323431.0,965498.0,1488244.0,2591225.0,9734627.0,5126946.0,516370.0,1056232.0
1976-02-01,327028.0,2244989.0,1509283.0,2414026.0,957642.0,5102370.0,703897.0,1439941.0,308795.0,212959.0,3947776.0,1808922.0,1577986.0,2079844.0,1071618.0,364301.0,2713547.0,320436.0,5599820.0,1321211.0,274743.0,1232017.0,3271875.0,473222.0,1179172.0,1828387.0,1491228.0,2120231.0,715110.0,1292814.0,475304.0,880959.0,340549.0,408354.0,434454.0,4756653.0,1903063.0,174747.0,389963.0,7685144.0,262134.0,157769.0,3588685.0,2325275.0,967875.0,1488084.0,2593218.0,9750327.0,5127924.0,517481.0,1058173.0
1976-03-01,327126.0,2249498.0,1512905.0,2417453.0,960457.0,5109349.0,702969.0,1443470.0,308825.0,213647.0,3959220.0,1817285.0,1582698.0,2088504.0,1072704.0,365939.0,2715972.0,322238.0,5628251.0,1324421.0,275558.0,1231451.0,3282161.0,475046.0,1180361.0,1831729.0,1490111.0,2124097.0,715409.0,1291678.0,475736.0,881774.0,339519.0,409272.0,435047.0,4757060.0,1904121.0,175749.0,391401.0,7687905.0,262578.0,159057.0,3591034.0,2328197.0,971212.0,1488452.0,2596417.0,9773412.0,5131012.0,519051.0,1060804.0
1976-04-01,327255.0,2254806.0,1517270.0,2421569.0,963604.0,5116342.0,701800.0,1447888.0,308840.0,214432.0,3971548.0,1827389.0,1588598.0,2098492.0,1074497.0,367820.0,2718273.0,324271.0,5658848.0,1328017.0,276497.0,1231012.0,3292961.0,476938.0,1181826.0,1835811.0,1489832.0,2128682.0,715882.0,1290968.0,476176.0,883135.0,338321.0,410058.0,435638.0,4756345.0,1906012.0,176901.0,393046.0,7693233.0,263111.0,160511.0,3593693.0,2331464.0,975102.0,1489381.0,2600143.0,9801872.0,5135315.0,520979.0,1063812.0
1976-05-01,327415.0,2260891.0,1522541.0,2426841.0,966904.0,5122911.0,700262.0,1453239.0,308860.0,215274.0,3983987.0,1839204.0,1595955.0,2109676.0,1077254.0,369868.0,2720252.0,326448.0,5689513.0,1331926.0,277522.0,1231082.0,3303271.0,478749.0,1183624.0,1840699.0,1490813.0,2134109.0,716569.0,1291079.0,476568.0,885207.0,336976.0,410604.0,436157.0,4754402.0,1908972.0,178142.0,394878.0,7702071.0,263714.0,162118.0,3596954.0,2335198.0,979450.0,1491022.0,2604676.0,9835843.0,5141494.0,523259.0,1067097.0
1976-06-01,327782.0,2267756.0,1528357.0,2433608.0,970097.0,5128188.0,698140.0,1458818.0,308989.0,216108.0,3995511.0,1852360.0,1605609.0,2121388.0,1081495.0,372016.0,2721845.0,328613.0,5716864.0,1335924.0,278573.0,1232248.0,3311921.0,480555.0,1185585.0,1846546.0,1493479.0,2140273.0,717561.0,1292128.0,476858.0,888021.0,335509.0,410796.0,436596.0,4751568.0,1912916.0,179383.0,396844.0,7711288.0,264363.0,163806.0,3600471.0,2339103.0,983915.0,1493024.0,2609671.0,9873969.0,5148231.0,525824.0,1070401.0
1976-07-01,328642.0,2275497.0,1533652.0,2440950.0,972912.0,5131797.0,695632.0,1463505.0,309319.0,216870.0,4005026.0,1865898.0,1618156.0,2132711.0,1087539.0,374184.0,2723144.0,330557.0,5738224.0,1339854.0,279569.0,1235390.0,3318449.0,482466.0,1187468.0,1853358.0,1497891.0,2146686.0,718922.0,1294043.0,477097.0,891366.0,334062.0,410574.0,436997.0,4748963.0,1917227.0,180557.0,398793.0,7716469.0,265020.0,165363.0,3603741.0,2342846.0,988260.0,1495031.0,2614475.0,9913895.0,5154686.0,528493.0,1073460.0
1976-08-01,330100.0,2283625.0,1537334.0,2446807.0,975108.0,5134421.0,693152.0,1466273.0,309863.0,217546.0,4012159.0,1878081.0,1632486.0,2142697.0,1094817.0,376312.0,2724365.0,332200.0,5753753.0,1343775.0,280426.0,1240489.0,3323250.0,484638.0,1189290.0,1860574.0,1503037.0,2152457.0,720633.0,1296323.0,477360.0,894856.0,332791.0,410190.0,437446.0,4747700.0,1920949.0,181659.0,400595.0,7713828.0,265635.0,166556.0,3606465.0,2345976.0,992671.0,1496434.0,2618476.0,9952599.0,5159523.0,531013.0,1076275.0
1976-09-01,332014.0,2291612.0,1539146.0,2450295.0,976780.0,5137638.0,691680.0,1467046.0,310600.0,218190.0,4017887.0,1887726.0,1646594.0,2150726.0,1102366.0,378361.0,2725733.0,333607.0,5766866.0,1347814.0,281108.0,1246973.0,3327763.0,487204.0,1191156.0,1867547.0,1507970.0,2156774.0,722593.0,1298552.0,477726.0,898254.0,331739.0,410047.0,438075.0,4749766.0,1924353.0,182746.0,402267.0,7703649.0,266222.0,167344.0,3608515.0,2348744.0,997133.0,1497307.0,2621013.0,9988141.0,5161792.0,533230.0,1078972.0
1976-10-01,334198.0,2299183.0,1539672.0,2451446.0,978121.0,5143190.0,692217.0,1466627.0,311488.0,218880.0,4023604.0,1894838.0,1658918.0,2156710.0,1109783.0,380319.0,2727282.0,334964.0,5780808.0,1352030.0,281665.0,1254142.0,3333295.0,490180.0,1193548.0,1874106.0,1512978.0,2159731.0,724752.0,1300900.0,478282.0,901719.0,330925.0,410370.0,438971.0,4756469.0,1928597.0,183869.0,403886.0,7689521.0,266879.0,167791.0,3610242.0,2351996.0,1001611.0,1498642.0,2622069.0,10021501.0,5162446.0,535247.0,1081772.0
1976-11-01,336369.0,2306062.0,1540273.0,2450793.0,979429.0,5151844.0,694832.0,1466151.0,312452.0,219672.0,4030249.0,1900586.0,1668191.0,2161127.0,1116673.0,382227.0,2729260.0,336522.0,5798108.0,1356337.0,282198.0,1261327.0,3340697.0,493412.0,1196784.0,1880209.0,1518788.0,2162140.0,727054.0,1303774.0,479035.0,905381.0,330408.0,411170.0,440108.0,4766894.0,1933944.0,185044.0,405555.0,7676647.0,267689.0,168090.0,3612920.0,2356380.0,1006084.0,1501513.0,2622806.0,10055284.0,5164119.0,537069.0,1084760.0
1976-12-01,338300.0,2311541.0,1542491.0,2449759.0,980971.0,5162285.0,698826.0,1466575.0,313335.0,220593.0,4038017.0,1906139.0,1674028.0,2165093.0,1122886.0,384111.0,2732104.0,338350.0,5818978.0,1360708.0,282791.0,1268076.0,3349410.0,496656.0,1201190.0,1885966.0,1525952.0,2164567.0,729344.0,1307156.0,479861.0,909164.0,330225.0,412316.0,441337.0,4778774.0,1940055.0,186271.0,407356.0,7670626.0,268691.0,168501.0,3618369.0,2362087.0,1010542.0,1506406.0,2624337.0,10091516.0,5169599.0,538744.0,1087931.0
1977-01-01,340043.0,2315742.0,1547673.0,2450711.0,982993.0,5173036.0,703074.0,1468451.0,314065.0,221634.0,4047360.0,1912594.0,1677180.0,2170549.0,1128658.0,385918.0,2736381.0,340437.0,5842321.0,1365041.0,283476.0,1274222.0,3359028.0,499725.0,1206943.0,1891765.0,1534729.0,2167849.0,731543.0,1311116.0,480645.0,912908.0,330341.0,413630.0,442392.0,4790628.0,1946560.0,187549.0,409321.0,7675476.0,269867.0,169162.0,3628382.0,2369272.0,1015284.0,1513056.0,2628609.0,10132560.0,5182010.0,540344.0,1091252.0
1977-02-01,341575.0,2318687.0,1555905.0,2454855.0,985416.0,5182576.0,706499.0,1471424.0,314729.0,222727.0,4057608.0,1919722.0,1678689.0,2178408.0,1134103.0,387647.0,2741966.0,342645.0,5865186.0,1369015.0,284227.0,1279617.0,3368672.0,502621.0,1213505.0,1897583.0,1544517.0,2171956.0,733604.0,1315276.0,481282.0,916446.0,330583.0,414924.0,443206.0,4800905.0,1952459.0,188847.0,411321.0,7687406.0,271097.0,170043.0,3642331.0,2377427.0,1020400.0,1520245.0,2636406.0,10177492.0,5201044.0,541764.0,1094565.0
1977-03-01,342962.0,2320218.0,1566034.0,2461498.0,987865.0,5188784.0,708444.0,1474538.0,315364.0,223789.0,4067746.0,1926745.0,1679522.0,2188270.0,1139269.0,389405.0,2748185.0,344741.0,5884800.0,1372392.0,284952.0,1283861.0,3376243.0,505452.0,1219882.0,1903322.0,1554229.0,2175995.0,735456.0,1318870.0,481673.0,919619.0,330704.0,415936.0,443843.0,4808296.0,1956707.0,190137.0,413129.0,7700310.0,272201.0,170941.0,3658058.0,2384929.0,1025670.0,1526346.0,2647024.0,10223165.0,5223319.0,542843.0,1097623.0
1977-04-01,344531.0,2320948.0,1576864.0,2469547.0,990147.0,5191550.0,709035.0,1477248.0,316002.0,224822.0,4078118.0,1932952.0,1680756.0,2199378.0,1144259.0,391350.0,2754478.0,346569.0,5900957.0,1375204.0,285597.0,1286766.0,3380873.0,508203.0,1225548.0,1908724.0,1562856.0,2179687.0,737131.0,1321659.0,481750.0,922545.0,330566.0,416458.0,444401.0,4813192.0,1959109.0,191442.0,414704.0,7711291.0,273024.0,171587.0,3673953.0,2390762.0,1031220.0,1530506.0,2659581.0,10267983.0,5245701.0,543589.0,1100358.0
1977-05-01,346397.0,2321690.0,1587285.0,2477623.0,992115.0,5192506.0,708972.0,1479607.0,316656.0,225909.0,4089060.0,1937661.0,1683024.0,2210574.0,1149122.0,393617.0,2760070.0,348071.0,5915879.0,1377888.0,286190.0,1288574.0,3382695.0,510799.0,1230374.0,1913438.0,1569381.0,2182895.0,738740.0,1323760.0,481466.0,925420.0,330170.0,416573.0,445025.0,4817320.0,1960596.0,192802.0,416129.0,7719274.0,273481.0,171925.0,3689216.0,2395095.0,1037024.0,1532849.0,2672952.0,10311347.0,5266054.0,544135.0,1102824.0
1977-06-01,348362.0,2323727.0,1596646.0,2485142.0,993816.0,5194402.0,709372.0,1482147.0,317353.0,227137.0,4101223.0,1940628.0,1686746.0,2220809.0,1153893.0,396192.0,2764399.0,349350.0,5932547.0,1381032.0,286790.0,1289993.0,3382681.0,513201.0,1234507.0,1917213.0,1573608.0,2185554.0,740445.0,1325673.0,480865.0,928491.0,329621.0,416525.0,445776.0,4822975.0,1962909.0,194193.0,417494.0,7725037.0,273600.0,172106.0,3704530.0,2399144.0,1042710.0,1534363.0,2686217.0,10354032.0,5283676.0,544722.0,1105045.0
1977-07-01,350242.0,2327810.0,1605121.0,2492508.0,995643.0,5199091.0,710792.0,1485305.0,318072.0,228549.0,4114973.0,1942835.0,1691943.0,2229337.0,1158779.0,398978.0,2767567.0,350607.0,5952748.0,1384892.0,287438.0,1291722.0,3382704.0,515426.0,1238274.0,1920007.0,1576013.0,2187990.0,742264.0,1327786.0,480053.0,932020.0,329145.0,416620.0,446701.0,4831933.0,1967770.0,195577.0,418971.0,7730995.0,273515.0,172348.0,3721560.0,2404401.0,1047980.0,1536211.0,2698770.0,10397594.0,5298376.0,545554.0,1107160.0
1977-08-01,351932.0,2334134.0,1613432.0,2500638.0,998023.0,5206739.0,713023.0,1489165.0,318753.0,230098.0,4129874.0,1945822.0,1698925.0,2236201.0,1163873.0,401766.0,2770296.0,352062.0,5976839.0,1389398.0,288167.0,1294699.0,3384564.0,517475.0,1241810.0,1922271.0,1577895.0,2191126.0,744111.0,1330327.0,479197.0,935744.0,329013.0,416973.0,447713.0,4843734.0,1975565.0,196908.0,420608.0,7739871.0,273371.0,172951.0,3742097.0,2411883.0,1052234.0,1539557.0,2710744.0,10443125.0,5312275.0,546665.0,1109229.0
1977-09-01,353388.0,2341673.0,1622003.0,2509558.0,1000844.0,5215742.0,715092.0,1493119.0,319325.0,231636.0,4144152.0,1949907.0,1707624.0,2241951.0,1169013.0,404278.0,2773374.0,353848.0,6003107.0,1394187.0,288954.0,1299014.0,3388617.0,519292.0,1245307.0,1924539.0,1580076.0,2195442.0,745811.0,1332961.0,478468.0,938997.0,329418.0,417456.0,448519.0,4855053.0,1984588.0,198165.0,422221.0,7751559.0,273272.0,174019.0,3766568.0,2421263.0,1055291.0,1544540.0,2722176.0,10490013.0,5327589.0,547915.0,1111282.0
1977-10-01,354700.0,2348784.0,1630774.0,2518483.0,1003622.0,5223256.0,715680.0,1496020.0,319777.0,233022.0,4155237.0,1954296.0,1717504.0,2246648.0,1173860.0,406305.0,2776998.0,355937.0,6028988.0,1398748.0,289692.0,1303807.0,3393262.0,520888.0,1248658.0,1927150.0,1582552.0,2200777.0,747338.0,1335157.0,477939.0,941093.0,330318.0,417926.0,448836.0,4862651.0,1992931.0,199388.0,423620.0,7763441.0,273253.0,175458.0,3793221.0,2430879.0,1057077.0,1550036.0,2732059.0,10536475.0,5343369.0,549085.0,1113423.0
1977-11-01,356025.0,2354680.0,1639288.0,2527321.0,1005871.0,5228548.0,714976.0,1497330.0,320191.0,234160.0,4162332.0,1958182.0,1728045.0,2250453.0,1178415.0,407812.0,2780883.0,358158.0,6052701.0,1402701.0,290285.0,1308588.0,3397113.0,522410.0,1251714.0,1930343.0,1585449.0,2206645.0,748735.0,1336750.0,477625.0,941950.0,331470.0,418192.0,448653.0,4866677.0,1999893.0,200617.0,424734.0,7773229.0,273335.0,177035.0,3819312.0,2439629.0,1057607.0,1555266.0,2739111.0,10582224.0,5358003.0,550136.0,1115720.0
1977-12-01,357481.0,2359540.0,1646890.0,2535639.0,1007109.0,5232751.0,713996.0,1497227.0,320650.0,235044.0,4166238.0,1960945.0,1738910.0,2253061.0,1182797.0,408948.0,2784538.0,360365.0,6073692.0,1405820.0,290695.0,1312829.0,3399575.0,524028.0,1254490.0,1934229.0,1588568.0,2212784.0,749952.0,1337891.0,477484.0,941903.0,332596.0,418105.0,448213.0,4869073.0,2005340.0,201856.0,425610.0,7779588.0,273518.0,178467.0,3842310.0,2446970.0,1057371.0,1559910.0,2743023.0,10627728.0,5370253.0,551239.0,1118230.0
1978-01-01,359022.0,2364397.0,1653220.0,2543237.0,1007360.0,5238223.0,714002.0,1496804.0,321224.0,235758.0,4169116.0,1962803.0,1749990.0,2254369.0,1187160.0,410017.0,2788033.0,362450.0,6092932.0,1408399.0,290995.0,1316885.0,3401988.0,525846.0,1257295.0,1938496.0,1591992.0,2218972.0,750897.0,1338945.0,477491.0,941704.0,333488.0,417638.0,447905.0,4872956.0,2009705.0,203103.0,426449.0,7783902.0,273820.0,179597.0,3862173.0,2453738.0,1057333.0,1564042.0,2744579.0,10675089.0,5380207.0,552611.0,1121103.0
