,MA: VALUE,ND: VALUE,DC: VALUE,NM: VALUE,SC: VALUE,AK: VALUE,NJ: VALUE,PA: VALUE,TX: VALUE,MO: VALUE,ID: VALUE,UT: VALUE,GA: VALUE,FL: VALUE,AZ: VALUE,ME: VALUE,RI: VALUE,DE: VALUE,CO: VALUE,IN: VALUE,VA: VALUE,WA: VALUE,MD: VALUE,WY: VALUE,VT: VALUE,NC: VALUE,MT: VALUE,AR: VALUE,MI: VALUE,HI: VALUE,NE: VALUE,NH: VALUE,OH: VALUE,LA: VALUE,IL: VALUE,CA: VALUE,OR: VALUE,CT: VALUE,KY: VALUE,MS: VALUE,AL: VALUE,OK: VALUE,MN: VALUE,WI: VALUE,SD: VALUE,WV: VALUE,NY: VALUE,TN: VALUE,KS: VALUE,NV: VALUE,IA: VALUE
1990,2918.1,268.5,681.3,582.7,1519.8,241.4,3552.4,5136.8,7162.1,2340.7,391.4,739.3,3008.3,5335.6,1484.5,521.8,446.6,342.2,1532.6,2514.1,2872.1,2160.3,2152.9,201.1,253.2,3103.9,299.8,929.9,3914.0,536.3,737.3,493.8,4863.9,1596.3,5270.0,12535.7,1257.9,1589.6,1463.1,941.0,1639.1,1216.5,2141.7,2299.2,292.3,629.8,8085.3,2184.3,1096.6,628.4,1233.6
1991,2796.3,272.8,674.2,589.4,1497.3,245.5,3470.8,5070.8,7211.4,2319.4,403.1,755.3,2979.7,5263.1,1500.5,507.6,416.2,339.7,1563.4,2516.1,2829.7,2198.9,2088.6,203.9,249.7,3092.4,310.5,947.4,3892.7,542.4,742.8,482.5,4817.2,1613.7,5204.1,12307.0,1258.8,1539.2,1479.4,947.8,1650.1,1229.1,2158.3,2315.8,299.7,630.9,7776.5,2199.3,1105.4,629.0,1242.3
1992,2806.5,280.8,670.8,610.5,1524.1,247.4,3465.6,5079.5,7350.5,2347.9,421.5,785.4,3069.0,5420.0,1531.6,514.1,425.5,343.4,1622.4,2580.5,2875.9,2245.3,2086.9,206.9,253.4,3184.3,320.3,974.6,3944.4,542.0,757.5,492.1,4861.3,1635.5,5273.3,12112.6,1286.4,1522.9,1510.1,977.0,1693.8,1245.0,2222.7,2381.5,311.3,647.0,7696.1,2289.1,1122.3,648.3,1260.6
1993,2874.1,288.0,666.6,642.2,1574.9,255.2,3516.3,5155.0,7588.6,2433.3,444.7,835.1,3221.2,5640.4,1632.7,524.9,432.9,351.8,1704.5,2672.2,2958.1,2289.6,2125.0,214.0,260.0,3300.0,330.7,1011.7,4055.9,535.3,782.0,509.6,4976.6,1685.0,5397.3,12101.3,1343.4,1536.8,1557.0,1032.8,1734.1,1273.5,2285.3,2441.8,323.3,665.5,7784.2,2371.5,1144.5,702.7,1294.1
1994,2949.9,299.7,650.8,674.2,1610.1,259.3,3587.3,5238.7,7914.3,2509.0,467.4,885.2,3379.9,5869.8,1744.0,538.3,435.7,362.6,1796.5,2759.4,3046.1,2348.5,2170.4,219.7,268.3,3408.0,346.6,1052.0,4205.4,537.5,812.1,532.7,5157.8,1750.5,5515.2,12326.1,1399.9,1555.2,1617.2,1070.5,1783.6,1310.6,2350.1,2530.3,335.9,684.2,7866.4,2471.4,1184.3,762.9,1338.7
1995,3012.3,303.5,635.4,687.7,1652.4,260.9,3606.4,5271.6,8142.6,2545.3,481.3,932.3,3487.2,6065.7,1833.8,535.6,439.0,369.6,1867.2,2807.4,3093.1,2380.7,2194.6,220.3,272.5,3495.5,355.8,1080.9,4319.0,529.8,828.1,548.1,5260.4,1783.9,5634.3,12612.0,1456.7,1568.4,1645.6,1080.8,1818.4,1349.1,2416.4,2570.5,345.4,694.7,7886.6,2532.7,1214.6,808.6,1374.2
1996,3077.5,310.2,618.6,702.0,1688.0,263.0,3670.2,5360.8,8398.7,2598.5,496.1,974.8,3590.7,6256.8,1932.4,547.7,445.6,380.1,1932.5,2837.7,3186.3,2480.6,2235.3,221.3,277.1,3592.1,364.6,1091.4,4394.9,532.3,846.0,560.1,5328.3,1824.3,5723.2,12958.4,1510.7,1600.1,1678.4,1097.8,1845.8,1383.3,2465.6,2620.4,347.6,704.0,7983.4,2554.2,1248.4,870.0,1393.7
1997,3155.1,319.0,616.4,717.9,1745.8,269.7,3761.3,5464.9,8769.5,2664.7,513.0,1008.6,3709.9,6497.5,2037.1,562.2,454.8,394.9,2021.3,2882.1,3274.0,2589.0,2299.5,227.1,283.1,3708.3,372.3,1116.0,4468.0,530.2,869.1,578.7,5436.2,1876.1,5827.3,13396.2,1554.4,1624.9,1718.0,1126.8,1881.7,1432.1,2538.3,2691.2,355.8,717.0,8145.6,2615.5,1289.2,909.6,1424.6
1998,3214.3,320.9,612.4,723.3,1802.8,277.0,3838.2,5538.5,9081.1,2708.9,529.1,1033.8,3825.0,6715.1,2110.5,578.0,461.1,405.6,2090.9,2952.4,3372.4,2655.5,2354.4,230.2,286.3,3805.5,380.6,1129.2,4540.1,531.0,892.7,596.8,5517.1,1892.1,5943.4,13892.1,1569.5,1658.1,1758.7,1147.1,1906.6,1470.3,2590.4,2751.0,364.1,727.9,8307.2,2668.7,1326.6,953.1,1459.1
1999,3285.0,326.8,640.8,735.1,1851.9,281.3,3944.6,5633.8,9279.0,2752.9,547.7,1061.8,3947.4,6910.7,2201.8,592.7,472.1,420.2,2161.8,3006.9,3463.7,2716.4,2427.1,236.6,294.8,3891.0,387.3,1156.2,4631.0,541.6,905.9,612.6,5619.7,1905.6,6001.2,14315.7,1604.3,1679.2,1804.4,1158.8,1930.1,1484.6,2652.6,2810.8,375.6,734.2,8530.2,2717.4,1339.0,1007.3,1475.5
2000,3380.8,328.1,662.7,754.1,1849.5,285.5,4023.8,5714.1,9534.3,2744.3,565.8,1086.6,4000.6,7145.6,2273.8,608.0,481.6,421.8,2249.9,2975.0,3562.2,2770.0,2483.7,241.6,302.1,3919.3,390.8,1156.0,4663.8,558.1,914.4,629.3,5613.4,1920.6,6041.7,14798.6,1630.2,1696.9,1817.5,1147.2,1930.4,1516.9,2703.3,2831.3,377.5,741.1,8684.5,2730.3,1349.6,1046.6,1476.4
2001,3296.7,329.4,656.1,757.6,1791.8,288.2,3989.5,5643.8,9425.2,2709.8,563.3,1071.1,3924.4,7115.9,2246.7,603.3,477.1,416.3,2189.4,2901.8,3492.9,2698.9,2475.1,247.6,299.4,3836.1,391.3,1144.2,4491.8,546.2,917.1,619.7,5473.5,1902.1,5912.3,14569.2,1582.2,1675.3,1773.6,1123.1,1895.6,1511.3,2667.6,2776.8,376.8,738.8,8448.8,2655.3,1342.1,1038.8,1450.8
2002,3246.9,331.7,668.0,771.0,1797.3,297.7,3971.7,5620.0,9397.5,2701.2,573.0,1072.2,3894.6,7200.0,2278.3,606.2,481.4,415.5,2175.6,2910.5,3498.4,2696.6,2477.3,248.4,297.7,3813.7,399.8,1145.4,4468.6,564.3,910.6,616.7,5422.1,1894.8,5859.9,14603.0,1581.8,1653.0,1777.3,1121.2,1883.1,1486.7,2662.4,2780.4,378.6,734.5,8434.0,2670.4,1326.1,1067.6,1444.9
2003,3195.4,334.5,666.8,781.8,1801.7,299.9,3983.5,5620.4,9390.2,2681.0,576.4,1084.4,3883.2,7294.0,2329.6,610.0,486.8,419.7,2155.5,2911.6,3527.3,2713.9,2495.5,252.6,301.4,3788.8,403.7,1151.4,4403.7,572.9,915.1,622.1,5389.9,1911.6,5796.0,14589.0,1582.4,1640.8,1780.9,1120.6,1880.7,1471.1,2658.1,2777.7,379.6,734.5,8397.7,2674.8,1311.4,1114.6,1447.4
2004,3218.0,340.7,677.2,799.9,1846.9,306.5,4020.4,5675.3,9581.2,2710.3,597.8,1122.4,3964.0,7623.3,2443.2,611.7,489.3,428.8,2199.6,2946.5,3631.0,2772.7,2536.1,258.2,303.7,3875.8,415.6,1167.3,4403.2,592.6,926.9,630.8,5417.5,1925.0,5847.1,14861.0,1629.6,1656.1,1801.0,1129.0,1921.3,1502.5,2700.0,2816.9,385.5,745.2,8486.3,2729.2,1333.8,1185.5,1466.2
2005,3244.8,347.4,687.2,818.9,1873.1,310.1,4050.3,5716.9,9886.7,2751.3,624.1,1171.6,4072.3,7898.5,2572.6,612.7,490.3,437.8,2251.4,2972.9,3699.3,2857.1,2571.9,269.2,306.9,3949.3,425.6,1188.4,4375.6,609.9,938.0,641.3,5435.2,1802.2,5888.4,15215.8,1679.0,1667.3,1822.5,1127.2,1968.1,1548.5,2746.8,2849.7,393.7,756.4,8554.3,2760.7,1340.7,1252.9,1487.8
2006,3286.8,356.0,690.7,838.4,1932.8,315.2,4079.8,5781.6,10212.0,2793.7,646.2,1228.2,4143.8,8033.7,2663.8,616.4,495.7,440.2,2303.7,2988.3,3748.0,2924.6,2600.6,283.6,308.1,4102.8,438.0,1200.0,4293.9,623.5,951.5,646.4,5426.9,1887.5,5950.8,15388.9,1720.9,1690.7,1847.7,1152.2,1989.1,1579.7,2762.9,2865.4,402.6,764.2,8667.0,2789.0,1368.7,1287.5,1513.6
2007,3318.4,362.0,700.1,849.1,1949.2,318.0,4083.6,5811.5,10528.5,2802.4,656.5,1265.2,4170.3,7931.8,2679.4,620.7,487.8,440.6,2350.5,2993.1,3777.0,2997.7,2611.9,294.1,308.5,4167.8,446.5,1207.6,4245.4,628.0,967.7,650.4,5419.6,1935.5,5985.2,15472.5,1737.5,1705.3,1857.8,1160.3,2014.9,1606.3,2771.3,2877.6,408.3,766.4,8768.3,2805.5,1386.8,1291.9,1524.9
2008,3283.7,368.1,702.8,836.6,1882.1,322.9,3974.4,5740.4,10579.8,2756.4,631.6,1230.9,4029.9,7486.7,2540.3,608.6,471.8,428.5,2318.7,2896.2,3733.1,2949.6,2567.7,297.1,303.3,4049.2,439.3,1188.2,4055.2,605.3,966.1,641.8,5255.5,1941.2,5851.3,14970.4,1671.6,1672.9,1805.3,1128.5,1953.8,1616.1,2728.3,2834.7,410.7,765.6,8699.2,2715.1,1384.5,1212.8,1511.0
