DATE,VALUE in MO,VALUE in TX,VALUE in WA,VALUE in HI,VALUE in IA,VALUE in AK,VALUE in ID,VALUE in AL,VALUE in VT,VALUE in TN,VALUE in NH,VALUE in NV,VALUE in CA,VALUE in UT,VALUE in NE,VALUE in OK,VALUE in NC,VALUE in MI,VALUE in SC,VALUE in KY,VALUE in MA,VALUE in CO,VALUE in NM,VALUE in FL,VALUE in GA,VALUE in IN,VALUE in WI,VALUE in AZ,VALUE in ME,VALUE in OR,VALUE in VA,VALUE in NJ,VALUE in WV,VALUE in MT,VALUE in ND,VALUE in DE,VALUE in CT,VALUE in OH,VALUE in SD,VALUE in KS,VALUE in MN,VALUE in PA,VALUE in RI,VALUE in MD,VALUE in WY,VALUE in AR,VALUE in LA,VALUE in DC,VALUE in MS,VALUE in IL,VALUE in NY
1900-01-01,3108.0,3055.0,523.0,,2231.0,,163.0,1830.0,344.0,2023.0,412.0,43.0,1490.0,277.0,1067.0,800.0,1897.0,2423.0,1342.0,2148.0,2788.0,543.0,196.0,530.0,2220.0,2518.0,2072.0,124.0,695.0,415.0,1858.0,1884.0,959.0,245.0,321.0,185.0,910.0,4161.0,403.0,1473.0,1754.0,6313.0,430.0,1189.0,93.0,1314.0,1384.0,278.0,1553.0,4828.0,7283.0
1901-01-01,3128.0,3132.0,583.0,,2227.0,,176.0,1907.0,347.0,2041.0,412.0,45.0,1550.0,284.0,1078.0,916.0,1926.0,2450.0,1361.0,2162.0,2794.0,581.0,206.0,544.0,2263.0,2541.0,2109.0,131.0,699.0,434.0,1887.0,1889.0,972.0,261.0,346.0,187.0,931.0,4216.0,418.0,1490.0,1805.0,6439.0,441.0,1200.0,100.0,1341.0,1412.0,285.0,1578.0,4914.0,7449.0
1902-01-01,3147.0,3210.0,651.0,,2222.0,,199.0,1935.0,349.0,2060.0,409.0,49.0,1623.0,292.0,1089.0,1027.0,1956.0,2477.0,1379.0,2177.0,2856.0,621.0,218.0,565.0,2305.0,2567.0,2141.0,138.0,703.0,454.0,1894.0,1917.0,1000.0,270.0,371.0,188.0,952.0,4322.0,431.0,1505.0,1862.0,6567.0,450.0,1210.0,105.0,1360.0,1440.0,290.0,1603.0,4992.0,7612.0
1903-01-01,3166.0,3291.0,719.0,,2217.0,,216.0,1957.0,350.0,2082.0,394.0,52.0,1702.0,299.0,1104.0,1118.0,1986.0,2505.0,1397.0,2191.0,2924.0,652.0,229.0,587.0,2346.0,2594.0,2171.0,144.0,709.0,479.0,1890.0,1969.0,1037.0,282.0,396.0,190.0,972.0,4386.0,437.0,1498.0,1901.0,6699.0,460.0,1209.0,108.0,1384.0,1467.0,295.0,1628.0,5071.0,7771.0
1904-01-01,3185.0,3374.0,782.0,,2212.0,,229.0,1978.0,353.0,2086.0,407.0,56.0,1792.0,308.0,1119.0,1200.0,2017.0,2534.0,1415.0,2205.0,2969.0,659.0,242.0,599.0,2387.0,2614.0,2202.0,151.0,719.0,504.0,1889.0,2050.0,1064.0,293.0,421.0,192.0,987.0,4458.0,452.0,1527.0,1945.0,6833.0,471.0,1217.0,111.0,1419.0,1495.0,302.0,1653.0,5161.0,7927.0
1905-01-01,3204.0,3459.0,842.0,,2211.0,,246.0,2012.0,354.0,2111.0,423.0,59.0,1893.0,316.0,1129.0,1277.0,2051.0,2579.0,1433.0,2220.0,3018.0,680.0,255.0,615.0,2427.0,2635.0,2231.0,158.0,723.0,530.0,1917.0,2151.0,1094.0,305.0,446.0,194.0,1010.0,4530.0,461.0,1555.0,1981.0,6970.0,481.0,1237.0,114.0,1447.0,1523.0,308.0,1678.0,5241.0,8084.0
1906-01-01,3223.0,3546.0,904.0,,2214.0,,262.0,2045.0,355.0,2136.0,415.0,64.0,1976.0,327.0,1138.0,1349.0,2077.0,2626.0,1451.0,2234.0,3107.0,707.0,269.0,628.0,2466.0,2663.0,2250.0,167.0,729.0,555.0,1942.0,2239.0,1122.0,322.0,474.0,196.0,1033.0,4587.0,477.0,1576.0,1987.0,7110.0,492.0,1251.0,118.0,1465.0,1551.0,313.0,1703.0,5309.0,8289.0
1907-01-01,3242.0,3636.0,967.0,,2217.0,,277.0,2058.0,355.0,2136.0,423.0,68.0,2054.0,339.0,1149.0,1414.0,2105.0,2693.0,1468.0,2249.0,3183.0,733.0,283.0,645.0,2505.0,2679.0,2268.0,176.0,731.0,580.0,1952.0,2314.0,1149.0,332.0,501.0,197.0,1057.0,4630.0,498.0,1612.0,1995.0,7253.0,505.0,1257.0,125.0,1484.0,1579.0,317.0,1728.0,5384.0,8499.0
1908-01-01,3260.0,3727.0,1028.0,,2220.0,,291.0,2070.0,354.0,2164.0,428.0,73.0,2161.0,351.0,1161.0,1498.0,2142.0,2722.0,1485.0,2263.0,3251.0,757.0,298.0,684.0,2543.0,2677.0,2292.0,186.0,735.0,610.0,1994.0,2403.0,1174.0,346.0,528.0,199.0,1077.0,4677.0,527.0,1629.0,2020.0,7398.0,519.0,1269.0,133.0,1513.0,1607.0,321.0,1753.0,5474.0,8714.0
1909-01-01,3279.0,3821.0,1091.0,,2223.0,,311.0,2108.0,356.0,2177.0,431.0,78.0,2282.0,363.0,1177.0,1585.0,2174.0,2771.0,1502.0,2278.0,3316.0,775.0,314.0,724.0,2580.0,2678.0,2317.0,196.0,740.0,643.0,2038.0,2487.0,1203.0,363.0,555.0,201.0,1097.0,4701.0,553.0,1658.0,2051.0,7546.0,532.0,1289.0,141.0,1545.0,1634.0,327.0,1777.0,5567.0,8935.0
1910-01-01,3301.0,3922.0,1148.0,,2228.0,,329.0,2150.0,357.0,2191.0,431.0,82.0,2406.0,377.0,1198.0,1671.0,2221.0,2832.0,1523.0,2299.0,3365.0,804.0,329.0,756.0,2618.0,2713.0,2345.0,206.0,745.0,677.0,2071.0,2550.0,1231.0,380.0,580.0,203.0,1122.0,4786.0,590.0,1692.0,2086.0,7706.0,545.0,1302.0,147.0,1583.0,1667.0,334.0,1802.0,5668.0,9137.0
1911-01-01,3317.0,4016.0,1167.0,,2249.0,,343.0,2185.0,358.0,2197.0,432.0,81.0,2534.0,387.0,1216.0,1714.0,2276.0,2916.0,1548.0,2324.0,3383.0,821.0,334.0,773.0,2644.0,2751.0,2369.0,212.0,751.0,692.0,2092.0,2610.0,1266.0,397.0,584.0,207.0,1149.0,4821.0,602.0,1684.0,2119.0,7850.0,556.0,1324.0,150.0,1610.0,1695.0,344.0,1810.0,5757.0,9249.0
1912-01-01,3344.0,4107.0,1184.0,,2279.0,,359.0,2217.0,359.0,2218.0,434.0,81.0,2668.0,399.0,1232.0,1737.0,2313.0,2997.0,1572.0,2347.0,3440.0,832.0,338.0,801.0,2676.0,2785.0,2407.0,217.0,753.0,706.0,2122.0,2670.0,1291.0,414.0,603.0,209.0,1176.0,4893.0,592.0,1671.0,2147.0,7986.0,567.0,1345.0,153.0,1636.0,1709.0,340.0,1817.0,5828.0,9361.0
1913-01-01,3409.0,4207.0,1209.0,,2305.0,,371.0,2279.0,361.0,2257.0,439.0,82.0,2811.0,410.0,1246.0,1777.0,2362.0,3101.0,1599.0,2374.0,3534.0,835.0,344.0,828.0,2733.0,2824.0,2438.0,236.0,763.0,722.0,2176.0,2729.0,1317.0,433.0,609.0,213.0,1208.0,4997.0,584.0,1663.0,2190.0,8139.0,578.0,1368.0,157.0,1664.0,1727.0,358.0,1827.0,5961.0,9473.0
1914-01-01,3467.0,4300.0,1231.0,,2338.0,,384.0,2336.0,362.0,2289.0,442.0,83.0,2934.0,422.0,1264.0,1824.0,2421.0,3183.0,1622.0,2395.0,3636.0,846.0,348.0,871.0,2776.0,2857.0,2490.0,253.0,772.0,736.0,2241.0,2789.0,1362.0,452.0,620.0,216.0,1233.0,5109.0,581.0,1662.0,2234.0,8276.0,589.0,1389.0,163.0,1688.0,1740.0,368.0,1832.0,6109.0,9585.0
1915-01-01,3492.0,4368.0,1239.0,,2366.0,,394.0,2345.0,360.0,2294.0,443.0,82.0,3008.0,430.0,1272.0,1860.0,2473.0,3263.0,1635.0,2401.0,3705.0,868.0,351.0,922.0,2810.0,2873.0,2535.0,263.0,774.0,745.0,2294.0,2850.0,1387.0,469.0,641.0,217.0,1258.0,5251.0,585.0,1687.0,2273.0,8362.0,597.0,1401.0,167.0,1702.0,1755.0,361.0,1826.0,6194.0,9700.0
1916-01-01,3527.0,4444.0,1255.0,,2376.0,,405.0,2359.0,360.0,2304.0,445.0,82.0,3071.0,436.0,1275.0,1907.0,2513.0,3353.0,1650.0,2411.0,3726.0,892.0,354.0,924.0,2856.0,2897.0,2562.0,282.0,775.0,756.0,2316.0,2918.0,1414.0,487.0,652.0,219.0,1294.0,5366.0,595.0,1727.0,2308.0,8463.0,598.0,1415.0,174.0,1719.0,1799.0,360.0,1823.0,6274.0,9848.0
1917-01-01,3470.0,4563.0,1287.0,,2382.0,,413.0,2361.0,372.0,2331.0,447.0,81.0,3171.0,444.0,1285.0,1960.0,2546.0,3451.0,1675.0,2421.0,3738.0,910.0,361.0,895.0,2885.0,2910.0,2587.0,311.0,777.0,763.0,2313.0,2976.0,1439.0,505.0,661.0,222.0,1327.0,5510.0,599.0,1748.0,2329.0,8578.0,606.0,1428.0,186.0,1737.0,1795.0,385.0,1820.0,6313.0,9993.0
1918-01-01,3325.0,4666.0,1341.0,,2351.0,,405.0,2343.0,352.0,2288.0,440.0,77.0,3262.0,437.0,1266.0,1969.0,2522.0,3499.0,1746.0,2425.0,3695.0,906.0,382.0,865.0,2941.0,2880.0,2597.0,320.0,760.0,763.0,2359.0,3043.0,1438.0,501.0,636.0,220.0,1329.0,5547.0,570.0,1729.0,2291.0,8524.0,604.0,1467.0,181.0,1749.0,1746.0,418.0,1813.0,6275.0,9936.0
1919-01-01,3371.0,4631.0,1333.0,,2379.0,,424.0,2337.0,352.0,2305.0,443.0,77.0,3339.0,446.0,1290.0,2003.0,2535.0,3591.0,1687.0,2413.0,3785.0,938.0,362.0,898.0,2870.0,2906.0,2600.0,329.0,762.0,774.0,2318.0,3136.0,1464.0,534.0,648.0,221.0,1359.0,5683.0,606.0,1756.0,2346.0,8643.0,603.0,1445.0,191.0,1742.0,1756.0,445.0,1790.0,6392.0,10252.0
1920-01-01,3404.0,4723.0,1373.0,,2400.0,,433.0,2359.0,353.0,2329.0,444.0,78.0,3554.0,453.0,1300.0,2055.0,2588.0,3723.0,1685.0,2421.0,3882.0,937.0,363.0,962.0,2926.0,2947.0,2679.0,340.0,771.0,788.0,2347.0,3198.0,1470.0,543.0,646.0,219.0,1391.0,5799.0,640.0,1769.0,2403.0,8740.0,613.0,1464.0,197.0,1756.0,1813.0,440.0,1800.0,6663.0,10282.0
1921-01-01,3429.0,4853.0,1405.0,,2407.0,,435.0,2402.0,355.0,2369.0,449.0,80.0,3795.0,457.0,1309.0,2108.0,2651.0,3872.0,1693.0,2436.0,3951.0,961.0,370.0,997.0,2965.0,2976.0,2722.0,351.0,775.0,798.0,2395.0,3297.0,1485.0,546.0,646.0,216.0,1415.0,5921.0,652.0,1779.0,2434.0,8900.0,629.0,1492.0,203.0,1769.0,1847.0,446.0,1823.0,6858.0,10416.0
1922-01-01,3437.0,4955.0,1415.0,,2428.0,,436.0,2434.0,354.0,2424.0,451.0,81.0,3991.0,467.0,1312.0,2140.0,2700.0,3942.0,1692.0,2450.0,4010.0,965.0,375.0,1044.0,2965.0,2965.0,2761.0,360.0,778.0,814.0,2412.0,3380.0,1498.0,543.0,647.0,214.0,1431.0,6054.0,660.0,1799.0,2451.0,8982.0,644.0,1509.0,208.0,1772.0,1871.0,450.0,1836.0,6958.0,10589.0
