Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,47.2,16.8,3.8,23.6,23.4,18.4,23.8,25.6,3.4,11.4,2.8,78.5,27.4,67.6,73.3,6.6,5.1,23.2,15.6,7.8,177.5,18.7,12.4,6.9,50.3,10.4,13.2,7.3,2.4,8.5,2.8,31.5,3.3,100.2,19.9,4.6,5.8,7.7,29.1,55.2,42.1,19.3,7.1,38.7,7.0,18.0,7.9,23.5,29.9,7.3,177.9
2001,50.2,17.7,4.0,25.1,26.2,19.7,24.6,27.0,3.6,11.9,2.8,83.8,29.3,72.7,78.0,7.1,5.2,25.0,16.7,8.3,183.5,21.7,12.5,7.2,53.2,11.5,14.6,7.7,2.5,9.4,3.0,33.5,3.3,106.7,21.8,5.3,6.1,8.4,31.1,60.3,46.4,21.9,7.6,42.1,7.3,19.0,7.9,25.0,32.0,7.9,191.9
2002,54.3,19.1,4.0,26.6,27.1,21.1,25.7,30.3,4.0,12.5,2.9,90.3,32.0,80.9,83.8,7.9,5.4,28.5,18.8,8.8,195.3,22.8,13.2,7.3,57.6,12.5,15.8,8.6,2.4,9.9,3.2,35.4,3.5,119.2,24.1,5.5,6.3,8.6,33.5,65.3,51.3,24.2,8.1,45.6,7.2,21.0,8.4,27.8,34.3,9.5,209.7
2003,57.0,20.2,4.1,28.2,27.6,22.7,26.7,31.3,4.1,12.9,3.0,98.6,33.5,96.6,90.9,8.4,6.0,31.6,20.2,9.5,207.0,24.7,14.0,7.8,60.6,13.3,16.8,8.9,2.1,10.0,3.3,36.7,3.8,125.8,27.4,6.1,6.6,8.8,35.2,69.5,54.6,26.7,7.8,47.9,7.6,21.6,8.7,30.0,35.0,10.4,246.9
2004,61.7,21.6,4.3,29.8,29.1,24.4,29.4,35.3,4.0,13.3,3.1,109.9,33.7,102.3,96.4,8.8,6.5,33.9,24.8,10.4,221.4,26.7,14.3,8.2,69.1,16.1,18.1,8.6,1.8,10.3,3.3,40.1,3.8,146.8,31.2,6.1,6.9,9.7,38.0,79.1,57.6,30.4,8.1,50.4,8.8,22.2,9.1,30.9,34.8,11.3,270.4
2005,67.0,22.5,5.4,32.8,30.2,25.8,29.5,36.9,4.0,14.4,3.3,113.3,36.3,106.7,100.5,8.6,6.7,39.4,25.9,11.2,232.9,29.9,14.8,8.7,72.9,17.6,18.7,8.8,1.9,10.2,3.6,44.5,3.8,152.1,32.1,6.2,7.0,10.4,40.9,82.0,60.7,31.3,8.5,53.0,9.3,24.8,9.3,31.2,39.0,11.6,286.8
2006,69.1,22.3,5.8,34.4,32.4,28.2,30.7,38.8,4.4,15.2,3.5,119.8,36.6,110.8,106.8,9.5,8.0,39.7,26.9,11.8,241.4,32.2,15.3,8.9,81.7,19.9,20.6,9.4,1.9,11.2,3.9,46.4,4.6,167.6,34.3,6.1,7.5,10.7,43.9,85.4,63.7,33.9,8.9,56.7,10.0,24.7,9.5,32.2,42.1,13.8,300.7
2007,73.4,24.4,6.2,39.1,38.0,35.0,34.9,41.5,5.1,16.6,3.7,134.9,38.7,116.7,111.2,11.6,8.9,46.3,29.7,12.1,263.3,33.9,15.9,10.5,85.7,21.2,22.1,9.9,2.2,12.5,4.2,50.4,4.8,186.7,41.2,7.4,8.0,12.2,50.1,89.3,67.0,38.9,9.0,61.4,10.3,27.7,10.4,32.5,46.5,14.9,330.5
2008,76.2,27.0,6.5,43.5,37.1,35.5,40.5,42.1,5.7,17.0,4.0,146.5,41.7,123.9,119.3,13.5,9.6,47.7,30.1,13.0,273.2,34.9,16.8,11.5,88.0,25.4,24.9,10.0,2.3,13.3,4.7,54.2,5.4,216.4,46.4,7.9,8.0,14.2,51.3,92.7,69.9,41.3,9.8,64.6,10.6,33.2,10.7,36.6,49.5,15.5,341.0
2009,80.1,27.6,6.1,48.6,39.3,36.5,40.9,41.2,5.9,18.3,4.1,148.4,43.8,128.3,119.3,13.6,9.8,50.3,33.3,13.0,297.3,40.2,18.1,11.7,92.6,26.7,25.9,10.1,2.3,13.4,4.4,58.7,5.6,231.2,51.2,8.2,7.9,16.2,51.6,97.6,75.6,42.6,9.9,66.7,11.0,34.5,11.5,38.1,53.6,15.5,374.8
