Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,22.8,7.8,1.7,8.0,6.4,8.5,10.2,11.6,2.2,5.9,1.3,23.1,10.4,23.2,23.4,3.3,1.0,8.0,6.6,4.2,41.4,7.2,4.3,1.9,19.0,5.0,3.1,1.8,1.1,4.9,1.3,13.3,1.2,39.5,11.7,1.7,2.3,3.7,14.3,11.7,21.0,9.3,3.2,11.8,2.1,7.3,1.9,6.8,14.9,6.1,64.4
2001,23.7,8.1,1.7,8.5,6.7,8.9,11.3,12.4,2.3,6.4,1.3,24.8,11.0,24.6,24.2,3.6,1.1,8.6,7.0,4.6,45.4,7.8,4.8,2.1,20.2,5.4,3.5,2.0,1.2,5.0,1.4,14.3,1.3,42.6,12.2,1.8,2.4,3.9,15.1,12.7,22.6,10.0,3.3,12.5,2.3,7.6,2.2,7.6,16.4,6.3,71.4
2002,24.1,8.4,1.8,8.9,6.9,9.6,12.5,12.8,2.5,7.0,1.3,26.2,11.4,26.5,24.5,3.8,1.2,9.2,7.7,4.8,48.5,8.5,5.3,2.2,20.8,5.6,3.8,2.1,1.3,5.1,1.5,15.4,1.4,46.1,12.5,2.0,2.5,4.2,15.4,13.7,24.0,10.7,3.5,13.1,2.5,8.1,2.3,8.0,17.5,6.6,77.9
2003,25.0,8.8,1.9,9.5,7.3,9.6,12.7,13.1,2.5,7.3,1.4,28.2,11.9,27.4,26.8,3.9,1.3,9.6,7.7,5.2,50.2,9.0,5.2,2.3,23.3,5.9,3.9,2.3,1.4,5.3,1.7,15.7,1.4,47.9,13.3,2.1,2.7,4.4,16.1,13.9,25.6,10.8,3.8,13.8,2.6,8.5,2.4,8.8,18.4,6.8,82.1
2004,27.4,9.5,2.0,10.2,7.8,10.0,12.7,13.6,2.7,7.0,1.5,29.9,12.1,28.8,29.0,4.1,1.4,9.9,7.7,5.5,52.5,9.1,5.5,2.5,25.0,6.2,4.3,2.3,1.5,5.7,1.8,16.4,1.4,50.1,13.9,2.2,2.9,4.7,17.4,14.9,27.0,11.0,3.8,14.6,2.8,8.7,2.5,8.9,19.4,7.1,85.6
2005,27.5,9.9,2.0,11.0,8.7,10.5,13.7,14.0,2.8,7.6,1.6,32.6,12.4,29.2,30.4,4.2,1.5,10.3,8.0,5.9,54.8,9.9,5.6,2.6,27.0,6.2,4.6,2.4,1.6,5.9,1.9,17.9,1.5,53.2,15.0,2.5,2.9,4.9,18.9,15.3,28.0,11.6,4.0,14.8,2.9,9.1,2.7,9.3,20.1,7.4,89.9
2006,26.7,10.9,2.2,12.0,9.3,11.0,14.6,14.6,2.9,8.1,1.7,35.9,13.4,30.0,31.6,4.4,1.5,11.1,8.5,6.4,58.3,10.7,6.0,2.7,29.6,6.7,5.2,2.5,1.7,6.5,2.0,19.5,1.6,56.4,15.3,2.7,3.0,5.3,20.1,16.4,29.3,12.2,4.3,15.7,3.2,9.3,2.9,10.1,21.4,7.9,93.9
2007,28.7,12.1,2.4,13.2,9.8,11.5,16.0,15.1,3.0,8.8,1.8,40.1,14.1,31.3,32.1,4.8,1.6,11.8,8.8,6.8,61.8,11.5,6.5,2.8,30.0,7.2,5.8,2.6,2.1,6.8,2.2,21.3,1.6,59.5,16.0,2.8,3.1,5.8,21.0,17.1,30.4,13.0,4.6,16.9,3.3,10.3,3.3,10.8,23.4,8.2,99.8
2008,28.8,13.2,2.5,14.3,10.8,12.5,17.4,15.8,3.2,9.2,1.9,42.0,15.0,33.4,33.6,5.1,2.3,12.9,9.8,7.1,65.6,12.4,7.6,3.0,30.9,7.6,6.4,3.0,2.3,7.2,2.2,23.1,1.8,66.4,16.0,2.9,3.2,6.3,22.2,17.6,31.3,14.3,4.7,18.4,3.5,12.0,3.5,11.3,25.9,8.8,105.2
2009,28.5,13.5,2.6,14.2,10.8,13.0,17.6,16.4,3.3,9.7,1.9,40.1,16.2,35.3,34.7,5.5,2.3,13.0,10.7,7.5,69.9,12.6,7.9,3.0,32.1,8.5,6.0,3.3,2.5,7.5,2.3,22.7,2.0,70.9,16.7,3.0,3.3,6.7,23.6,18.5,31.8,14.7,4.9,19.4,3.5,12.4,3.6,11.9,26.0,9.4,105.3
