Date,MI,AL,MT,AZ,KY,TN,MD,WI,ID,OK,ND,FL,MN,IL,PA,NE,DC,CO,OR,AR,NY,SC,UT,RI,NJ,KS,NV,AK,WY,MS,VT,VA,SD,TX,IN,DE,ME,NM,NC,MA,OH,MO,WV,WA,NH,LA,HI,CT,GA,IA,CA
2000,2.1,0.8,0.2,1.0,1.3,0.8,1.4,1.4,0.2,0.5,0.1,3.8,1.4,3.6,3.9,0.2,0.2,1.2,0.9,0.4,9.3,0.7,0.4,0.3,2.2,0.5,0.5,0.4,0.1,0.5,0.1,1.7,0.2,4.6,1.0,0.3,0.3,0.4,1.3,2.5,2.1,1.0,0.4,1.4,0.4,1.0,0.6,1.3,1.1,0.4,7.5
2001,2.3,0.8,0.2,1.1,1.4,0.9,1.5,1.4,0.2,0.5,0.2,4.0,1.4,3.9,3.9,0.2,0.2,1.2,0.8,0.4,8.8,0.8,0.4,0.4,2.3,0.6,0.7,0.4,0.1,0.5,0.2,1.8,0.2,4.8,1.1,0.3,0.3,0.4,1.3,2.9,2.4,1.0,0.4,1.5,0.3,1.0,0.4,1.4,1.1,0.4,7.9
2002,2.4,0.8,0.2,1.1,1.5,0.9,1.4,1.5,0.2,0.5,0.2,4.2,1.5,3.9,4.0,0.3,0.2,1.3,0.7,0.4,8.3,1.2,0.4,0.3,2.4,0.6,0.7,0.4,0.1,0.5,0.2,1.7,0.2,5.0,1.2,0.3,0.3,0.4,1.3,3.2,2.7,1.0,0.4,1.5,0.4,1.1,0.6,1.4,1.1,0.4,8.7
2003,2.5,0.9,0.2,1.1,1.5,0.9,1.5,1.5,0.2,0.6,0.2,4.4,1.5,4.3,4.3,0.3,0.3,1.4,0.8,0.4,8.4,0.9,0.4,0.3,2.4,0.7,0.7,0.4,0.1,0.5,0.2,1.7,0.2,5.4,1.2,0.3,0.3,0.4,1.3,3.0,2.8,1.1,0.4,1.6,0.4,1.2,0.5,1.6,1.1,0.4,9.3
2004,2.7,0.9,0.2,1.1,1.5,0.9,1.4,1.6,0.2,0.6,0.2,4.7,1.6,5.0,4.6,0.3,0.3,1.5,0.9,0.4,8.1,1.0,0.4,0.3,2.7,0.7,0.7,0.4,0.1,0.5,0.2,1.8,0.2,5.9,1.3,0.3,0.4,0.3,1.3,3.3,2.9,1.2,0.4,1.7,0.4,1.3,0.5,1.6,1.1,0.4,9.9
2005,2.7,0.9,0.2,1.1,1.2,0.9,1.4,1.6,0.2,0.6,0.2,4.7,1.5,4.6,4.2,0.3,0.3,1.5,1.0,0.4,8.3,1.0,0.5,0.3,2.6,0.7,0.7,0.4,0.1,0.5,0.2,1.7,0.1,5.5,1.4,0.3,0.3,0.4,1.2,3.5,2.9,1.4,0.4,1.7,0.4,1.2,0.5,1.4,1.1,0.5,10.5
2006,2.7,0.8,0.2,1.3,1.3,1.0,1.4,1.7,0.2,0.7,0.2,4.4,1.6,4.7,4.3,0.3,0.3,1.7,1.1,0.4,8.9,1.0,0.4,0.3,3.1,0.8,0.7,0.4,0.1,0.5,0.2,1.9,0.2,6.1,1.4,0.2,0.3,0.5,1.4,3.6,3.1,1.5,0.4,1.8,0.5,1.2,0.6,1.4,1.1,0.5,11.7
2007,2.9,1.0,0.2,1.3,1.3,1.1,1.6,1.7,0.2,0.6,0.2,4.8,1.6,5.2,4.5,0.3,0.4,1.7,1.2,0.4,9.6,1.1,0.5,0.5,3.3,0.8,0.7,0.4,0.1,0.5,0.2,1.8,0.2,7.3,1.7,0.3,0.3,0.5,1.5,4.0,3.3,1.7,0.3,2.0,0.5,1.4,0.6,1.5,1.3,0.6,12.9
2008,3.0,1.0,0.3,1.8,1.6,1.1,1.7,1.9,0.3,0.7,0.2,5.2,1.7,5.4,4.9,0.4,0.4,2.1,1.2,0.5,9.9,1.3,0.5,0.5,3.5,1.2,0.8,0.4,0.1,0.5,0.2,2.0,0.2,8.3,1.7,0.3,0.3,0.5,1.9,4.2,3.2,1.8,0.4,2.2,0.5,1.6,0.6,1.6,1.4,0.7,13.5
2009,3.0,1.1,0.2,1.8,1.7,1.2,1.7,2.1,0.3,0.7,0.2,5.0,1.8,5.6,4.6,0.3,0.4,2.1,1.2,0.5,10.8,1.5,0.5,0.6,3.6,1.2,0.9,0.4,0.1,0.5,0.2,2.2,0.2,8.7,1.8,0.4,0.4,0.5,2.0,4.2,3.1,1.7,0.4,2.3,0.5,1.7,0.6,1.8,1.5,0.6,14.4
